Date,Depth (m),Vx (m/s),Vy (m/s),Salinity (psu),Temperature (C),Oxygen (mg/L),Oxygen Saturation (%),TSS (mg/L),Turbidity (NTU),Light (W/m2),PAR (W/m2),
15-03-2017 00:00:00,0.00,0.0000,0.0000,17.6799,21.8748,7.6233,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2017 00:00:00,-0.25,0.0000,0.0000,17.6799,21.8748,7.6233,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2017 00:00:00,-0.50,0.0000,0.0000,17.6799,21.8748,7.6233,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2017 00:00:00,-0.75,0.0000,0.0000,17.6799,21.8748,7.6233,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2017 00:00:00,-1.00,0.0000,0.0000,17.6799,21.8748,7.6233,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2017 00:00:00,-1.25,0.0000,0.0000,17.6799,21.8748,7.6233,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2017 00:00:00,-1.50,0.0000,0.0000,17.6799,21.8748,7.6233,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2017 04:00:00,0.00,-0.0186,-0.0776,17.4919,21.5708,7.4229,93.5187,12.2445,2.1265,0.0000,0.0000,
15-03-2017 04:00:00,-0.25,-0.0190,-0.0767,17.4956,21.5928,7.4260,93.5978,12.2453,2.1280,0.0000,0.0000,
15-03-2017 04:00:00,-0.50,-0.0190,-0.0767,17.4956,21.5928,7.4260,93.5978,12.2453,2.1280,0.0000,0.0000,
15-03-2017 04:00:00,-0.75,-0.0190,-0.0724,17.5081,21.6283,7.4342,93.7702,12.2478,2.1320,0.0000,0.0000,
15-03-2017 04:00:00,-1.00,-0.0173,-0.0609,17.5312,21.6715,7.4479,94.0325,12.2482,2.1382,0.0000,0.0000,
15-03-2017 04:00:00,-1.25,-0.0173,-0.0609,17.5312,21.6715,7.4479,94.0325,12.2482,2.1382,0.0000,0.0000,
15-03-2017 04:00:00,-1.50,-0.0125,-0.0452,17.5399,21.6843,7.4553,94.1529,12.1037,2.1342,0.0000,0.0000,
15-03-2017 08:00:01,0.00,0.0014,-0.0482,17.2520,21.3115,7.1923,90.0456,11.8500,2.0074,83.3549,37.5097,
15-03-2017 08:00:01,-0.25,0.0020,-0.0478,17.2543,21.3311,7.1950,90.1136,11.8519,2.0094,42.9315,19.3192,
15-03-2017 08:00:01,-0.50,0.0020,-0.0478,17.2543,21.3311,7.1950,90.1136,11.8519,2.0094,42.9315,19.3192,
15-03-2017 08:00:01,-0.75,0.0028,-0.0460,17.2606,21.3551,7.2026,90.2532,11.8523,2.0150,22.1612,9.9726,
15-03-2017 08:00:01,-1.00,0.0058,-0.0351,17.4050,21.6730,7.2859,91.9216,11.8906,2.0749,11.6465,5.2409,
15-03-2017 08:00:01,-1.25,0.0078,-0.0214,17.4370,21.7255,7.3129,92.3705,11.7095,2.0837,5.9257,2.6666,
15-03-2017 12:00:00,0.00,-0.0219,-0.0119,17.2158,22.3433,7.4599,95.1956,11.7812,1.9909,838.1639,377.1738,
15-03-2017 12:00:00,-0.25,0.0034,-0.0151,17.2375,22.2967,7.4618,95.1498,11.7277,1.9896,422.9176,190.3129,
15-03-2017 12:00:00,-0.50,0.0034,-0.0151,17.2375,22.2967,7.4618,95.1498,11.7277,1.9896,422.9176,190.3129,
15-03-2017 12:00:00,-0.75,0.0240,-0.0060,17.3529,22.1508,7.5158,95.6431,11.5501,1.9877,217.8647,98.0391,
15-03-2017 12:00:00,-1.00,0.0357,0.0008,17.4609,21.8912,7.5443,95.6024,11.2406,1.9757,114.7487,51.6369,
15-03-2017 12:00:00,-1.25,0.0357,0.0008,17.4609,21.8912,7.5443,95.6024,11.2406,1.9757,114.7487,51.6369,
15-03-2017 16:00:00,0.00,-0.0129,-0.0638,16.9047,24.3224,7.9015,104.3568,12.8277,2.1628,706.0563,317.7253,
15-03-2017 16:00:00,-0.25,-0.0339,-0.0687,16.9225,23.6379,7.6831,100.2333,12.4847,2.1183,330.7979,148.8591,
15-03-2017 16:00:00,-0.50,-0.0339,-0.0687,16.9225,23.6379,7.6831,100.2333,12.4847,2.1183,330.7979,148.8591,
15-03-2017 16:00:00,-0.75,-0.0447,-0.0627,17.0430,22.6624,7.4252,95.2179,11.8665,2.0341,160.6625,72.2981,
15-03-2017 16:00:00,-1.00,-0.0459,-0.0482,17.2214,22.2069,7.3742,93.8672,11.3163,1.9881,81.5248,36.6862,
15-03-2017 16:00:00,-1.25,-0.0321,-0.0259,17.2833,22.1512,7.4006,94.1389,10.9711,1.9699,40.9778,18.4400,
15-03-2017 20:00:01,0.00,0.0120,0.0015,16.9054,22.3700,7.6803,97.8800,12.2769,2.1292,3.2441,1.4598,
15-03-2017 20:00:01,-0.25,0.0101,-0.0018,16.8988,22.7663,7.6592,98.3251,12.3012,2.1335,1.6242,0.7309,
15-03-2017 20:00:01,-0.50,0.0083,-0.0064,16.9742,22.5334,7.4661,95.4762,12.0421,2.0996,0.8334,0.3750,
15-03-2017 20:00:01,-0.75,0.0083,-0.0064,16.9742,22.5334,7.4661,95.4762,12.0421,2.0996,0.8334,0.3750,
