Date,Depth (m),Vx (m/s),Vy (m/s),Salinity (psu),Temperature (C),Oxygen (mg/L),Oxygen Saturation (%),TSS (mg/L),Turbidity (NTU),Light (W/m2),PAR (W/m2),
15-03-2015 00:00:00,0.00,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-0.25,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-0.50,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-0.75,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-1.00,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-1.25,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-1.50,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-1.75,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-2.00,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-2.25,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-2.50,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-2.75,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-3.00,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-3.25,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-3.50,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-3.75,0.0000,0.0000,35.4746,24.5391,5.7076,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 04:00:02,0.00,-0.0104,0.0126,35.4720,24.3689,5.6709,83.3606,7.5164,1.7195,1.7350,0.7807,
15-03-2015 04:00:02,-0.25,-0.0108,0.0130,35.4720,24.3750,5.6707,83.3658,7.5160,1.7195,1.5116,0.6802,
15-03-2015 04:00:02,-0.50,-0.0110,0.0132,35.4720,24.3790,5.6704,83.3679,7.5157,1.7194,1.3145,0.5915,
15-03-2015 04:00:02,-0.75,-0.0112,0.0133,35.4720,24.3817,5.6702,83.3680,7.5153,1.7194,1.1411,0.5135,
15-03-2015 04:00:02,-1.00,-0.0113,0.0135,35.4720,24.3837,5.6699,83.3672,7.5149,1.7194,0.9899,0.4454,
15-03-2015 04:00:02,-1.25,-0.0114,0.0135,35.4720,24.3851,5.6697,83.3657,7.5146,1.7194,0.8697,0.3914,
15-03-2015 04:00:02,-1.50,-0.0114,0.0136,35.4720,24.3864,5.6695,83.3639,7.5142,1.7194,0.7580,0.3411,
15-03-2015 04:00:02,-1.75,-0.0115,0.0136,35.4720,24.3874,5.6692,83.3617,7.5138,1.7193,0.6587,0.2964,
15-03-2015 04:00:02,-2.00,-0.0115,0.0136,35.4720,24.3885,5.6689,83.3590,7.5134,1.7193,0.5624,0.2531,
15-03-2015 04:00:02,-2.25,-0.0116,0.0137,35.4720,24.3894,5.6686,83.3559,7.5129,1.7193,0.4694,0.2112,
15-03-2015 04:00:02,-2.50,-0.0116,0.0137,35.4720,24.3902,5.6683,83.3527,7.5125,1.7193,0.4086,0.1839,
15-03-2015 04:00:02,-2.75,-0.0116,0.0137,35.4720,24.3910,5.6680,83.3492,7.5120,1.7192,0.3553,0.1599,
15-03-2015 04:00:02,-3.00,-0.0116,0.0137,35.4720,24.3917,5.6677,83.3454,7.5115,1.7192,0.3069,0.1381,
15-03-2015 04:00:02,-3.25,-0.0115,0.0137,35.4720,24.3924,5.6673,83.3407,7.5109,1.7192,0.2682,0.1207,
15-03-2015 04:00:02,-3.50,-0.0115,0.0136,35.4720,24.3932,5.6669,83.3354,7.4942,1.7183,0.2332,0.1049,
15-03-2015 04:00:02,-3.75,-0.0113,0.0135,35.4720,24.3940,5.6663,83.3290,7.4544,1.7161,0.2036,0.0916,
15-03-2015 08:00:03,0.00,0.0105,-0.0186,35.4734,24.2238,5.6337,82.6069,7.3907,1.7127,76.0060,34.2027,
15-03-2015 08:00:03,-0.25,0.0100,-0.0182,35.4734,24.2295,5.6334,82.6106,7.3903,1.7127,66.3540,29.8593,
15-03-2015 08:00:03,-0.50,0.0096,-0.0180,35.4734,24.2333,5.6331,82.6114,7.3899,1.7127,57.7980,26.0091,
15-03-2015 08:00:03,-0.75,0.0094,-0.0179,35.4734,24.2357,5.6328,82.6102,7.3894,1.7126,50.2426,22.6092,
15-03-2015 08:00:03,-1.00,0.0091,-0.0178,35.4734,24.2374,5.6325,82.6081,7.3890,1.7126,43.6047,19.6221,
15-03-2015 08:00:03,-1.25,0.0090,-0.0177,35.4734,24.2385,5.6322,82.6054,7.3886,1.7126,38.5361,17.3413,
15-03-2015 08:00:03,-1.50,0.0088,-0.0176,35.4734,24.2395,5.6319,82.6023,7.3881,1.7126,33.6980,15.1641,
15-03-2015 08:00:03,-1.75,0.0087,-0.0175,35.4734,24.2404,5.6315,82.5988,7.3877,1.7125,29.3222,13.1950,
15-03-2015 08:00:03,-2.00,0.0085,-0.0175,35.4734,24.2412,5.6312,82.5948,7.3872,1.7125,25.1946,11.3376,
15-03-2015 08:00:03,-2.25,0.0084,-0.0174,35.4734,24.2420,5.6308,82.5901,7.3866,1.7125,20.9619,9.4328,
15-03-2015 08:00:03,-2.50,0.0083,-0.0173,35.4734,24.2426,5.6304,82.5856,7.3861,1.7124,18.3172,8.2427,
15-03-2015 08:00:03,-2.75,0.0082,-0.0172,35.4733,24.2432,5.6300,82.5807,7.3855,1.7124,15.9351,7.1708,
15-03-2015 08:00:03,-3.00,0.0081,-0.0171,35.4733,24.2438,5.6296,82.5754,7.3849,1.7124,13.8180,6.2181,
15-03-2015 08:00:03,-3.25,0.0080,-0.0169,35.4733,24.2444,5.6291,82.5690,7.3842,1.7123,12.0800,5.4360,
15-03-2015 08:00:03,-3.50,0.0079,-0.0167,35.4733,24.2450,5.6286,82.5618,7.3724,1.7117,10.5035,4.7266,
15-03-2015 08:00:03,-3.75,0.0078,-0.0163,35.4733,24.2457,5.6279,82.5530,7.3346,1.7096,9.2063,4.1428,
15-03-2015 12:00:01,0.00,0.0421,0.0031,35.4934,24.4341,5.7049,83.9649,7.3112,1.7086,380.9228,171.4153,
15-03-2015 12:00:01,-0.25,0.0369,0.0001,35.4937,24.4361,5.7038,83.9517,7.3115,1.7086,333.2589,149.9665,
15-03-2015 12:00:01,-0.50,0.0321,-0.0032,35.4945,24.4359,5.7024,83.9304,7.3119,1.7086,290.1824,130.5821,
15-03-2015 12:00:01,-0.75,0.0277,-0.0067,35.4959,24.4333,5.7006,83.9012,7.3121,1.7087,251.6337,113.2352,
15-03-2015 12:00:01,-1.00,0.0222,-0.0126,35.4997,24.4237,5.6987,83.8603,7.3115,1.7086,220.0446,99.0201,
15-03-2015 12:00:01,-1.25,0.0169,-0.0187,35.5054,24.4081,5.6975,83.8238,7.3082,1.7085,194.2193,87.3987,
15-03-2015 12:00:01,-1.50,0.0117,-0.0249,35.5125,24.3870,5.6969,83.7876,7.3025,1.7082,172.9503,77.8276,
15-03-2015 12:00:01,-1.75,0.0073,-0.0297,35.5191,24.3574,5.6943,83.7093,7.2915,1.7077,150.8126,67.8657,
15-03-2015 12:00:01,-2.00,0.0039,-0.0330,35.5230,24.3302,5.6894,83.6004,7.2786,1.7069,131.6494,59.2422,
15-03-2015 12:00:01,-2.25,0.0011,-0.0352,35.5246,24.3058,5.6829,83.4706,7.2642,1.7061,111.6698,50.2514,
15-03-2015 12:00:01,-2.50,-0.0008,-0.0362,35.5253,24.2871,5.6751,83.3299,7.2482,1.7052,94.9712,42.7371,
15-03-2015 12:00:01,-2.75,-0.0019,-0.0364,35.5258,24.2733,5.6666,83.1860,7.2311,1.7043,82.6026,37.1712,
15-03-2015 12:00:01,-3.00,-0.0019,-0.0358,35.5281,24.2717,5.6463,82.8853,7.1979,1.7024,72.3991,32.5796,
15-03-2015 12:00:01,-3.25,-0.0014,-0.0347,35.5304,24.2726,5.6255,82.5823,7.1655,1.7006,63.0455,28.3705,
15-03-2015 12:00:01,-3.50,-0.0001,-0.0328,35.5324,24.2755,5.6082,82.3340,7.1409,1.6991,55.1163,24.8023,
15-03-2015 12:00:01,-3.75,0.0005,-0.0302,35.5332,24.2771,5.5962,82.1606,7.1010,1.6968,48.4216,21.7897,
15-03-2015 16:00:01,0.00,0.0271,-0.0026,35.5293,24.9353,5.8141,86.3272,7.2258,1.7042,514.7889,231.6550,
15-03-2015 16:00:01,-0.25,0.0220,-0.0036,35.5292,24.9363,5.8136,86.3218,7.2277,1.7043,450.9842,202.9429,
15-03-2015 16:00:01,-0.50,0.0158,-0.0054,35.5303,24.9290,5.8130,86.3030,7.2311,1.7044,392.0432,176.4194,
15-03-2015 16:00:01,-0.75,0.0078,-0.0087,35.5333,24.9083,5.8123,86.2623,7.2369,1.7048,341.0391,153.4676,
15-03-2015 16:00:01,-1.00,0.0033,-0.0121,35.5474,24.8542,5.8169,86.2590,7.2391,1.7049,297.8858,134.0486,
15-03-2015 16:00:01,-1.25,0.0003,-0.0153,35.5642,24.7930,5.8230,86.2666,7.2387,1.7049,259.4470,116.7511,
15-03-2015 16:00:01,-1.50,-0.0001,-0.0177,35.5762,24.7526,5.8267,86.2682,7.2289,1.7044,234.7460,105.6357,
15-03-2015 16:00:01,-1.75,0.0003,-0.0199,35.5866,24.7069,5.8277,86.2199,7.2163,1.7038,208.2307,93.7038,
15-03-2015 16:00:01,-2.00,0.0016,-0.0217,35.5948,24.6528,5.8221,86.0616,7.1986,1.7028,181.4370,81.6466,
15-03-2015 16:00:01,-2.25,0.0035,-0.0230,35.6011,24.5900,5.8070,85.7486,7.1742,1.7014,157.3388,70.8025,
15-03-2015 16:00:01,-2.50,0.0060,-0.0239,35.6048,24.5168,5.7834,85.2945,7.1394,1.6994,131.2168,59.0476,
15-03-2015 16:00:01,-2.75,0.0078,-0.0242,35.6062,24.4700,5.7640,84.9413,7.1142,1.6980,114.6900,51.6105,
15-03-2015 16:00:01,-3.00,0.0092,-0.0244,35.6073,24.4282,5.7426,84.5655,7.0847,1.6963,100.0023,45.0010,
15-03-2015 16:00:01,-3.25,0.0097,-0.0245,35.6084,24.3923,5.7160,84.1230,7.0445,1.6940,87.4477,39.3515,
15-03-2015 16:00:01,-3.50,0.0090,-0.0241,35.6081,24.3570,5.6792,83.5295,6.9926,1.6909,76.7031,34.5164,
15-03-2015 16:00:01,-3.75,0.0079,-0.0234,35.6072,24.3257,5.6407,82.9178,6.9348,1.6875,66.9405,30.1232,
15-03-2015 16:00:01,-4.00,0.0066,-0.0211,35.6060,24.3214,5.6198,82.6043,6.8664,1.6834,59.2167,26.6475,
15-03-2015 20:00:01,0.00,-0.0015,-0.0099,35.6003,24.8730,5.9392,88.1265,7.2084,1.7036,4.2332,1.9049,
15-03-2015 20:00:01,-0.25,-0.0015,-0.0099,35.6003,24.8790,5.9390,88.1332,7.2083,1.7036,3.7112,1.6701,
15-03-2015 20:00:01,-0.50,-0.0015,-0.0098,35.6004,24.8841,5.9389,88.1385,7.2081,1.7036,3.2209,1.4494,
15-03-2015 20:00:01,-0.75,-0.0014,-0.0098,35.6005,24.8873,5.9386,88.1398,7.2078,1.7036,2.8093,1.2642,
15-03-2015 20:00:01,-1.00,-0.0012,-0.0097,35.6007,24.8901,5.9382,88.1378,7.2071,1.7035,2.4476,1.1014,
15-03-2015 20:00:01,-1.25,-0.0009,-0.0097,35.6010,24.8924,5.9377,88.1335,7.2062,1.7035,2.1229,0.9553,
15-03-2015 20:00:01,-1.50,0.0013,-0.0093,35.6176,24.8776,5.9232,87.9045,7.1901,1.7026,1.9188,0.8635,
15-03-2015 20:00:01,-1.75,0.0039,-0.0088,35.6349,24.8460,5.9028,87.5636,7.1690,1.7014,1.7286,0.7779,
15-03-2015 20:00:01,-2.00,0.0067,-0.0082,35.6408,24.7331,5.8615,86.7867,7.1329,1.6994,1.5066,0.6780,
15-03-2015 20:00:01,-2.25,0.0090,-0.0083,35.6444,24.6439,5.8302,86.1920,7.1006,1.6975,1.3173,0.5928,
15-03-2015 20:00:01,-2.50,0.0110,-0.0092,35.6501,24.5703,5.8033,85.6897,7.0709,1.6957,1.1160,0.5022,
15-03-2015 20:00:01,-2.75,0.0123,-0.0105,35.6573,24.5179,5.7855,85.3537,7.0476,1.6943,0.9549,0.4297,
15-03-2015 20:00:01,-3.00,0.0131,-0.0120,35.6648,24.4788,5.7741,85.1319,7.0289,1.6932,0.8309,0.3739,
15-03-2015 20:00:01,-3.25,0.0130,-0.0134,35.6719,24.4449,5.7522,84.7621,6.9876,1.6909,0.7302,0.3286,
15-03-2015 20:00:01,-3.50,0.0126,-0.0144,35.6775,24.4134,5.7185,84.2237,6.9311,1.6875,0.6379,0.2871,
15-03-2015 20:00:01,-3.75,0.0117,-0.0147,35.6803,24.3860,5.6641,83.3841,6.8483,1.6826,0.5587,0.2514,
15-03-2015 20:00:01,-4.00,0.0104,-0.0140,35.6799,24.3741,5.5830,82.1736,6.7277,1.6751,0.4936,0.2221,
16-03-2015 00:00:01,0.00,-0.0182,0.0230,35.5732,24.4622,5.8565,86.2760,7.1036,1.6979,0.0000,0.0000,
16-03-2015 00:00:01,-0.25,-0.0182,0.0230,35.5732,24.4678,5.8562,86.2797,7.1032,1.6979,0.0000,0.0000,
16-03-2015 00:00:01,-0.50,-0.0181,0.0230,35.5733,24.4724,5.8558,86.2815,7.1027,1.6978,0.0000,0.0000,
16-03-2015 00:00:01,-0.75,-0.0180,0.0229,35.5733,24.4754,5.8554,86.2801,7.1021,1.6978,0.0000,0.0000,
16-03-2015 00:00:01,-1.00,-0.0178,0.0229,35.5734,24.4776,5.8549,86.2763,7.1014,1.6978,0.0000,0.0000,
16-03-2015 00:00:01,-1.25,-0.0176,0.0229,35.5735,24.4795,5.8544,86.2712,7.1007,1.6977,0.0000,0.0000,
16-03-2015 00:00:01,-1.50,-0.0175,0.0228,35.5736,24.4809,5.8537,86.2635,7.0997,1.6977,0.0000,0.0000,
16-03-2015 00:00:01,-1.75,-0.0172,0.0228,35.5738,24.4823,5.8528,86.2517,7.0983,1.6976,0.0000,0.0000,
16-03-2015 00:00:01,-2.00,-0.0168,0.0227,35.5740,24.4837,5.8512,86.2304,7.0956,1.6974,0.0000,0.0000,
16-03-2015 00:00:01,-2.25,-0.0155,0.0223,35.5760,24.4863,5.8445,86.1362,7.0851,1.6968,0.0000,0.0000,
16-03-2015 00:00:01,-2.50,-0.0101,0.0209,35.5863,24.4949,5.8147,85.7153,7.0422,1.6944,0.0000,0.0000,
16-03-2015 00:00:01,-2.75,-0.0062,0.0191,35.6056,24.4684,5.7598,84.8774,6.9606,1.6897,0.0000,0.0000,
16-03-2015 00:00:01,-3.00,-0.0029,0.0171,35.6246,24.4400,5.7080,84.0815,6.8787,1.6850,0.0000,0.0000,
16-03-2015 00:00:01,-3.25,-0.0006,0.0149,35.6424,24.4105,5.6635,83.3929,6.7993,1.6806,0.0000,0.0000,
16-03-2015 00:00:01,-3.50,0.0008,0.0127,35.6537,24.3898,5.5700,81.9916,6.6777,1.6731,0.0000,0.0000,
16-03-2015 00:00:01,-3.75,0.0017,0.0108,35.6621,24.3736,5.4451,80.1346,6.5314,1.6637,0.0000,0.0000,
16-03-2015 00:00:01,-4.00,0.0023,0.0095,35.6660,24.3665,5.2370,77.0637,6.3258,1.6495,0.0000,0.0000,
16-03-2015 04:00:02,0.00,-0.0186,0.0166,35.5143,24.2485,5.6241,82.5211,6.8379,1.6823,0.0000,0.0000,
16-03-2015 04:00:02,-0.25,-0.0185,0.0167,35.5144,24.2549,5.6241,82.5291,6.8376,1.6823,0.0000,0.0000,
16-03-2015 04:00:02,-0.50,-0.0183,0.0167,35.5145,24.2596,5.6240,82.5345,6.8373,1.6823,0.0000,0.0000,
16-03-2015 04:00:02,-0.75,-0.0181,0.0168,35.5146,24.2628,5.6239,82.5377,6.8369,1.6823,0.0000,0.0000,
16-03-2015 04:00:02,-1.00,-0.0178,0.0168,35.5147,24.2652,5.6237,82.5391,6.8365,1.6823,0.0000,0.0000,
16-03-2015 04:00:02,-1.25,-0.0174,0.0168,35.5149,24.2670,5.6236,82.5393,6.8360,1.6822,0.0000,0.0000,
16-03-2015 04:00:02,-1.50,-0.0171,0.0168,35.5150,24.2687,5.6234,82.5387,6.8354,1.6822,0.0000,0.0000,
16-03-2015 04:00:02,-1.75,-0.0167,0.0168,35.5153,24.2703,5.6231,82.5368,6.8346,1.6822,0.0000,0.0000,
16-03-2015 04:00:02,-2.00,-0.0162,0.0168,35.5156,24.2719,5.6226,82.5326,6.8335,1.6821,0.0000,0.0000,
16-03-2015 04:00:02,-2.25,-0.0155,0.0169,35.5160,24.2737,5.6218,82.5236,6.8316,1.6820,0.0000,0.0000,
16-03-2015 04:00:02,-2.50,-0.0142,0.0168,35.5176,24.2774,5.6195,82.4950,6.8261,1.6817,0.0000,0.0000,
16-03-2015 04:00:02,-2.75,-0.0123,0.0167,35.5203,24.2825,5.6153,82.4425,6.8170,1.6812,0.0000,0.0000,
16-03-2015 04:00:02,-3.00,-0.0052,0.0156,35.5412,24.3023,5.5803,81.9664,6.7555,1.6775,0.0000,0.0000,
16-03-2015 04:00:02,-3.25,-0.0001,0.0141,35.5655,24.3181,5.4898,80.6703,6.6419,1.6703,0.0000,0.0000,
16-03-2015 04:00:02,-3.50,0.0027,0.0120,35.5943,24.3288,5.3258,78.2880,6.4591,1.6583,0.0000,0.0000,
