Date,Depth (m),H (mAHD),Vx (m/s),Vy (m/s),Salinity (psu),Temperature (C),Oxygen (mg/L),Oxygen Saturation (%),TSS (mg/L),Turbidity (NTU),Light (W/m2),PAR (W/m2),
15-03-2015 00:00:00,0.00,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-0.50,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-1.00,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-1.50,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-2.00,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-2.50,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-3.00,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-3.50,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-4.00,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-4.50,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-5.00,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 00:00:00,-5.50,0.9300,0.0000,0.0000,36.5018,24.2217,6.4379,0.0000,0.0000,0.0000,0.0000,0.0000,
15-03-2015 04:00:02,0.00,0.7955,-0.1525,-0.2712,36.4990,24.0907,6.4160,94.4152,3.9659,0.7797,1.7355,0.7810,
15-03-2015 04:00:02,-0.50,0.7957,-0.1514,-0.2664,36.4990,24.0978,6.4159,94.4253,3.9657,0.7797,1.5069,0.6781,
15-03-2015 04:00:02,-1.00,0.7956,-0.1499,-0.2621,36.4990,24.1005,6.4158,94.4284,3.9655,0.7797,1.3074,0.5883,
15-03-2015 04:00:02,-1.50,0.7956,-0.1483,-0.2578,36.4990,24.1021,6.4157,94.4298,3.9654,0.7797,1.1392,0.5126,
15-03-2015 04:00:02,-2.00,0.7953,-0.1463,-0.2529,36.4990,24.1032,6.4157,94.4304,3.9653,0.7797,0.9770,0.4396,
15-03-2015 04:00:02,-2.50,0.7956,-0.1437,-0.2472,36.4990,24.1042,6.4156,94.4307,3.9651,0.7797,0.8334,0.3750,
15-03-2015 04:00:02,-3.00,0.7958,-0.1406,-0.2411,36.4990,24.1050,6.4155,94.4307,3.9650,0.7797,0.7225,0.3251,
15-03-2015 04:00:02,-3.50,0.7957,-0.1361,-0.2328,36.4990,24.1058,6.4154,94.4304,3.9648,0.7797,0.6095,0.2743,
15-03-2015 04:00:02,-4.00,0.7956,-0.1281,-0.2195,36.4990,24.1066,6.4152,94.4298,3.9646,0.7797,0.4771,0.2147,
15-03-2015 04:00:02,-4.50,0.7954,-0.1184,-0.2043,36.4990,24.1074,6.4151,94.4290,3.9644,0.7796,0.3723,0.1675,
15-03-2015 04:00:02,-5.00,0.7954,-0.1038,-0.1851,36.4990,24.1079,6.4150,94.4284,3.9583,0.7793,0.3292,0.1481,
15-03-2015 04:00:02,-5.50,0.7955,-0.0890,-0.1658,36.4990,24.1083,6.4149,94.4278,3.9519,0.7790,0.2887,0.1299,
15-03-2015 08:00:03,0.00,0.8263,0.1817,0.2412,36.4969,24.0377,6.4053,94.1705,3.9238,0.7777,76.0268,34.2121,
