Site Code,Site,AED Site,Year,mm,dd,area,num_cells,num_outputs,age_surface,age_bottom,salinity_surface,salinity_ bottom,temp_surface,temp_bottom,oxygen_surface,oxygen_bottom,nh4_surface,nh4_bottom,CHLA,sal_strat,sal_strat_area,lowoxygen_area,hypoxia_area,temp_surface_avg,temp_surface_max,sal_strat_history,lowoxygen_frequency,hypoxia_frequency,anoxia_frequency,cyano_hab_index_avg,dino_hab_index_avg,mag_hsi_avg,wqi_avg
YoungMC2SU-96_102.5m_3,MC2,Mandurah Channel,1996,01,17,11380.1270,3.0000,,24.0561,24.4351,38.6296,38.6927,20.2008,20.0599,6.8014,6.7853,0.0123,0.0126,0.7595,0.0632,0.0000,0.0000,0.0000,22.2596,28.2540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,1.0000,
YoungMC2AU-96_102.5m_18,MC2,Mandurah Channel,1996,04,22,11380.1270,3.0000,,39.3369,39.7530,39.8046,39.8566,17.1909,17.0119,7.1349,7.1231,0.0181,0.0184,1.9114,0.0520,0.0000,0.0000,0.0000,18.9817,22.5871,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.9918,
YoungMC2W-96_102.5m_33,MC2,Mandurah Channel,1996,07,25,11380.1270,3.0000,,26.7892,26.9371,19.0660,19.1901,11.4769,11.4863,9.5359,9.5192,0.0907,0.0904,1.4640,0.1241,0.0000,0.0000,0.0000,12.1429,15.4312,0.2503,0.0000,0.0000,0.0000,0.0041,0.1434,0.0000,0.8616,
YoungMC2SP-96_102.5m_48,MC2,Mandurah Channel,1996,10,15,11380.1270,3.0000,,27.7054,23.2769,14.2405,18.8875,18.1331,17.9182,8.4052,8.2071,0.0549,0.0416,2.3359,4.6470,41.6667,0.0000,0.0000,16.1737,21.1950,6.5077,0.0000,0.0000,0.0000,0.1069,0.0978,0.0000,0.8196,
YoungMC2SU-97_102.5m_63,MC2,Mandurah Channel,1997,01,13,11380.1270,3.0000,,22.1986,22.2260,37.8798,37.8808,24.4289,24.4401,6.5036,6.5027,0.0088,0.0088,1.5336,0.0011,0.0000,0.0000,0.0000,21.9219,27.2934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0072,0.0000,0.9993,
YoungMC2AU-97_102.5m_78,MC2,Mandurah Channel,1997,04,08,11380.1270,3.0000,,20.2303,20.2399,35.8625,35.8606,19.5939,19.5600,7.0747,7.0718,0.0029,0.0029,0.4782,-0.0020,0.0000,0.0000,0.0000,20.0567,24.4425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0261,0.0000,0.9764,
YoungMC2W-97_102.5m_93,MC2,Mandurah Channel,1997,07,30,11380.1270,3.0000,,40.2211,40.2183,25.3337,25.3699,13.5772,13.6010,8.5695,8.5657,0.0133,0.0132,1.2825,0.0363,0.0000,0.0000,0.0000,12.1494,15.2124,0.0000,0.0000,0.0000,0.0000,0.0000,0.1208,0.0000,0.9443,
YoungMC2SP-97_102.5m_108,MC2,Mandurah Channel,1997,10,13,11380.1270,3.0000,,32.1582,32.1617,25.1041,25.1058,18.4164,18.4170,7.9152,7.9159,0.0081,0.0081,1.6714,0.0017,0.0000,0.0000,0.0000,17.6201,21.1686,2.5030,0.0000,0.0000,0.0000,0.0446,0.1148,0.0000,0.9134,
VealeMC2SU-9_102.5m_123,MC2,Mandurah Channel,2009,01,14,11380.1270,3.0000,,19.6232,19.6613,37.9722,37.9754,22.1980,22.2103,6.4375,6.4363,0.0140,0.0140,2.2731,0.0032,0.0000,0.0000,0.0000,22.4164,26.8943,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.9928,
VealeMC2AU-9_102.5m_143,MC2,Mandurah Channel,2009,04,07,11380.1270,3.0000,,18.7565,18.6414,35.6546,35.6763,18.0772,17.7055,6.6937,6.6542,0.0025,0.0024,1.9983,0.0217,0.0000,0.0000,0.0000,18.8595,22.6211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,-0.0000,0.8365,
VealeMC2W-8_102.5m_163,MC2,Mandurah Channel,2008,07,11,11380.1270,3.0000,,39.4443,38.7016,32.1771,32.3089,12.7747,12.7265,8.5131,8.4822,0.0154,0.0149,2.7988,0.1318,0.0000,0.0000,0.0000,12.7370,14.7303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0604,0.0000,0.9767,
VealeMC2SP-8_102.5m_178,MC2,Mandurah Channel,2008,10,14,11380.1270,3.0000,,38.3495,38.3763,29.4614,29.9168,16.9006,16.6425,7.8535,7.8027,0.0086,0.0077,1.4595,0.4554,0.0000,0.0000,0.0000,16.0087,20.5440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0821,0.0000,0.9987,
VealeMC2SU-10_102.5m_198,MC2,Mandurah Channel,2010,01,15,11380.1270,3.0000,,26.7051,26.7184,38.7419,38.7417,24.1131,24.0917,6.3065,6.3035,0.0567,0.0567,4.2810,0.0190,0.0000,0.0000,0.0000,22.6020,27.6369,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000,0.9762,
VealeMC2AU-10_102.5m_218,MC2,Mandurah Channel,2010,04,15,11380.1270,3.0000,,17.6728,17.7156,36.3823,36.3863,19.2293,19.2446,7.2301,7.2310,0.0067,0.0066,2.4047,0.0211,0.0000,0.0000,0.0000,21.0086,24.3890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,-0.0000,0.6509,
VealeMC2W-9_102.5m_238,MC2,Mandurah Channel,2009,07,09,11380.1270,3.0000,,33.0661,33.0705,28.9348,28.9689,12.4826,12.4940,8.5841,8.5782,0.0056,0.0056,0.4587,0.0362,0.0000,0.0000,0.0000,12.6902,15.4207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0253,0.0000,1.0000,
VealeMC2SP-9_102.5m_258,MC2,Mandurah Channel,2009,10,13,11380.1270,3.0000,,37.6287,37.6234,20.3865,20.3963,16.4308,16.4559,7.9120,7.9118,0.0035,0.0034,0.5552,0.0240,0.0000,0.0000,0.0000,15.3107,21.8103,2.5011,0.0000,0.0000,0.0000,0.0366,0.0529,0.0000,0.9356,
YoungMC2SU296_21m_647,MC2,Mandurah Channel,1996,02,16,11380.1270,3.0000,,30.6881,31.3638,39.9313,40.0795,25.5690,25.3361,6.1792,6.1266,0.0172,0.0184,5.0552,0.1482,0.0000,0.0000,0.0000,23.9907,27.8304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.9962,
YoungMC2AU296_21m_662,MC2,Mandurah Channel,1996,05,22,11380.1270,3.0000,,30.5989,31.3220,37.9492,38.0150,15.0323,14.8801,7.4304,7.4344,0.0142,0.0146,1.4066,0.0658,0.0000,0.0000,0.0000,16.0654,19.1971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.9948,
YoungMC2W296_21m_677,MC2,Mandurah Channel,1996,08,29,11380.1270,3.0000,,23.2491,23.2948,6.5612,6.5821,13.8491,13.8252,9.7050,9.7001,0.0815,0.0816,1.4320,0.0209,0.0000,0.0000,0.0000,12.4525,14.8623,3.1704,0.0000,0.0000,0.0000,0.0260,0.0396,0.0000,0.7375,
YoungMC2SP296_21m_692,MC2,Mandurah Channel,1996,11,12,11380.1270,3.0000,,26.5977,24.2556,29.2898,30.2603,21.7459,20.4921,7.1180,7.1518,0.0094,0.0083,0.7423,0.9704,0.0000,0.0000,0.0000,19.0691,24.4522,2.9201,0.0000,0.0000,0.0000,0.0214,0.0838,0.0000,0.9390,
YoungMC2SU297_21m_707,MC2,Mandurah Channel,1997,02,11,11380.1270,3.0000,,29.0809,29.7231,39.7825,39.8858,21.7970,21.3315,6.8857,6.8684,0.0082,0.0091,5.5563,0.1034,0.0000,0.0000,0.0000,23.5922,27.4917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000,0.9760,
YoungMC2AU297_21m_722,MC2,Mandurah Channel,1997,05,05,11380.1270,3.0000,,30.0835,30.1005,37.1617,37.1614,15.1758,15.1101,7.5000,7.4987,0.0088,0.0088,0.7171,-0.0002,0.0000,0.0000,0.0000,18.2921,21.7887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0070,0.0000,1.0000,
YoungMC2W297_21m_737,MC2,Mandurah Channel,1997,07,28,11380.1270,3.0000,,38.7716,38.7728,26.1349,26.1387,12.6319,12.6348,8.7889,8.7880,0.0133,0.0133,1.2677,0.0038,0.0000,0.0000,0.0000,12.1336,15.2124,0.0000,0.0000,0.0000,0.0000,0.0000,0.1157,0.0000,0.9496,
YoungMC2SP297_21m_752,MC2,Mandurah Channel,1997,11,11,11380.1270,3.0000,,31.8951,31.8113,33.8342,33.8538,21.3804,21.3684,7.1070,7.1038,0.0068,0.0068,0.6259,0.0196,0.0000,0.0000,0.0000,19.2509,23.9307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0718,0.0000,0.9957,
