ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.9358,0.5000,20.0000,0
1,02/01/2016,0.9555,0.5000,20.0000,0
1,03/01/2016,0.8319,0.5000,20.0000,0
1,04/01/2016,0.2630,0.5000,20.0000,0
1,05/01/2016,0.1783,0.5000,20.0000,0
1,06/01/2016,0.7771,0.5000,20.0000,0
1,07/01/2016,0.7494,0.5000,20.0000,0
1,08/01/2016,0.4444,0.5000,20.0000,0
1,09/01/2016,0.4423,0.5000,20.0000,0
1,10/01/2016,0.4647,0.5000,20.0000,0
1,11/01/2016,0.5672,0.5000,20.0000,0
1,12/01/2016,0.4803,0.5000,20.0000,0
1,13/01/2016,0.0111,0.5000,20.0000,0
1,14/01/2016,0.8002,0.5000,20.0000,0
1,15/01/2016,0.4868,0.5000,20.0000,0
1,16/01/2016,0.6979,0.5000,20.0000,0
1,17/01/2016,0.3726,0.5000,20.0000,0
1,18/01/2016,0.1375,0.5000,20.0000,0
1,19/01/2016,0.9341,0.5000,20.0000,0
1,20/01/2016,0.0646,0.5000,20.0000,0
1,21/01/2016,0.3565,0.5000,20.0000,0
1,22/01/2016,0.1843,0.5000,20.0000,0
1,23/01/2016,0.9440,0.5000,20.0000,0
1,24/01/2016,0.4584,0.5000,20.0000,0
1,25/01/2016,0.5267,0.5000,20.0000,0
1,26/01/2016,0.4215,0.5000,20.0000,0
1,27/01/2016,0.0160,0.5000,20.0000,0
1,28/01/2016,0.6487,0.5000,20.0000,0
1,29/01/2016,0.9113,0.5000,20.0000,0
1,30/01/2016,0.8957,0.5000,20.0000,0
1,31/01/2016,0.3579,0.5000,20.0000,0
1,01/02/2016,0.9151,0.5000,20.0000,0
1,02/02/2016,0.0425,0.5000,20.0000,0
1,03/02/2016,0.3904,0.5000,20.0000,0
1,04/02/2016,0.2555,0.5000,20.0000,0
1,05/02/2016,0.2855,0.5000,20.0000,0
1,06/02/2016,0.4191,0.5000,20.0000,0
1,07/02/2016,0.9115,0.5000,20.0000,0
1,08/02/2016,0.1452,0.5000,20.0000,0
1,09/02/2016,0.8266,0.5000,20.0000,0
1,10/02/2016,0.4453,0.5000,20.0000,0
1,11/02/2016,0.7830,0.5000,20.0000,0
1,12/02/2016,1.0000,0.5000,20.0000,0
1,13/02/2016,0.2524,0.5000,20.0000,0
1,14/02/2016,0.7167,0.5000,20.0000,0
1,15/02/2016,0.5042,0.5000,20.0000,0
1,16/02/2016,0.5229,0.5000,20.0000,0
1,17/02/2016,0.7154,0.5000,20.0000,0
1,18/02/2016,0.7901,0.5000,20.0000,0
