ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.3754,0.5000,20.0000,0
1,02/01/2016,0.8420,0.5000,20.0000,0
1,03/01/2016,0.6235,0.5000,20.0000,0
1,04/01/2016,0.8822,0.5000,20.0000,0
1,05/01/2016,0.4630,0.5000,20.0000,0
1,06/01/2016,0.6812,0.5000,20.0000,0
1,07/01/2016,0.2659,0.5000,20.0000,0
1,08/01/2016,0.8485,0.5000,20.0000,0
1,09/01/2016,0.6755,0.5000,20.0000,0
1,10/01/2016,0.6516,0.5000,20.0000,0
1,11/01/2016,0.3238,0.5000,20.0000,0
1,12/01/2016,0.2582,0.5000,20.0000,0
1,13/01/2016,0.5134,0.5000,20.0000,0
1,14/01/2016,0.8934,0.5000,20.0000,0
1,15/01/2016,0.1205,0.5000,20.0000,0
1,16/01/2016,0.9441,0.5000,20.0000,0
1,17/01/2016,0.9438,0.5000,20.0000,0
1,18/01/2016,0.2936,0.5000,20.0000,0
1,19/01/2016,0.0716,0.5000,20.0000,0
1,20/01/2016,0.5623,0.5000,20.0000,0
1,21/01/2016,0.2568,0.5000,20.0000,0
1,22/01/2016,0.8449,0.5000,20.0000,0
1,23/01/2016,0.3102,0.5000,20.0000,0
1,24/01/2016,0.3080,0.5000,20.0000,0
1,25/01/2016,0.9046,0.5000,20.0000,0
1,26/01/2016,0.4181,0.5000,20.0000,0
1,27/01/2016,0.1804,0.5000,20.0000,0
1,28/01/2016,0.6707,0.5000,20.0000,0
1,29/01/2016,0.1057,0.5000,20.0000,0
1,30/01/2016,0.8604,0.5000,20.0000,0
1,31/01/2016,0.6773,0.5000,20.0000,0
1,01/02/2016,0.1734,0.5000,20.0000,0
1,02/02/2016,0.4894,0.5000,20.0000,0
1,03/02/2016,0.2862,0.5000,20.0000,0
1,04/02/2016,0.8130,0.5000,20.0000,0
1,05/02/2016,0.0757,0.5000,20.0000,0
1,06/02/2016,0.5622,0.5000,20.0000,0
1,07/02/2016,0.5635,0.5000,20.0000,0
1,08/02/2016,0.5804,0.5000,20.0000,0
1,09/02/2016,0.2752,0.5000,20.0000,0
1,10/02/2016,0.5306,0.5000,20.0000,0
