ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.0350,0.5000,20.0000,0
1,02/01/2016,0.0747,0.5000,20.0000,0
1,03/01/2016,0.9823,0.5000,20.0000,0
1,04/01/2016,0.7045,0.5000,20.0000,0
1,05/01/2016,0.0311,0.5000,20.0000,0
1,06/01/2016,0.6489,0.5000,20.0000,0
1,07/01/2016,0.4757,0.5000,20.0000,0
1,08/01/2016,0.6674,0.5000,20.0000,0
1,09/01/2016,0.1551,0.5000,20.0000,0
1,10/01/2016,0.3475,0.5000,20.0000,0
1,11/01/2016,0.3316,0.5000,20.0000,0
1,12/01/2016,0.3970,0.5000,20.0000,0
1,13/01/2016,0.4779,0.5000,20.0000,0
1,14/01/2016,0.3151,0.5000,20.0000,0
1,15/01/2016,0.8046,0.5000,20.0000,0
1,16/01/2016,0.9070,0.5000,20.0000,0
1,17/01/2016,0.5635,0.5000,20.0000,0
1,18/01/2016,0.9204,0.5000,20.0000,0
1,19/01/2016,0.6572,0.5000,20.0000,0
1,20/01/2016,0.6064,0.5000,20.0000,0
1,21/01/2016,0.4062,0.5000,20.0000,0
1,22/01/2016,0.9337,0.5000,20.0000,0
1,23/01/2016,0.8998,0.5000,20.0000,0
1,24/01/2016,0.9869,0.5000,20.0000,0
1,25/01/2016,0.5840,0.5000,20.0000,0
1,26/01/2016,0.6859,0.5000,20.0000,0
1,27/01/2016,0.7458,0.5000,20.0000,0
1,28/01/2016,0.1581,0.5000,20.0000,0
1,29/01/2016,0.9538,0.5000,20.0000,0
1,30/01/2016,0.1922,0.5000,20.0000,0
1,31/01/2016,0.8839,0.5000,20.0000,0
1,01/02/2016,0.7325,0.5000,20.0000,0
1,02/02/2016,0.3606,0.5000,20.0000,0
1,03/02/2016,0.6994,0.5000,20.0000,0
1,04/02/2016,0.7192,0.5000,20.0000,0
1,05/02/2016,0.0387,0.5000,20.0000,0
1,06/02/2016,0.4286,0.5000,20.0000,0
1,07/02/2016,0.2679,0.5000,20.0000,0
