ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.4398,0.5000,20.0000,0
1,02/01/2016,0.4605,0.5000,20.0000,0
1,03/01/2016,0.4075,0.5000,20.0000,0
1,04/01/2016,0.6753,0.5000,20.0000,0
1,05/01/2016,0.5482,0.5000,20.0000,0
1,06/01/2016,0.8598,0.5000,20.0000,0
1,07/01/2016,0.9500,0.5000,20.0000,0
1,08/01/2016,0.2497,0.5000,20.0000,0
1,09/01/2016,0.8426,0.5000,20.0000,0
1,10/01/2016,0.7102,0.5000,20.0000,0
1,11/01/2016,0.2087,0.5000,20.0000,0
1,12/01/2016,0.6803,0.5000,20.0000,0
1,13/01/2016,0.4494,0.5000,20.0000,0
1,14/01/2016,0.7708,0.5000,20.0000,0
1,15/01/2016,0.3125,0.5000,20.0000,0
1,16/01/2016,0.6535,0.5000,20.0000,0
1,17/01/2016,0.4004,0.5000,20.0000,0
1,18/01/2016,0.9488,0.5000,20.0000,0
1,19/01/2016,0.6196,0.5000,20.0000,0
1,20/01/2016,0.1782,0.5000,20.0000,0
1,21/01/2016,0.8425,0.5000,20.0000,0
1,22/01/2016,0.6806,0.5000,20.0000,0
1,23/01/2016,0.0141,0.5000,20.0000,0
1,24/01/2016,0.0608,0.5000,20.0000,0
1,25/01/2016,0.4084,0.5000,20.0000,0
1,26/01/2016,0.6851,0.5000,20.0000,0
1,27/01/2016,0.7924,0.5000,20.0000,0
1,28/01/2016,0.4333,0.5000,20.0000,0
1,29/01/2016,0.9959,0.5000,20.0000,0
1,30/01/2016,0.4659,0.5000,20.0000,0
1,31/01/2016,0.5451,0.5000,20.0000,0
1,01/02/2016,0.6944,0.5000,20.0000,0
1,02/02/2016,0.2432,0.5000,20.0000,0
1,03/02/2016,0.2139,0.5000,20.0000,0
1,04/02/2016,0.3932,0.5000,20.0000,0
1,05/02/2016,0.2640,0.5000,20.0000,0
1,06/02/2016,0.9708,0.5000,20.0000,0
1,07/02/2016,0.2648,0.5000,20.0000,0
1,08/02/2016,0.4038,0.5000,20.0000,0
1,09/02/2016,0.5329,0.5000,20.0000,0
1,10/02/2016,0.6499,0.5000,20.0000,0
1,11/02/2016,0.3427,0.5000,20.0000,0
1,12/02/2016,0.1102,0.5000,20.0000,0
1,13/02/2016,0.3702,0.5000,20.0000,0
1,14/02/2016,0.4458,0.5000,20.0000,0
1,15/02/2016,0.1555,0.5000,20.0000,0
1,16/02/2016,0.1074,0.5000,20.0000,0
1,17/02/2016,0.2962,0.5000,20.0000,0
1,18/02/2016,0.7859,0.5000,20.0000,0
1,19/02/2016,0.1392,0.5000,20.0000,0
1,20/02/2016,0.0371,0.5000,20.0000,0
1,21/02/2016,0.4614,0.5000,20.0000,0
1,22/02/2016,0.9653,0.5000,20.0000,0
1,23/02/2016,0.0666,0.5000,20.0000,0
1,24/02/2016,0.3836,0.5000,20.0000,0
1,25/02/2016,0.3393,0.5000,20.0000,0
1,26/02/2016,0.7723,0.5000,20.0000,0
1,27/02/2016,0.1064,0.5000,20.0000,0
1,28/02/2016,0.9167,0.5000,20.0000,0
1,29/02/2016,0.5802,0.5000,20.0000,0
1,01/03/2016,0.7707,0.5000,20.0000,0
1,02/03/2016,0.7495,0.5000,20.0000,0
1,03/03/2016,0.2128,0.5000,20.0000,0
1,04/03/2016,0.7148,0.5000,20.0000,0
1,05/03/2016,0.5012,0.5000,20.0000,0
1,06/03/2016,0.8065,0.5000,20.0000,0
1,07/03/2016,0.6912,0.5000,20.0000,0
1,08/03/2016,0.5951,0.5000,20.0000,0
1,09/03/2016,0.2945,0.5000,20.0000,0
1,10/03/2016,0.6661,0.5000,20.0000,0
1,11/03/2016,0.7820,0.5000,20.0000,0
1,12/03/2016,0.1299,0.5000,20.0000,0
1,13/03/2016,0.2248,0.5000,20.0000,0
1,14/03/2016,0.0575,0.5000,20.0000,0
1,15/03/2016,0.6160,0.5000,20.0000,0
1,16/03/2016,0.8271,0.5000,20.0000,0
1,17/03/2016,0.8062,0.5000,20.0000,0
1,18/03/2016,0.5039,0.5000,20.0000,0
1,19/03/2016,0.2578,0.5000,20.0000,0
1,20/03/2016,0.5515,0.5000,20.0000,0
1,21/03/2016,0.7840,0.5000,20.0000,0
1,22/03/2016,0.5725,0.5000,20.0000,0
1,23/03/2016,0.5970,0.5000,20.0000,0
1,24/03/2016,0.1318,0.5000,20.0000,0
1,25/03/2016,0.6330,0.5000,20.0000,0
1,26/03/2016,0.6630,0.5000,20.0000,0
1,27/03/2016,0.2264,0.5000,20.0000,0
1,28/03/2016,0.1427,0.5000,20.0000,0
1,29/03/2016,0.1821,0.5000,20.0000,0
1,30/03/2016,0.7497,0.5000,20.0000,0
1,31/03/2016,0.5491,0.5000,20.0000,0
1,01/04/2016,0.8155,0.5000,20.0000,0
1,02/04/2016,0.8334,0.5000,20.0000,0
1,03/04/2016,0.7522,0.5000,20.0000,0
1,04/04/2016,0.4676,0.5000,20.0000,0
1,05/04/2016,0.7493,0.5000,20.0000,0
1,06/04/2016,0.2028,0.5000,20.0000,0
1,07/04/2016,0.7859,0.5000,20.0000,0
