ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.1664,0.5000,20.0000,0
1,02/01/2016,0.2189,0.5000,20.0000,0
1,03/01/2016,0.2205,0.5000,20.0000,0
1,04/01/2016,0.8091,0.5000,20.0000,0
1,05/01/2016,0.9909,0.5000,20.0000,0
1,06/01/2016,0.4027,0.5000,20.0000,0
1,07/01/2016,0.0468,0.5000,20.0000,0
1,08/01/2016,0.5999,0.5000,20.0000,0
1,09/01/2016,0.1187,0.5000,20.0000,0
1,10/01/2016,0.9870,0.5000,20.0000,0
1,11/01/2016,0.5000,0.5000,20.0000,0
1,12/01/2016,0.1348,0.5000,20.0000,0
1,13/01/2016,0.5575,0.5000,20.0000,0
1,14/01/2016,0.2025,0.5000,20.0000,0
1,15/01/2016,0.4222,0.5000,20.0000,0
1,16/01/2016,0.9741,0.5000,20.0000,0
1,17/01/2016,0.3033,0.5000,20.0000,0
1,18/01/2016,0.1172,0.5000,20.0000,0
1,19/01/2016,0.1226,0.5000,20.0000,0
1,20/01/2016,0.3122,0.5000,20.0000,0
1,21/01/2016,0.7184,0.5000,20.0000,0
1,22/01/2016,0.3215,0.5000,20.0000,0
1,23/01/2016,0.2548,0.5000,20.0000,0
1,24/01/2016,0.2276,0.5000,20.0000,0
1,25/01/2016,0.1236,0.5000,20.0000,0
1,26/01/2016,0.8797,0.5000,20.0000,0
1,27/01/2016,0.0546,0.5000,20.0000,0
1,28/01/2016,0.3069,0.5000,20.0000,0
1,29/01/2016,0.9152,0.5000,20.0000,0
1,30/01/2016,0.4932,0.5000,20.0000,0
1,31/01/2016,0.4706,0.5000,20.0000,0
1,01/02/2016,0.7741,0.5000,20.0000,0
1,02/02/2016,0.6969,0.5000,20.0000,0
1,03/02/2016,0.7934,0.5000,20.0000,0
1,04/02/2016,0.0540,0.5000,20.0000,0
1,05/02/2016,0.5670,0.5000,20.0000,0
1,06/02/2016,0.8330,0.5000,20.0000,0
1,07/02/2016,0.6884,0.5000,20.0000,0
1,08/02/2016,0.3105,0.5000,20.0000,0
1,09/02/2016,0.6546,0.5000,20.0000,0
1,10/02/2016,0.6038,0.5000,20.0000,0
1,11/02/2016,0.0571,0.5000,20.0000,0
1,12/02/2016,0.4098,0.5000,20.0000,0
1,13/02/2016,0.1602,0.5000,20.0000,0
1,14/02/2016,0.3087,0.5000,20.0000,0
1,15/02/2016,0.8389,0.5000,20.0000,0
1,16/02/2016,0.8920,0.5000,20.0000,0
1,17/02/2016,0.0274,0.5000,20.0000,0
1,18/02/2016,0.7587,0.5000,20.0000,0
1,19/02/2016,0.2049,0.5000,20.0000,0
1,20/02/2016,0.9615,0.5000,20.0000,0
1,21/02/2016,0.4280,0.5000,20.0000,0
1,22/02/2016,0.6190,0.5000,20.0000,0
1,23/02/2016,0.4055,0.5000,20.0000,0
1,24/02/2016,0.9637,0.5000,20.0000,0
1,25/02/2016,0.8428,0.5000,20.0000,0
1,26/02/2016,0.8483,0.5000,20.0000,0
1,27/02/2016,0.0712,0.5000,20.0000,0
1,28/02/2016,0.7743,0.5000,20.0000,0
1,29/02/2016,0.5703,0.5000,20.0000,0
1,01/03/2016,0.1522,0.5000,20.0000,0
1,02/03/2016,0.6935,0.5000,20.0000,0
1,03/03/2016,0.3714,0.5000,20.0000,0
1,04/03/2016,0.0843,0.5000,20.0000,0
1,05/03/2016,0.3054,0.5000,20.0000,0
1,06/03/2016,0.9610,0.5000,20.0000,0
1,07/03/2016,0.2363,0.5000,20.0000,0
1,08/03/2016,0.5251,0.5000,20.0000,0
1,09/03/2016,0.7783,0.5000,20.0000,0
1,10/03/2016,0.1899,0.5000,20.0000,0
1,11/03/2016,0.4930,0.5000,20.0000,0
1,12/03/2016,0.5665,0.5000,20.0000,0
1,13/03/2016,0.3340,0.5000,20.0000,0
1,14/03/2016,0.9140,0.5000,20.0000,0
1,15/03/2016,0.7484,0.5000,20.0000,0
1,16/03/2016,0.2112,0.5000,20.0000,0
1,17/03/2016,0.8655,0.5000,20.0000,0
1,18/03/2016,0.5314,0.5000,20.0000,0
1,19/03/2016,0.4758,0.5000,20.0000,0
1,20/03/2016,0.3938,0.5000,20.0000,0
1,21/03/2016,0.0904,0.5000,20.0000,0
1,22/03/2016,0.7129,0.5000,20.0000,0
1,23/03/2016,0.9510,0.5000,20.0000,0
1,24/03/2016,0.9355,0.5000,20.0000,0
1,25/03/2016,0.9669,0.5000,20.0000,0
1,26/03/2016,0.1129,0.5000,20.0000,0
1,27/03/2016,0.3897,0.5000,20.0000,0
1,28/03/2016,0.9591,0.5000,20.0000,0
1,29/03/2016,0.0497,0.5000,20.0000,0
1,30/03/2016,0.5595,0.5000,20.0000,0
1,31/03/2016,0.6249,0.5000,20.0000,0
1,01/04/2016,0.8511,0.5000,20.0000,0
1,02/04/2016,0.0445,0.5000,20.0000,0
1,03/04/2016,0.2890,0.5000,20.0000,0
1,04/04/2016,0.2448,0.5000,20.0000,0
1,05/04/2016,0.8411,0.5000,20.0000,0
1,06/04/2016,0.8021,0.5000,20.0000,0
1,07/04/2016,0.0678,0.5000,20.0000,0
1,08/04/2016,0.5077,0.5000,20.0000,0
1,09/04/2016,0.3025,0.5000,20.0000,0
1,10/04/2016,0.1247,0.5000,20.0000,0
1,11/04/2016,0.1634,0.5000,20.0000,0
1,12/04/2016,0.0708,0.5000,20.0000,0
1,13/04/2016,0.2484,0.5000,20.0000,0
1,14/04/2016,0.4190,0.5000,20.0000,0
1,15/04/2016,0.7732,0.5000,20.0000,0
1,16/04/2016,0.5230,0.5000,20.0000,0
1,17/04/2016,0.1543,0.5000,20.0000,0
1,18/04/2016,0.4168,0.5000,20.0000,0
1,19/04/2016,0.8626,0.5000,20.0000,0
1,20/04/2016,0.2839,0.5000,20.0000,0
1,21/04/2016,0.5345,0.5000,20.0000,0
1,22/04/2016,0.8639,0.5000,20.0000,0
1,23/04/2016,0.8373,0.5000,20.0000,0
1,24/04/2016,0.1550,0.5000,20.0000,0
1,25/04/2016,0.0995,0.5000,20.0000,0
1,26/04/2016,0.2193,0.5000,20.0000,0
1,27/04/2016,0.4337,0.5000,20.0000,0
1,28/04/2016,0.5642,0.5000,20.0000,0
1,29/04/2016,0.6540,0.5000,20.0000,0
1,30/04/2016,0.4835,0.5000,20.0000,0
1,01/05/2016,0.4762,0.5000,20.0000,0
1,02/05/2016,0.4097,0.5000,20.0000,0
1,03/05/2016,0.1608,0.5000,20.0000,0
1,04/05/2016,0.2587,0.5000,20.0000,0
1,05/05/2016,0.7457,0.5000,20.0000,0
1,06/05/2016,0.3926,0.5000,20.0000,0
1,07/05/2016,0.6187,0.5000,20.0000,0
1,08/05/2016,0.2214,0.5000,20.0000,0
1,09/05/2016,0.0393,0.5000,20.0000,0
1,10/05/2016,0.2886,0.5000,20.0000,0
1,11/05/2016,0.0896,0.5000,20.0000,0
1,12/05/2016,0.2695,0.5000,20.0000,0
1,13/05/2016,0.1348,0.5000,20.0000,0
1,14/05/2016,0.9712,0.5000,20.0000,0
1,15/05/2016,0.1737,0.5000,20.0000,0
1,16/05/2016,0.9011,0.5000,20.0000,0
1,17/05/2016,0.4178,0.5000,20.0000,0
1,18/05/2016,0.6866,0.5000,20.0000,0
1,19/05/2016,0.9882,0.5000,20.0000,0
1,20/05/2016,0.8786,0.5000,20.0000,0
1,21/05/2016,0.2704,0.5000,20.0000,0
1,22/05/2016,0.1833,0.5000,20.0000,0
1,23/05/2016,0.0826,0.5000,20.0000,0
1,24/05/2016,0.8738,0.5000,20.0000,0
1,25/05/2016,0.7172,0.5000,20.0000,0
1,26/05/2016,0.2674,0.5000,20.0000,0
1,27/05/2016,0.6732,0.5000,20.0000,0
1,28/05/2016,0.6964,0.5000,20.0000,0
1,29/05/2016,0.5930,0.5000,20.0000,0
1,30/05/2016,0.1585,0.5000,20.0000,0
1,31/05/2016,0.4020,0.5000,20.0000,0
1,01/06/2016,0.8058,0.5000,20.0000,0
1,02/06/2016,0.6773,0.5000,20.0000,0
1,03/06/2016,0.7293,0.5000,20.0000,0
1,04/06/2016,0.2878,0.5000,20.0000,0
1,05/06/2016,0.5948,0.5000,20.0000,0
1,06/06/2016,0.8325,0.5000,20.0000,0
1,07/06/2016,0.9987,0.5000,20.0000,0
1,08/06/2016,0.1929,0.5000,20.0000,0
1,09/06/2016,0.2606,0.5000,20.0000,0
1,10/06/2016,0.3826,0.5000,20.0000,0
1,11/06/2016,0.3876,0.5000,20.0000,0
1,12/06/2016,0.4978,0.5000,20.0000,0
1,13/06/2016,0.0802,0.5000,20.0000,0
1,14/06/2016,0.1078,0.5000,20.0000,0
1,15/06/2016,0.6867,0.5000,20.0000,0
1,16/06/2016,0.2364,0.5000,20.0000,0
1,17/06/2016,0.2101,0.5000,20.0000,0
1,18/06/2016,0.6196,0.5000,20.0000,0
1,19/06/2016,0.3184,0.5000,20.0000,0
1,20/06/2016,0.2195,0.5000,20.0000,0
1,21/06/2016,0.3121,0.5000,20.0000,0
1,22/06/2016,0.8000,0.5000,20.0000,0
1,23/06/2016,0.3833,0.5000,20.0000,0
1,24/06/2016,0.6429,0.5000,20.0000,0
1,25/06/2016,0.8713,0.5000,20.0000,0
1,26/06/2016,0.4111,0.5000,20.0000,0
1,27/06/2016,0.3097,0.5000,20.0000,0
1,28/06/2016,0.3853,0.5000,20.0000,0
1,29/06/2016,0.8267,0.5000,20.0000,0
1,30/06/2016,0.9652,0.5000,20.0000,0
1,01/07/2016,0.5099,0.5000,20.0000,0
1,02/07/2016,0.3841,0.5000,20.0000,0
1,03/07/2016,0.5802,0.5000,20.0000,0
1,04/07/2016,0.5019,0.5000,20.0000,0
1,05/07/2016,0.9361,0.5000,20.0000,0
1,06/07/2016,0.7639,0.5000,20.0000,0
1,07/07/2016,0.9580,0.5000,20.0000,0
1,08/07/2016,0.9846,0.5000,20.0000,0
1,09/07/2016,0.9352,0.5000,20.0000,0
1,10/07/2016,0.8356,0.5000,20.0000,0
1,11/07/2016,0.1326,0.5000,20.0000,0
1,12/07/2016,0.3722,0.5000,20.0000,0
1,13/07/2016,0.4437,0.5000,20.0000,0
1,14/07/2016,0.5374,0.5000,20.0000,0
1,15/07/2016,0.4013,0.5000,20.0000,0
1,16/07/2016,0.6337,0.5000,20.0000,0
1,17/07/2016,0.2725,0.5000,20.0000,0
1,18/07/2016,0.6756,0.5000,20.0000,0
1,19/07/2016,0.2515,0.5000,20.0000,0
1,20/07/2016,0.6148,0.5000,20.0000,0
1,21/07/2016,0.5987,0.5000,20.0000,0
1,22/07/2016,0.4114,0.5000,20.0000,0
1,23/07/2016,0.7791,0.5000,20.0000,0
1,24/07/2016,0.3214,0.5000,20.0000,0
1,25/07/2016,0.5914,0.5000,20.0000,0
1,26/07/2016,0.8595,0.5000,20.0000,0
1,27/07/2016,0.3054,0.5000,20.0000,0
1,28/07/2016,0.7779,0.5000,20.0000,0
1,29/07/2016,0.2707,0.5000,20.0000,0
1,30/07/2016,0.9527,0.5000,20.0000,0
1,31/07/2016,0.0245,0.5000,20.0000,0
1,01/08/2016,0.4859,0.5000,20.0000,0
1,02/08/2016,0.3454,0.5000,20.0000,0
1,03/08/2016,0.7763,0.5000,20.0000,0
1,04/08/2016,0.2101,0.5000,20.0000,0
1,05/08/2016,0.4137,0.5000,20.0000,0
1,06/08/2016,0.6900,0.5000,20.0000,0
1,07/08/2016,0.8084,0.5000,20.0000,0
1,08/08/2016,0.6545,0.5000,20.0000,0
1,09/08/2016,0.8332,0.5000,20.0000,0
1,10/08/2016,0.3037,0.5000,20.0000,0
1,11/08/2016,0.0544,0.5000,20.0000,0
1,12/08/2016,0.9214,0.5000,20.0000,0
1,13/08/2016,0.4027,0.5000,20.0000,0
1,14/08/2016,0.3076,0.5000,20.0000,0
1,15/08/2016,0.6055,0.5000,20.0000,0
1,16/08/2016,0.4827,0.5000,20.0000,0
1,17/08/2016,0.2173,0.5000,20.0000,0
1,18/08/2016,0.3639,0.5000,20.0000,0
1,19/08/2016,0.2998,0.5000,20.0000,0
1,20/08/2016,0.1508,0.5000,20.0000,0
1,21/08/2016,0.1193,0.5000,20.0000,0
1,22/08/2016,0.7719,0.5000,20.0000,0
1,23/08/2016,0.9319,0.5000,20.0000,0
1,24/08/2016,0.0491,0.5000,20.0000,0
1,25/08/2016,0.3185,0.5000,20.0000,0
1,26/08/2016,0.1020,0.5000,20.0000,0
1,27/08/2016,0.1218,0.5000,20.0000,0
1,28/08/2016,0.7396,0.5000,20.0000,0
1,29/08/2016,0.1851,0.5000,20.0000,0
1,30/08/2016,0.4159,0.5000,20.0000,0
1,31/08/2016,0.9665,0.5000,20.0000,0
1,01/09/2016,0.2190,0.5000,20.0000,0
1,02/09/2016,0.3431,0.5000,20.0000,0
1,03/09/2016,0.4755,0.5000,20.0000,0
1,04/09/2016,0.8742,0.5000,20.0000,0
1,05/09/2016,0.3492,0.5000,20.0000,0
1,06/09/2016,0.7614,0.5000,20.0000,0
1,07/09/2016,0.4312,0.5000,20.0000,0
1,08/09/2016,0.8013,0.5000,20.0000,0
1,09/09/2016,0.7772,0.5000,20.0000,0
1,10/09/2016,0.4877,0.5000,20.0000,0
1,11/09/2016,0.0787,0.5000,20.0000,0
