ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.8311,0.5000,20.0000,0
1,02/01/2016,0.6458,0.5000,20.0000,0
1,03/01/2016,0.6717,0.5000,20.0000,0
1,04/01/2016,0.7666,0.5000,20.0000,0
1,05/01/2016,0.8519,0.5000,20.0000,0
1,06/01/2016,0.7180,0.5000,20.0000,0
1,07/01/2016,0.1047,0.5000,20.0000,0
1,08/01/2016,0.6638,0.5000,20.0000,0
1,09/01/2016,0.9451,0.5000,20.0000,0
1,10/01/2016,0.0483,0.5000,20.0000,0
1,11/01/2016,0.9851,0.5000,20.0000,0
1,12/01/2016,0.8395,0.5000,20.0000,0
1,13/01/2016,0.1758,0.5000,20.0000,0
1,14/01/2016,0.7602,0.5000,20.0000,0
1,15/01/2016,0.1692,0.5000,20.0000,0
1,16/01/2016,0.3532,0.5000,20.0000,0
1,17/01/2016,0.2664,0.5000,20.0000,0
1,18/01/2016,0.9949,0.5000,20.0000,0
1,19/01/2016,0.4783,0.5000,20.0000,0
1,20/01/2016,0.9292,0.5000,20.0000,0
1,21/01/2016,0.2867,0.5000,20.0000,0
1,22/01/2016,0.0606,0.5000,20.0000,0
1,23/01/2016,0.8176,0.5000,20.0000,0
1,24/01/2016,0.5353,0.5000,20.0000,0
1,25/01/2016,0.3289,0.5000,20.0000,0
1,26/01/2016,0.8706,0.5000,20.0000,0
1,27/01/2016,0.8157,0.5000,20.0000,0
1,28/01/2016,0.4776,0.5000,20.0000,0
1,29/01/2016,0.9121,0.5000,20.0000,0
1,30/01/2016,0.6888,0.5000,20.0000,0
1,31/01/2016,0.1157,0.5000,20.0000,0
1,01/02/2016,0.1210,0.5000,20.0000,0
1,02/02/2016,0.3753,0.5000,20.0000,0
1,03/02/2016,0.3065,0.5000,20.0000,0
1,04/02/2016,0.6473,0.5000,20.0000,0
1,05/02/2016,0.5359,0.5000,20.0000,0
1,06/02/2016,0.6331,0.5000,20.0000,0
1,07/02/2016,0.4767,0.5000,20.0000,0
1,08/02/2016,0.9510,0.5000,20.0000,0
1,09/02/2016,0.5885,0.5000,20.0000,0
1,10/02/2016,0.7753,0.5000,20.0000,0
1,11/02/2016,0.0474,0.5000,20.0000,0
1,12/02/2016,0.1004,0.5000,20.0000,0
1,13/02/2016,0.6290,0.5000,20.0000,0
1,14/02/2016,0.1650,0.5000,20.0000,0
1,15/02/2016,0.5125,0.5000,20.0000,0
1,16/02/2016,0.2721,0.5000,20.0000,0
1,17/02/2016,0.1446,0.5000,20.0000,0
