ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.3509,0.5000,20.0000,0
1,02/01/2016,0.1541,0.5000,20.0000,0
1,03/01/2016,0.1797,0.5000,20.0000,0
1,04/01/2016,0.2885,0.5000,20.0000,0
1,05/01/2016,0.3875,0.5000,20.0000,0
1,06/01/2016,0.4480,0.5000,20.0000,0
1,07/01/2016,0.0087,0.5000,20.0000,0
1,08/01/2016,0.3329,0.5000,20.0000,0
1,09/01/2016,0.8093,0.5000,20.0000,0
1,10/01/2016,0.7818,0.5000,20.0000,0
1,11/01/2016,0.9709,0.5000,20.0000,0
1,12/01/2016,0.7181,0.5000,20.0000,0
1,13/01/2016,0.5117,0.5000,20.0000,0
1,14/01/2016,0.4120,0.5000,20.0000,0
1,15/01/2016,0.8660,0.5000,20.0000,0
1,16/01/2016,0.9256,0.5000,20.0000,0
1,17/01/2016,0.4459,0.5000,20.0000,0
1,18/01/2016,0.0802,0.5000,20.0000,0
1,19/01/2016,0.0542,0.5000,20.0000,0
1,20/01/2016,0.0629,0.5000,20.0000,0
1,21/01/2016,0.8660,0.5000,20.0000,0
1,22/01/2016,0.8126,0.5000,20.0000,0
1,23/01/2016,0.7152,0.5000,20.0000,0
1,24/01/2016,0.5496,0.5000,20.0000,0
1,25/01/2016,0.4993,0.5000,20.0000,0
1,26/01/2016,0.1863,0.5000,20.0000,0
1,27/01/2016,0.7812,0.5000,20.0000,0
1,28/01/2016,0.1546,0.5000,20.0000,0
1,29/01/2016,0.2873,0.5000,20.0000,0
1,30/01/2016,0.2113,0.5000,20.0000,0
1,31/01/2016,0.6112,0.5000,20.0000,0
1,01/02/2016,0.5729,0.5000,20.0000,0
1,02/02/2016,0.8067,0.5000,20.0000,0
1,03/02/2016,0.5030,0.5000,20.0000,0
1,04/02/2016,0.2737,0.5000,20.0000,0
1,05/02/2016,0.1182,0.5000,20.0000,0
1,06/02/2016,0.0929,0.5000,20.0000,0
1,07/02/2016,0.7690,0.5000,20.0000,0
1,08/02/2016,0.9404,0.5000,20.0000,0
1,09/02/2016,0.0904,0.5000,20.0000,0
1,10/02/2016,0.7990,0.5000,20.0000,0
1,11/02/2016,0.9957,0.5000,20.0000,0
1,12/02/2016,0.4003,0.5000,20.0000,0
1,13/02/2016,0.8798,0.5000,20.0000,0
1,14/02/2016,0.7400,0.5000,20.0000,0
1,15/02/2016,0.3520,0.5000,20.0000,0
1,16/02/2016,0.8200,0.5000,20.0000,0
1,17/02/2016,0.3338,0.5000,20.0000,0
1,18/02/2016,0.2227,0.5000,20.0000,0
1,19/02/2016,0.5167,0.5000,20.0000,0
1,20/02/2016,0.9144,0.5000,20.0000,0
1,21/02/2016,0.2294,0.5000,20.0000,0
1,22/02/2016,0.7783,0.5000,20.0000,0
1,23/02/2016,0.8136,0.5000,20.0000,0
1,24/02/2016,0.0925,0.5000,20.0000,0
1,25/02/2016,0.5020,0.5000,20.0000,0
1,26/02/2016,0.9491,0.5000,20.0000,0
1,27/02/2016,0.1156,0.5000,20.0000,0
1,28/02/2016,0.0410,0.5000,20.0000,0
