ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.2473,0.5000,20.0000,0
1,02/01/2016,0.8042,0.5000,20.0000,0
1,03/01/2016,0.9632,0.5000,20.0000,0
1,04/01/2016,0.5551,0.5000,20.0000,0
1,05/01/2016,0.1848,0.5000,20.0000,0
1,06/01/2016,0.6715,0.5000,20.0000,0
1,07/01/2016,0.0495,0.5000,20.0000,0
1,08/01/2016,0.7074,0.5000,20.0000,0
1,09/01/2016,0.5572,0.5000,20.0000,0
1,10/01/2016,0.3579,0.5000,20.0000,0
1,11/01/2016,0.7055,0.5000,20.0000,0
1,12/01/2016,0.6115,0.5000,20.0000,0
1,13/01/2016,0.5477,0.5000,20.0000,0
1,14/01/2016,0.7086,0.5000,20.0000,0
1,15/01/2016,0.5231,0.5000,20.0000,0
1,16/01/2016,0.7447,0.5000,20.0000,0
1,17/01/2016,0.3509,0.5000,20.0000,0
1,18/01/2016,0.8623,0.5000,20.0000,0
1,19/01/2016,0.3940,0.5000,20.0000,0
1,20/01/2016,0.0263,0.5000,20.0000,0
1,21/01/2016,0.1184,0.5000,20.0000,0
1,22/01/2016,0.4761,0.5000,20.0000,0
1,23/01/2016,0.1708,0.5000,20.0000,0
1,24/01/2016,0.9477,0.5000,20.0000,0
1,25/01/2016,0.8195,0.5000,20.0000,0
1,26/01/2016,0.6673,0.5000,20.0000,0
1,27/01/2016,0.0166,0.5000,20.0000,0
1,28/01/2016,0.4431,0.5000,20.0000,0
1,29/01/2016,0.3572,0.5000,20.0000,0
1,30/01/2016,0.6825,0.5000,20.0000,0
1,31/01/2016,0.3020,0.5000,20.0000,0
1,01/02/2016,0.5408,0.5000,20.0000,0
1,02/02/2016,0.2215,0.5000,20.0000,0
1,03/02/2016,0.9610,0.5000,20.0000,0
1,04/02/2016,0.7970,0.5000,20.0000,0
1,05/02/2016,0.9775,0.5000,20.0000,0
1,06/02/2016,0.5873,0.5000,20.0000,0
1,07/02/2016,0.3272,0.5000,20.0000,0
1,08/02/2016,0.9825,0.5000,20.0000,0
1,09/02/2016,0.3377,0.5000,20.0000,0
1,10/02/2016,0.7743,0.5000,20.0000,0
1,11/02/2016,0.4328,0.5000,20.0000,0
1,12/02/2016,0.3369,0.5000,20.0000,0
1,13/02/2016,0.9722,0.5000,20.0000,0
1,14/02/2016,0.6363,0.5000,20.0000,0
1,15/02/2016,0.8383,0.5000,20.0000,0
1,16/02/2016,0.5569,0.5000,20.0000,0
1,17/02/2016,0.9233,0.5000,20.0000,0
1,18/02/2016,0.2345,0.5000,20.0000,0
1,19/02/2016,0.9158,0.5000,20.0000,0
1,20/02/2016,0.2307,0.5000,20.0000,0
1,21/02/2016,0.4299,0.5000,20.0000,0
1,22/02/2016,0.9360,0.5000,20.0000,0
1,23/02/2016,0.2045,0.5000,20.0000,0
1,24/02/2016,0.3497,0.5000,20.0000,0
1,25/02/2016,0.5120,0.5000,20.0000,0
1,26/02/2016,0.1081,0.5000,20.0000,0
1,27/02/2016,0.2386,0.5000,20.0000,0
1,28/02/2016,0.2508,0.5000,20.0000,0
1,29/02/2016,0.3765,0.5000,20.0000,0
1,01/03/2016,0.3826,0.5000,20.0000,0
1,02/03/2016,0.6708,0.5000,20.0000,0
1,03/03/2016,0.9525,0.5000,20.0000,0
1,04/03/2016,0.7246,0.5000,20.0000,0
1,05/03/2016,0.3919,0.5000,20.0000,0
1,06/03/2016,0.6212,0.5000,20.0000,0
1,07/03/2016,0.4001,0.5000,20.0000,0
1,08/03/2016,0.4569,0.5000,20.0000,0
1,09/03/2016,0.3711,0.5000,20.0000,0
1,10/03/2016,0.4465,0.5000,20.0000,0
1,11/03/2016,0.2468,0.5000,20.0000,0
1,12/03/2016,0.0212,0.5000,20.0000,0
1,13/03/2016,0.1138,0.5000,20.0000,0
1,14/03/2016,0.9985,0.5000,20.0000,0
1,15/03/2016,0.1271,0.5000,20.0000,0
1,16/03/2016,0.2880,0.5000,20.0000,0
1,17/03/2016,0.3066,0.5000,20.0000,0
1,18/03/2016,0.9875,0.5000,20.0000,0
1,19/03/2016,0.1498,0.5000,20.0000,0
1,20/03/2016,0.1659,0.5000,20.0000,0
1,21/03/2016,0.4569,0.5000,20.0000,0
1,22/03/2016,0.2323,0.5000,20.0000,0
