ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.4211,0.5000,20.0000,0
1,02/01/2016,0.7541,0.5000,20.0000,0
1,03/01/2016,0.3395,0.5000,20.0000,0
1,04/01/2016,0.4598,0.5000,20.0000,0
1,05/01/2016,0.4911,0.5000,20.0000,0
1,06/01/2016,0.3670,0.5000,20.0000,0
1,07/01/2016,0.8941,0.5000,20.0000,0
1,08/01/2016,0.1070,0.5000,20.0000,0
1,09/01/2016,0.3596,0.5000,20.0000,0
1,10/01/2016,0.6863,0.5000,20.0000,0
1,11/01/2016,0.2863,0.5000,20.0000,0
1,12/01/2016,0.5082,0.5000,20.0000,0
1,13/01/2016,0.9292,0.5000,20.0000,0
1,14/01/2016,0.5325,0.5000,20.0000,0
1,15/01/2016,0.0509,0.5000,20.0000,0
1,16/01/2016,0.7311,0.5000,20.0000,0
1,17/01/2016,0.8653,0.5000,20.0000,0
1,18/01/2016,0.3735,0.5000,20.0000,0
1,19/01/2016,0.0603,0.5000,20.0000,0
1,20/01/2016,0.8806,0.5000,20.0000,0
1,21/01/2016,0.1241,0.5000,20.0000,0
1,22/01/2016,0.5300,0.5000,20.0000,0
1,23/01/2016,0.9861,0.5000,20.0000,0
1,24/01/2016,0.5647,0.5000,20.0000,0
1,25/01/2016,0.4007,0.5000,20.0000,0
1,26/01/2016,0.5056,0.5000,20.0000,0
1,27/01/2016,0.1326,0.5000,20.0000,0
1,28/01/2016,0.1594,0.5000,20.0000,0
1,29/01/2016,0.0604,0.5000,20.0000,0
1,30/01/2016,0.3278,0.5000,20.0000,0
1,31/01/2016,0.3285,0.5000,20.0000,0
1,01/02/2016,0.8503,0.5000,20.0000,0
1,02/02/2016,0.8590,0.5000,20.0000,0
1,03/02/2016,0.9778,0.5000,20.0000,0
1,04/02/2016,0.6532,0.5000,20.0000,0
1,05/02/2016,0.7310,0.5000,20.0000,0
1,06/02/2016,0.5905,0.5000,20.0000,0
1,07/02/2016,0.6441,0.5000,20.0000,0
1,08/02/2016,0.9193,0.5000,20.0000,0
1,09/02/2016,0.6416,0.5000,20.0000,0
1,10/02/2016,0.7072,0.5000,20.0000,0
1,11/02/2016,0.5062,0.5000,20.0000,0
1,12/02/2016,0.8464,0.5000,20.0000,0
1,13/02/2016,0.0545,0.5000,20.0000,0
1,14/02/2016,0.1992,0.5000,20.0000,0
1,15/02/2016,0.2001,0.5000,20.0000,0
1,16/02/2016,0.2327,0.5000,20.0000,0
1,17/02/2016,0.3760,0.5000,20.0000,0
1,18/02/2016,0.2420,0.5000,20.0000,0
1,19/02/2016,0.2545,0.5000,20.0000,0
1,20/02/2016,0.0186,0.5000,20.0000,0
1,21/02/2016,0.4018,0.5000,20.0000,0
1,22/02/2016,0.8320,0.5000,20.0000,0
1,23/02/2016,0.9537,0.5000,20.0000,0
1,24/02/2016,0.5470,0.5000,20.0000,0
1,25/02/2016,0.3822,0.5000,20.0000,0
1,26/02/2016,0.0284,0.5000,20.0000,0
1,27/02/2016,0.2927,0.5000,20.0000,0
1,28/02/2016,0.8777,0.5000,20.0000,0
1,29/02/2016,0.3566,0.5000,20.0000,0
1,01/03/2016,0.1447,0.5000,20.0000,0
1,02/03/2016,0.6829,0.5000,20.0000,0
1,03/03/2016,0.2763,0.5000,20.0000,0
1,04/03/2016,0.2529,0.5000,20.0000,0
1,05/03/2016,0.3169,0.5000,20.0000,0
1,06/03/2016,0.6884,0.5000,20.0000,0
1,07/03/2016,0.2880,0.5000,20.0000,0
1,08/03/2016,0.1855,0.5000,20.0000,0
1,09/03/2016,0.1343,0.5000,20.0000,0
1,10/03/2016,0.5850,0.5000,20.0000,0
1,11/03/2016,0.5784,0.5000,20.0000,0
1,12/03/2016,0.2738,0.5000,20.0000,0
1,13/03/2016,0.2207,0.5000,20.0000,0
1,14/03/2016,0.4215,0.5000,20.0000,0
1,15/03/2016,0.8514,0.5000,20.0000,0
1,16/03/2016,0.6378,0.5000,20.0000,0
1,17/03/2016,0.3609,0.5000,20.0000,0
1,18/03/2016,0.0417,0.5000,20.0000,0
1,19/03/2016,0.0457,0.5000,20.0000,0
1,20/03/2016,0.3447,0.5000,20.0000,0
1,21/03/2016,0.8390,0.5000,20.0000,0
1,22/03/2016,0.1381,0.5000,20.0000,0
1,23/03/2016,0.4172,0.5000,20.0000,0
1,24/03/2016,0.1569,0.5000,20.0000,0
1,25/03/2016,0.6197,0.5000,20.0000,0
1,26/03/2016,0.1278,0.5000,20.0000,0
1,27/03/2016,0.5556,0.5000,20.0000,0
1,28/03/2016,0.1739,0.5000,20.0000,0
1,29/03/2016,0.5280,0.5000,20.0000,0
1,30/03/2016,0.0246,0.5000,20.0000,0
1,31/03/2016,0.3950,0.5000,20.0000,0
1,01/04/2016,0.6509,0.5000,20.0000,0
1,02/04/2016,0.8224,0.5000,20.0000,0
1,03/04/2016,0.3028,0.5000,20.0000,0
1,04/04/2016,0.5879,0.5000,20.0000,0
1,05/04/2016,0.3771,0.5000,20.0000,0
1,06/04/2016,0.2113,0.5000,20.0000,0
1,07/04/2016,0.6895,0.5000,20.0000,0
1,08/04/2016,0.7480,0.5000,20.0000,0
1,09/04/2016,0.5825,0.5000,20.0000,0
1,10/04/2016,0.0419,0.5000,20.0000,0
1,11/04/2016,0.9058,0.5000,20.0000,0
1,12/04/2016,0.8686,0.5000,20.0000,0
1,13/04/2016,0.2174,0.5000,20.0000,0
1,14/04/2016,0.5693,0.5000,20.0000,0
1,15/04/2016,0.8035,0.5000,20.0000,0
1,16/04/2016,0.0709,0.5000,20.0000,0
1,17/04/2016,0.2218,0.5000,20.0000,0
1,18/04/2016,0.0781,0.5000,20.0000,0
1,19/04/2016,0.4870,0.5000,20.0000,0
1,20/04/2016,0.0107,0.5000,20.0000,0
1,21/04/2016,0.9600,0.5000,20.0000,0
1,22/04/2016,0.7604,0.5000,20.0000,0
1,23/04/2016,0.2488,0.5000,20.0000,0
1,24/04/2016,0.1929,0.5000,20.0000,0
1,25/04/2016,0.3759,0.5000,20.0000,0
1,26/04/2016,0.3047,0.5000,20.0000,0
1,27/04/2016,0.8850,0.5000,20.0000,0
1,28/04/2016,0.5919,0.5000,20.0000,0
1,29/04/2016,0.0864,0.5000,20.0000,0
1,30/04/2016,0.8997,0.5000,20.0000,0
1,01/05/2016,0.0802,0.5000,20.0000,0
1,02/05/2016,0.0972,0.5000,20.0000,0
1,03/05/2016,0.4279,0.5000,20.0000,0
1,04/05/2016,0.0898,0.5000,20.0000,0
1,05/05/2016,0.7861,0.5000,20.0000,0
1,06/05/2016,0.8519,0.5000,20.0000,0
1,07/05/2016,0.5964,0.5000,20.0000,0
1,08/05/2016,0.8267,0.5000,20.0000,0
1,09/05/2016,0.8507,0.5000,20.0000,0
1,10/05/2016,0.8776,0.5000,20.0000,0
1,11/05/2016,0.9268,0.5000,20.0000,0
1,12/05/2016,0.2055,0.5000,20.0000,0
1,13/05/2016,0.8943,0.5000,20.0000,0
1,14/05/2016,0.1776,0.5000,20.0000,0
1,15/05/2016,0.1303,0.5000,20.0000,0
1,16/05/2016,0.6274,0.5000,20.0000,0
1,17/05/2016,0.4422,0.5000,20.0000,0
1,18/05/2016,0.6479,0.5000,20.0000,0
1,19/05/2016,0.5435,0.5000,20.0000,0
1,20/05/2016,0.0113,0.5000,20.0000,0
1,21/05/2016,0.1626,0.5000,20.0000,0
1,22/05/2016,0.7182,0.5000,20.0000,0
1,23/05/2016,0.8645,0.5000,20.0000,0
1,24/05/2016,0.8671,0.5000,20.0000,0
1,25/05/2016,0.3726,0.5000,20.0000,0
1,26/05/2016,0.0383,0.5000,20.0000,0
1,27/05/2016,0.9093,0.5000,20.0000,0
1,28/05/2016,0.0050,0.5000,20.0000,0
1,29/05/2016,0.3868,0.5000,20.0000,0
1,30/05/2016,0.7120,0.5000,20.0000,0
1,31/05/2016,0.5574,0.5000,20.0000,0
1,01/06/2016,0.6095,0.5000,20.0000,0
1,02/06/2016,0.3371,0.5000,20.0000,0
