ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.8054,0.5000,20.0000,0
1,02/01/2016,0.6894,0.5000,20.0000,0
1,03/01/2016,0.9566,0.5000,20.0000,0
1,04/01/2016,0.0757,0.5000,20.0000,0
1,05/01/2016,0.5772,0.5000,20.0000,0
1,06/01/2016,0.3651,0.5000,20.0000,0
1,07/01/2016,0.2092,0.5000,20.0000,0
1,08/01/2016,0.5718,0.5000,20.0000,0
1,09/01/2016,0.0782,0.5000,20.0000,0
1,10/01/2016,0.7457,0.5000,20.0000,0
1,11/01/2016,0.9012,0.5000,20.0000,0
1,12/01/2016,0.8140,0.5000,20.0000,0
1,13/01/2016,0.7212,0.5000,20.0000,0
1,14/01/2016,0.0582,0.5000,20.0000,0
1,15/01/2016,0.1797,0.5000,20.0000,0
1,16/01/2016,0.9203,0.5000,20.0000,0
1,17/01/2016,0.9158,0.5000,20.0000,0
1,18/01/2016,0.8627,0.5000,20.0000,0
1,19/01/2016,0.4109,0.5000,20.0000,0
1,20/01/2016,0.6330,0.5000,20.0000,0
1,21/01/2016,0.6455,0.5000,20.0000,0
1,22/01/2016,0.1692,0.5000,20.0000,0
1,23/01/2016,0.4281,0.5000,20.0000,0
1,24/01/2016,0.4966,0.5000,20.0000,0
1,25/01/2016,0.2400,0.5000,20.0000,0
1,26/01/2016,0.8990,0.5000,20.0000,0
1,27/01/2016,0.1762,0.5000,20.0000,0
1,28/01/2016,0.6491,0.5000,20.0000,0
1,29/01/2016,0.4203,0.5000,20.0000,0
1,30/01/2016,0.9806,0.5000,20.0000,0
1,31/01/2016,0.7815,0.5000,20.0000,0
1,01/02/2016,0.6783,0.5000,20.0000,0
1,02/02/2016,0.2432,0.5000,20.0000,0
1,03/02/2016,0.7532,0.5000,20.0000,0
1,04/02/2016,0.8283,0.5000,20.0000,0
1,05/02/2016,0.8909,0.5000,20.0000,0
1,06/02/2016,0.0962,0.5000,20.0000,0
1,07/02/2016,0.5971,0.5000,20.0000,0
1,08/02/2016,0.2040,0.5000,20.0000,0
1,09/02/2016,0.5242,0.5000,20.0000,0
1,10/02/2016,0.8542,0.5000,20.0000,0
1,11/02/2016,0.1042,0.5000,20.0000,0
1,12/02/2016,0.7188,0.5000,20.0000,0
1,13/02/2016,0.9373,0.5000,20.0000,0
1,14/02/2016,0.4819,0.5000,20.0000,0
1,15/02/2016,0.5237,0.5000,20.0000,0
1,16/02/2016,0.7401,0.5000,20.0000,0
1,17/02/2016,0.4069,0.5000,20.0000,0
1,18/02/2016,0.0518,0.5000,20.0000,0
1,19/02/2016,0.6392,0.5000,20.0000,0
1,20/02/2016,0.6539,0.5000,20.0000,0
1,21/02/2016,0.2204,0.5000,20.0000,0
1,22/02/2016,0.1517,0.5000,20.0000,0
1,23/02/2016,0.8449,0.5000,20.0000,0
1,24/02/2016,0.5027,0.5000,20.0000,0
1,25/02/2016,0.7794,0.5000,20.0000,0
1,26/02/2016,0.4451,0.5000,20.0000,0
1,27/02/2016,0.6801,0.5000,20.0000,0
1,28/02/2016,0.8100,0.5000,20.0000,0
1,29/02/2016,0.4639,0.5000,20.0000,0
1,01/03/2016,0.2515,0.5000,20.0000,0
1,02/03/2016,0.4769,0.5000,20.0000,0
1,03/03/2016,0.5766,0.5000,20.0000,0
1,04/03/2016,0.8175,0.5000,20.0000,0
1,05/03/2016,0.2019,0.5000,20.0000,0
1,06/03/2016,0.7846,0.5000,20.0000,0
1,07/03/2016,0.1704,0.5000,20.0000,0
1,08/03/2016,0.8696,0.5000,20.0000,0
1,09/03/2016,0.0771,0.5000,20.0000,0
1,10/03/2016,0.9365,0.5000,20.0000,0
1,11/03/2016,0.4460,0.5000,20.0000,0
1,12/03/2016,0.6507,0.5000,20.0000,0
1,13/03/2016,0.8921,0.5000,20.0000,0
1,14/03/2016,0.7134,0.5000,20.0000,0
1,15/03/2016,0.4393,0.5000,20.0000,0
1,16/03/2016,0.4814,0.5000,20.0000,0
1,17/03/2016,0.5901,0.5000,20.0000,0
1,18/03/2016,0.6608,0.5000,20.0000,0
1,19/03/2016,0.5639,0.5000,20.0000,0
1,20/03/2016,0.0228,0.5000,20.0000,0
1,21/03/2016,0.2072,0.5000,20.0000,0
1,22/03/2016,0.1002,0.5000,20.0000,0
1,23/03/2016,0.1519,0.5000,20.0000,0
1,24/03/2016,0.6625,0.5000,20.0000,0
1,25/03/2016,0.2868,0.5000,20.0000,0
1,26/03/2016,0.7613,0.5000,20.0000,0
1,27/03/2016,0.8685,0.5000,20.0000,0
1,28/03/2016,0.5235,0.5000,20.0000,0
1,29/03/2016,0.6149,0.5000,20.0000,0
1,30/03/2016,0.2692,0.5000,20.0000,0
1,31/03/2016,0.8255,0.5000,20.0000,0
1,01/04/2016,0.0521,0.5000,20.0000,0
1,02/04/2016,0.4913,0.5000,20.0000,0
1,03/04/2016,0.6386,0.5000,20.0000,0
1,04/04/2016,0.3208,0.5000,20.0000,0
1,05/04/2016,0.7743,0.5000,20.0000,0
1,06/04/2016,0.4303,0.5000,20.0000,0
1,07/04/2016,0.1695,0.5000,20.0000,0
1,08/04/2016,0.4560,0.5000,20.0000,0
1,09/04/2016,0.8905,0.5000,20.0000,0
1,10/04/2016,0.8019,0.5000,20.0000,0
1,11/04/2016,0.5290,0.5000,20.0000,0
1,12/04/2016,0.3915,0.5000,20.0000,0
1,13/04/2016,0.4573,0.5000,20.0000,0
1,14/04/2016,0.7966,0.5000,20.0000,0
1,15/04/2016,0.1286,0.5000,20.0000,0
1,16/04/2016,0.8328,0.5000,20.0000,0
1,17/04/2016,0.1397,0.5000,20.0000,0
1,18/04/2016,0.0171,0.5000,20.0000,0
1,19/04/2016,0.4112,0.5000,20.0000,0
1,20/04/2016,0.0602,0.5000,20.0000,0
1,21/04/2016,0.6203,0.5000,20.0000,0
1,22/04/2016,0.1391,0.5000,20.0000,0
1,23/04/2016,0.3513,0.5000,20.0000,0
1,24/04/2016,0.7720,0.5000,20.0000,0
1,25/04/2016,0.3130,0.5000,20.0000,0
1,26/04/2016,0.0207,0.5000,20.0000,0
1,27/04/2016,0.7118,0.5000,20.0000,0
1,28/04/2016,0.7154,0.5000,20.0000,0
1,29/04/2016,0.6916,0.5000,20.0000,0
1,30/04/2016,0.5983,0.5000,20.0000,0
1,01/05/2016,0.1041,0.5000,20.0000,0
1,02/05/2016,0.3848,0.5000,20.0000,0
1,03/05/2016,0.6476,0.5000,20.0000,0
1,04/05/2016,0.1991,0.5000,20.0000,0
1,05/05/2016,0.7523,0.5000,20.0000,0
1,06/05/2016,0.8227,0.5000,20.0000,0
1,07/05/2016,0.2062,0.5000,20.0000,0
1,08/05/2016,0.0650,0.5000,20.0000,0
1,09/05/2016,0.7263,0.5000,20.0000,0
1,10/05/2016,0.2138,0.5000,20.0000,0
1,11/05/2016,0.1604,0.5000,20.0000,0
1,12/05/2016,0.1823,0.5000,20.0000,0
1,13/05/2016,0.8878,0.5000,20.0000,0
1,14/05/2016,0.2650,0.5000,20.0000,0
1,15/05/2016,0.2673,0.5000,20.0000,0
1,16/05/2016,0.1248,0.5000,20.0000,0
1,17/05/2016,0.2942,0.5000,20.0000,0
1,18/05/2016,0.9728,0.5000,20.0000,0
1,19/05/2016,0.6962,0.5000,20.0000,0
1,20/05/2016,0.2847,0.5000,20.0000,0
1,21/05/2016,0.1357,0.5000,20.0000,0
1,22/05/2016,0.4017,0.5000,20.0000,0
1,23/05/2016,0.8912,0.5000,20.0000,0
1,24/05/2016,0.0885,0.5000,20.0000,0
1,25/05/2016,0.3762,0.5000,20.0000,0
1,26/05/2016,0.9045,0.5000,20.0000,0
1,27/05/2016,0.2048,0.5000,20.0000,0
1,28/05/2016,0.8092,0.5000,20.0000,0
1,29/05/2016,0.3756,0.5000,20.0000,0
1,30/05/2016,0.8715,0.5000,20.0000,0
1,31/05/2016,0.8396,0.5000,20.0000,0
1,01/06/2016,0.3328,0.5000,20.0000,0
1,02/06/2016,0.6919,0.5000,20.0000,0
1,03/06/2016,0.9161,0.5000,20.0000,0
1,04/06/2016,0.4049,0.5000,20.0000,0
1,05/06/2016,0.9228,0.5000,20.0000,0
1,06/06/2016,0.6436,0.5000,20.0000,0
1,07/06/2016,0.5094,0.5000,20.0000,0
1,08/06/2016,0.2276,0.5000,20.0000,0
1,09/06/2016,0.7559,0.5000,20.0000,0
1,10/06/2016,0.9652,0.5000,20.0000,0
1,11/06/2016,0.4289,0.5000,20.0000,0
1,12/06/2016,0.3559,0.5000,20.0000,0
1,13/06/2016,0.3005,0.5000,20.0000,0
1,14/06/2016,0.2536,0.5000,20.0000,0
1,15/06/2016,0.0832,0.5000,20.0000,0
1,16/06/2016,0.5256,0.5000,20.0000,0
1,17/06/2016,0.0771,0.5000,20.0000,0
