ISOTime,Flow,Sal,Temp,zeroes,TSS
01/01/2016,0.1439,0.5000,20.0000,0
1,02/01/2016,0.9927,0.5000,20.0000,0
1,03/01/2016,0.2195,0.5000,20.0000,0
1,04/01/2016,0.4053,0.5000,20.0000,0
1,05/01/2016,0.8191,0.5000,20.0000,0
1,06/01/2016,0.8574,0.5000,20.0000,0
1,07/01/2016,0.0954,0.5000,20.0000,0
1,08/01/2016,0.2747,0.5000,20.0000,0
1,09/01/2016,0.5522,0.5000,20.0000,0
1,10/01/2016,0.2522,0.5000,20.0000,0
1,11/01/2016,0.6396,0.5000,20.0000,0
1,12/01/2016,0.5767,0.5000,20.0000,0
1,13/01/2016,0.3805,0.5000,20.0000,0
1,14/01/2016,0.5095,0.5000,20.0000,0
1,15/01/2016,0.9014,0.5000,20.0000,0
1,16/01/2016,0.6865,0.5000,20.0000,0
1,17/01/2016,0.7560,0.5000,20.0000,0
1,18/01/2016,0.7469,0.5000,20.0000,0
1,19/01/2016,0.4817,0.5000,20.0000,0
1,20/01/2016,0.4814,0.5000,20.0000,0
1,21/01/2016,0.8904,0.5000,20.0000,0
1,22/01/2016,0.7859,0.5000,20.0000,0
1,23/01/2016,0.8683,0.5000,20.0000,0
1,24/01/2016,0.9025,0.5000,20.0000,0
1,25/01/2016,0.5734,0.5000,20.0000,0
1,26/01/2016,0.9200,0.5000,20.0000,0
1,27/01/2016,0.8529,0.5000,20.0000,0
1,28/01/2016,0.8948,0.5000,20.0000,0
1,29/01/2016,0.7035,0.5000,20.0000,0
1,30/01/2016,0.4351,0.5000,20.0000,0
1,31/01/2016,0.5783,0.5000,20.0000,0
1,01/02/2016,0.7698,0.5000,20.0000,0
1,02/02/2016,0.5906,0.5000,20.0000,0
1,03/02/2016,0.5163,0.5000,20.0000,0
1,04/02/2016,0.4844,0.5000,20.0000,0
1,05/02/2016,0.8943,0.5000,20.0000,0
1,06/02/2016,0.0770,0.5000,20.0000,0
1,07/02/2016,0.3653,0.5000,20.0000,0
1,08/02/2016,0.8712,0.5000,20.0000,0
1,09/02/2016,0.8287,0.5000,20.0000,0
1,10/02/2016,0.9922,0.5000,20.0000,0
1,11/02/2016,0.5667,0.5000,20.0000,0
1,12/02/2016,0.5343,0.5000,20.0000,0
1,13/02/2016,0.5676,0.5000,20.0000,0
1,14/02/2016,0.2335,0.5000,20.0000,0
1,15/02/2016,0.8664,0.5000,20.0000,0
1,16/02/2016,0.8474,0.5000,20.0000,0
1,17/02/2016,0.0462,0.5000,20.0000,0
1,18/02/2016,0.7362,0.5000,20.0000,0
1,19/02/2016,0.8242,0.5000,20.0000,0
1,20/02/2016,0.4963,0.5000,20.0000,0
1,21/02/2016,0.7928,0.5000,20.0000,0
1,22/02/2016,0.7897,0.5000,20.0000,0
1,23/02/2016,0.2577,0.5000,20.0000,0
1,24/02/2016,0.1020,0.5000,20.0000,0
1,25/02/2016,0.4338,0.5000,20.0000,0
1,26/02/2016,0.0206,0.5000,20.0000,0
1,27/02/2016,0.6199,0.5000,20.0000,0
1,28/02/2016,0.1200,0.5000,20.0000,0
1,29/02/2016,0.6024,0.5000,20.0000,0
1,01/03/2016,0.0761,0.5000,20.0000,0
1,02/03/2016,0.5694,0.5000,20.0000,0
1,03/03/2016,0.5453,0.5000,20.0000,0
1,04/03/2016,0.6696,0.5000,20.0000,0
1,05/03/2016,0.4207,0.5000,20.0000,0
1,06/03/2016,0.8871,0.5000,20.0000,0
1,07/03/2016,0.9526,0.5000,20.0000,0
1,08/03/2016,0.1450,0.5000,20.0000,0
1,09/03/2016,0.4694,0.5000,20.0000,0
1,10/03/2016,0.4133,0.5000,20.0000,0
1,11/03/2016,0.7614,0.5000,20.0000,0
1,12/03/2016,0.0947,0.5000,20.0000,0
1,13/03/2016,0.4453,0.5000,20.0000,0
1,14/03/2016,0.0486,0.5000,20.0000,0
1,15/03/2016,0.8281,0.5000,20.0000,0
1,16/03/2016,0.9017,0.5000,20.0000,0
1,17/03/2016,0.8570,0.5000,20.0000,0
1,18/03/2016,0.3622,0.5000,20.0000,0
1,19/03/2016,0.0539,0.5000,20.0000,0
1,20/03/2016,0.6933,0.5000,20.0000,0
1,21/03/2016,0.7661,0.5000,20.0000,0
1,22/03/2016,0.3547,0.5000,20.0000,0
1,23/03/2016,0.2315,0.5000,20.0000,0
1,24/03/2016,0.6806,0.5000,20.0000,0
1,25/03/2016,0.7293,0.5000,20.0000,0
1,26/03/2016,0.1591,0.5000,20.0000,0
1,27/03/2016,0.3231,0.5000,20.0000,0
1,28/03/2016,0.1166,0.5000,20.0000,0
1,29/03/2016,0.5871,0.5000,20.0000,0
1,30/03/2016,0.3467,0.5000,20.0000,0
1,31/03/2016,0.3429,0.5000,20.0000,0
1,01/04/2016,0.4728,0.5000,20.0000,0
1,02/04/2016,0.4631,0.5000,20.0000,0
1,03/04/2016,0.9671,0.5000,20.0000,0
1,04/04/2016,0.9264,0.5000,20.0000,0
1,05/04/2016,0.8787,0.5000,20.0000,0
1,06/04/2016,0.2544,0.5000,20.0000,0
1,07/04/2016,0.7398,0.5000,20.0000,0
1,08/04/2016,0.5107,0.5000,20.0000,0
1,09/04/2016,0.1199,0.5000,20.0000,0
1,10/04/2016,0.2863,0.5000,20.0000,0
1,11/04/2016,0.2992,0.5000,20.0000,0
1,12/04/2016,0.6691,0.5000,20.0000,0
1,13/04/2016,0.6519,0.5000,20.0000,0
1,14/04/2016,0.4121,0.5000,20.0000,0
1,15/04/2016,0.3346,0.5000,20.0000,0
1,16/04/2016,0.7907,0.5000,20.0000,0
1,17/04/2016,0.4286,0.5000,20.0000,0
1,18/04/2016,0.7632,0.5000,20.0000,0
1,19/04/2016,0.6747,0.5000,20.0000,0
1,20/04/2016,0.7549,0.5000,20.0000,0
1,21/04/2016,0.0109,0.5000,20.0000,0
1,22/04/2016,0.0651,0.5000,20.0000,0
1,23/04/2016,0.0208,0.5000,20.0000,0
1,24/04/2016,0.8515,0.5000,20.0000,0
1,25/04/2016,0.4439,0.5000,20.0000,0
1,26/04/2016,0.9059,0.5000,20.0000,0
1,27/04/2016,0.1240,0.5000,20.0000,0
1,28/04/2016,0.6668,0.5000,20.0000,0
1,29/04/2016,0.3963,0.5000,20.0000,0
1,30/04/2016,0.4569,0.5000,20.0000,0
1,01/05/2016,0.8588,0.5000,20.0000,0
1,02/05/2016,0.8980,0.5000,20.0000,0
1,03/05/2016,0.1645,0.5000,20.0000,0
1,04/05/2016,0.5304,0.5000,20.0000,0
1,05/05/2016,0.0879,0.5000,20.0000,0
1,06/05/2016,0.1297,0.5000,20.0000,0
1,07/05/2016,0.0487,0.5000,20.0000,0
