ID,WL,U,V,Sal,Temp,TRACE_1,TRACE_2,TRACE_3
1,0.065,0,0,30.0,22.0,0,0,0
2,0.065,0,0,30.0,22.0,0,0,0
3,0.065,0,0,30.0,22.0,0,0,0
4,0.065,0,0,30.0,22.0,0,0,0
5,0.065,0,0,30.0,22.0,0,0,0
6,0.065,0,0,30.0,22.0,0,0,0
7,0.065,0,0,30.0,22.0,0,0,0
8,0.065,0,0,30.0,22.0,0,0,0
9,0.065,0,0,30.0,22.0,0,0,0
10,0.065,0,0,30.0,22.0,0,0,0
11,0.065,0,0,30.0,22.0,0,0,0
12,0.065,0,0,30.0,22.0,0,0,0
13,0.065,0,0,30.0,22.0,0,0,0
14,0.065,0,0,30.0,22.0,0,0,0
15,0.065,0,0,30.0,22.0,0,0,0
16,0.065,0,0,30.0,22.0,0,0,0
17,0.065,0,0,30.0,22.0,0,0,0
18,0.065,0,0,30.0,22.0,0,0,0
19,0.065,0,0,30.0,22.0,0,0,0
20,0.065,0,0,30.0,22.0,0,0,0
21,0.065,0,0,30.0,22.0,0,0,0
22,0.065,0,0,30.0,22.0,0,0,0
23,0.065,0,0,30.0,22.0,0,0,0
24,0.065,0,0,30.0,22.0,0,0,0
25,0.065,0,0,30.0,22.0,0,0,0
26,0.065,0,0,30.0,22.0,0,0,0
27,0.065,0,0,30.0,22.0,0,0,0
28,0.065,0,0,30.0,22.0,0,0,0
29,0.065,0,0,30.0,22.0,0,0,0
30,0.065,0,0,30.0,22.0,0,0,0
31,0.065,0,0,30.0,22.0,0,0,0
32,0.065,0,0,30.0,22.0,0,0,0
33,0.065,0,0,30.0,22.0,0,0,0
34,0.065,0,0,30.0,22.0,0,0,0
35,0.065,0,0,30.0,22.0,0,0,0
36,0.065,0,0,30.0,22.0,0,0,0
37,0.065,0,0,30.0,22.0,0,0,0
38,0.065,0,0,30.0,22.0,0,0,0
39,0.065,0,0,30.0,22.0,0,0,0
40,0.065,0,0,30.0,22.0,0,0,0
41,0.065,0,0,30.0,22.0,0,0,0
42,0.065,0,0,30.0,22.0,0,0,0
43,0.065,0,0,30.0,22.0,0,0,0
44,0.065,0,0,30.0,22.0,0,0,0
45,0.065,0,0,30.0,22.0,0,0,0
46,0.065,0,0,30.0,22.0,0,0,0
47,0.065,0,0,30.0,22.0,0,0,0
48,0.065,0,0,30.0,22.0,0,0,0
49,0.065,0,0,30.0,22.0,0,0,0
50,0.065,0,0,30.0,22.0,0,0,0
51,0.065,0,0,30.0,22.0,0,0,0
52,0.065,0,0,30.0,22.0,0,0,0
53,0.065,0,0,30.0,22.0,0,0,0
54,0.065,0,0,30.0,22.0,0,0,0
55,0.065,0,0,30.0,22.0,0,0,0
56,0.065,0,0,30.0,22.0,0,0,0
57,0.065,0,0,30.0,22.0,0,0,0
58,0.065,0,0,30.0,22.0,0,0,0
59,0.065,0,0,30.0,22.0,0,0,0
60,0.065,0,0,30.0,22.0,0,0,0
61,0.065,0,0,30.0,22.0,0,0,0
62,0.065,0,0,30.0,22.0,0,0,0
63,0.065,0,0,30.0,22.0,0,0,0
64,0.065,0,0,30.0,22.0,0,0,0
65,0.065,0,0,30.0,22.0,0,0,0
66,0.065,0,0,30.0,22.0,0,0,0
67,0.065,0,0,30.0,22.0,0,0,0
68,0.065,0,0,30.0,22.0,0,0,0
69,0.065,0,0,30.0,22.0,0,0,0
70,0.065,0,0,30.0,22.0,0,0,0
71,0.065,0,0,30.0,22.0,0,0,0
72,0.065,0,0,30.0,22.0,0,0,0
73,0.065,0,0,30.0,22.0,0,0,0
74,0.065,0,0,30.0,22.0,0,0,0
75,0.065,0,0,30.0,22.0,0,0,0
76,0.065,0,0,30.0,22.0,0,0,0
77,0.065,0,0,30.0,22.0,0,0,0
78,0.065,0,0,30.0,22.0,0,0,0
79,0.065,0,0,29.3051,22.0,0,0,0
80,0.065,0,0,30.0,22.0,0,0,0
81,0.065,0,0,30.0,22.0,0,0,0
82,0.065,0,0,30.0,22.0,0,0,0
83,0.065,0,0,30.0,22.0,0,0,0
84,0.065,0,0,30.0,22.0,0,0,0
85,0.065,0,0,30.0,22.0,0,0,0
86,0.065,0,0,30.0,22.0,0,0,0
87,0.065,0,0,30.0,22.0,0,0,0
88,0.065,0,0,30.0,22.0,0,0,0
89,0.065,0,0,30.0,22.0,0,0,0
90,0.065,0,0,30.0,22.0,0,0,0
91,0.065,0,0,30.0,22.0,0,0,0
92,0.065,0,0,30.0,22.0,0,0,0
93,0.065,0,0,30.0,22.0,0,0,0
94,0.065,0,0,30.0,22.0,0,0,0
95,0.065,0,0,30.0,22.0,0,0,0
96,0.065,0,0,30.0,22.0,0,0,0
97,0.065,0,0,30.0,22.0,0,0,0
98,0.065,0,0,30.0,22.0,0,0,0
99,0.065,0,0,30.0,22.0,0,0,0
100,0.065,0,0,30.0,22.0,0,0,0
101,0.065,0,0,30.0,22.0,0,0,0
102,0.065,0,0,30.0,22.0,0,0,0
103,0.065,0,0,30.0,22.0,0,0,0
104,0.065,0,0,30.0,22.0,0,0,0
105,0.065,0,0,30.0,22.0,0,0,0
106,0.065,0,0,30.0,22.0,0,0,0
107,0.065,0,0,30.0,22.0,0,0,0
108,0.065,0,0,30.0,22.0,0,0,0
109,0.065,0,0,30.0,22.0,0,0,0
110,0.065,0,0,30.0,22.0,0,0,0
111,0.065,0,0,30.0,22.0,0,0,0
112,0.065,0,0,30.0,22.0,0,0,0
113,0.065,0,0,30.0,22.0,0,0,0
114,0.065,0,0,30.0,22.0,0,0,0
115,0.065,0,0,30.0,22.0,0,0,0
116,0.065,0,0,30.0,22.0,0,0,0
117,0.065,0,0,30.0,22.0,0,0,0
118,0.065,0,0,30.0,22.0,0,0,0
119,0.065,0,0,30.0,22.0,0,0,0
120,0.065,0,0,30.0,22.0,0,0,0
121,0.065,0,0,30.0,22.0,0,0,0
122,0.065,0,0,30.0,22.0,0,0,0
123,0.065,0,0,30.0,22.0,0,0,0
124,0.065,0,0,30.0,22.0,0,0,0
125,0.065,0,0,30.0,22.0,0,0,0
126,0.065,0,0,30.0,22.0,0,0,0
127,0.065,0,0,30.0,22.0,0,0,0
128,0.065,0,0,30.0,22.0,0,0,0
129,0.065,0,0,30.0,22.0,0,0,0
130,0.065,0,0,30.0,22.0,0,0,0
131,0.065,0,0,30.0,22.0,0,0,0
132,0.065,0,0,30.0,22.0,0,0,0
133,0.065,0,0,30.0,22.0,0,0,0
134,0.065,0,0,30.0,22.0,0,0,0
135,0.065,0,0,30.0,22.0,0,0,0
136,0.065,0,0,30.0,22.0,0,0,0
137,0.065,0,0,30.0,22.0,0,0,0
138,0.065,0,0,30.0,22.0,0,0,0
139,0.065,0,0,30.0,22.0,0,0,0
140,0.065,0,0,30.0,22.0,0,0,0
141,0.065,0,0,30.0,22.0,0,0,0
142,0.065,0,0,30.0,22.0,0,0,0
143,0.065,0,0,30.0,22.0,0,0,0
144,0.065,0,0,30.0,22.0,0,0,0
145,0.065,0,0,30.0,22.0,0,0,0
146,0.065,0,0,30.0,22.0,0,0,0
147,0.065,0,0,29.3014,22.0,0,0,0
148,0.065,0,0,30.0,22.0,0,0,0
149,0.065,0,0,30.0,22.0,0,0,0
150,0.065,0,0,30.0,22.0,0,0,0
151,0.065,0,0,30.0,22.0,0,0,0
152,0.065,0,0,30.0,22.0,0,0,0
153,0.065,0,0,30.0,22.0,0,0,0
154,0.065,0,0,30.0,22.0,0,0,0
