ID,WL,U,V,Sal,Temp,TRACE_1,TRACE_2,TRACE_3
1,0.0650,0.0000,0.0000,6.5966,22.0000,0.0000,0.0000,0.0000
2,0.0650,0.0000,0.0000,6.4368,22.0000,0.0000,0.0000,0.0000
3,0.0650,0.0000,0.0000,6.2770,22.0000,0.0000,0.0000,0.0000
4,0.0650,0.0000,0.0000,6.1173,22.0000,0.0000,0.0000,0.0000
5,0.0650,0.0000,0.0000,6.7518,22.0000,0.0000,0.0000,0.0000
6,0.0650,0.0000,0.0000,6.6023,22.0000,0.0000,0.0000,0.0000
7,0.0650,0.0000,0.0000,6.4527,22.0000,0.0000,0.0000,0.0000
8,0.0650,0.0000,0.0000,6.3031,22.0000,0.0000,0.0000,0.0000
9,0.0650,0.0000,0.0000,6.9019,22.0000,0.0000,0.0000,0.0000
10,0.0650,0.0000,0.0000,6.7701,22.0000,0.0000,0.0000,0.0000
11,0.0650,0.0000,0.0000,6.6383,22.0000,0.0000,0.0000,0.0000
12,0.0650,0.0000,0.0000,6.5064,22.0000,0.0000,0.0000,0.0000
13,0.0650,0.0000,0.0000,7.0892,22.0000,0.0000,0.0000,0.0000
14,0.0650,0.0000,0.0000,6.9759,22.0000,0.0000,0.0000,0.0000
15,0.0650,0.0000,0.0000,6.8626,22.0000,0.0000,0.0000,0.0000
16,0.0650,0.0000,0.0000,6.7492,22.0000,0.0000,0.0000,0.0000
17,0.0650,0.0000,0.0000,7.3210,22.0000,0.0000,0.0000,0.0000
18,0.0650,0.0000,0.0000,7.2264,22.0000,0.0000,0.0000,0.0000
19,0.0650,0.0000,0.0000,7.1318,22.0000,0.0000,0.0000,0.0000
20,0.0650,0.0000,0.0000,7.0372,22.0000,0.0000,0.0000,0.0000
21,0.0650,0.0000,0.0000,7.7099,22.0000,0.0000,0.0000,0.0000
22,0.0650,0.0000,0.0000,7.6273,22.0000,0.0000,0.0000,0.0000
23,0.0650,0.0000,0.0000,7.5447,22.0000,0.0000,0.0000,0.0000
24,0.0650,0.0000,0.0000,7.4620,22.0000,0.0000,0.0000,0.0000
25,0.0650,0.0000,0.0000,8.2438,22.0000,0.0000,0.0000,0.0000
26,0.0650,0.0000,0.0000,8.1659,22.0000,0.0000,0.0000,0.0000
27,0.0650,0.0000,0.0000,8.0880,22.0000,0.0000,0.0000,0.0000
28,0.0650,0.0000,0.0000,8.0101,22.0000,0.0000,0.0000,0.0000
29,0.0650,0.0000,0.0000,8.7928,22.0000,0.0000,0.0000,0.0000
30,0.0650,0.0000,0.0000,8.7147,22.0000,0.0000,0.0000,0.0000
31,0.0650,0.0000,0.0000,8.6364,22.0000,0.0000,0.0000,0.0000
32,0.0650,0.0000,0.0000,8.5583,22.0000,0.0000,0.0000,0.0000
33,0.0650,0.0000,0.0000,9.4078,22.0000,0.0000,0.0000,0.0000
34,0.0650,0.0000,0.0000,9.3252,22.0000,0.0000,0.0000,0.0000
35,0.0650,0.0000,0.0000,9.2313,22.0000,0.0000,0.0000,0.0000
36,0.0650,0.0000,0.0000,9.1373,22.0000,0.0000,0.0000,0.0000
37,0.0650,0.0000,0.0000,9.4491,22.0000,0.0000,0.0000,0.0000
38,0.0650,0.0000,0.0000,9.4596,22.0000,0.0000,0.0000,0.0000
39,0.0650,0.0000,0.0000,9.4700,22.0000,0.0000,0.0000,0.0000
40,0.0650,0.0000,0.0000,9.4805,22.0000,0.0000,0.0000,0.0000
41,0.0650,0.0000,0.0000,9.4860,22.0000,0.0000,0.0000,0.0000
42,0.0650,0.0000,0.0000,9.4968,22.0000,0.0000,0.0000,0.0000
43,0.0650,0.0000,0.0000,9.5076,22.0000,0.0000,0.0000,0.0000
44,0.0650,0.0000,0.0000,9.5184,22.0000,0.0000,0.0000,0.0000
45,0.0650,0.0000,0.0000,9.5228,22.0000,0.0000,0.0000,0.0000
46,0.0650,0.0000,0.0000,9.5340,22.0000,0.0000,0.0000,0.0000
47,0.0650,0.0000,0.0000,9.5451,22.0000,0.0000,0.0000,0.0000
48,0.0650,0.0000,0.0000,9.5563,22.0000,0.0000,0.0000,0.0000
49,0.0650,0.0000,0.0000,9.5592,22.0000,0.0000,0.0000,0.0000
50,0.0650,0.0000,0.0000,9.5709,22.0000,0.0000,0.0000,0.0000
51,0.0650,0.0000,0.0000,9.5825,22.0000,0.0000,0.0000,0.0000
52,0.0650,0.0000,0.0000,9.5942,22.0000,0.0000,0.0000,0.0000
53,0.0650,0.0000,0.0000,9.5946,22.0000,0.0000,0.0000,0.0000
54,0.0650,0.0000,0.0000,9.6054,22.0000,0.0000,0.0000,0.0000
55,0.0650,0.0000,0.0000,9.6201,22.0000,0.0000,0.0000,0.0000
56,0.0650,0.0000,0.0000,9.6210,22.0000,0.0000,0.0000,0.0000
57,0.0650,0.0000,0.0000,9.6319,22.0000,0.0000,0.0000,0.0000
58,0.0650,0.0000,0.0000,9.6316,22.0000,0.0000,0.0000,0.0000
59,0.0650,0.0000,0.0000,9.6415,22.0000,0.0000,0.0000,0.0000
60,0.0650,0.0000,0.0000,9.6513,22.0000,0.0000,0.0000,0.0000
61,0.0650,0.0000,0.0000,9.6612,22.0000,0.0000,0.0000,0.0000
62,0.0650,0.0000,0.0000,9.6711,22.0000,0.0000,0.0000,0.0000
63,0.0650,0.0000,0.0000,9.6687,22.0000,0.0000,0.0000,0.0000
64,0.0650,0.0000,0.0000,9.6788,22.0000,0.0000,0.0000,0.0000
65,0.0650,0.0000,0.0000,9.6889,22.0000,0.0000,0.0000,0.0000
66,0.0650,0.0000,0.0000,9.6989,22.0000,0.0000,0.0000,0.0000
67,0.0650,0.0000,0.0000,9.7090,22.0000,0.0000,0.0000,0.0000
68,0.0650,0.0000,0.0000,9.7054,22.0000,0.0000,0.0000,0.0000
69,0.0650,0.0000,0.0000,9.7158,22.0000,0.0000,0.0000,0.0000
70,0.0650,0.0000,0.0000,9.7262,22.0000,0.0000,0.0000,0.0000
71,0.0650,0.0000,0.0000,9.7367,22.0000,0.0000,0.0000,0.0000
72,0.0650,0.0000,0.0000,9.7471,22.0000,0.0000,0.0000,0.0000
73,0.0650,0.0000,0.0000,9.7409,22.0000,0.0000,0.0000,0.0000
74,0.0650,0.0000,0.0000,9.7520,22.0000,0.0000,0.0000,0.0000
75,0.0650,0.0000,0.0000,9.7631,22.0000,0.0000,0.0000,0.0000
76,0.0650,0.0000,0.0000,9.7743,22.0000,0.0000,0.0000,0.0000
77,0.0650,0.0000,0.0000,9.7854,22.0000,0.0000,0.0000,0.0000
78,0.0650,0.0000,0.0000,9.7754,22.0000,0.0000,0.0000,0.0000
79,0.0650,0.0000,0.0000,9.7879,22.0000,0.0000,0.0000,0.0000
80,0.0650,0.0000,0.0000,9.8005,22.0000,0.0000,0.0000,0.0000
81,0.0650,0.0000,0.0000,9.8130,22.0000,0.0000,0.0000,0.0000
82,0.0650,0.0000,0.0000,9.8255,22.0000,0.0000,0.0000,0.0000
83,0.0650,0.0000,0.0000,9.8088,22.0000,0.0000,0.0000,0.0000
84,0.0650,0.0000,0.0000,9.8232,22.0000,0.0000,0.0000,0.0000
85,0.0650,0.0000,0.0000,9.8377,22.0000,0.0000,0.0000,0.0000
86,0.0650,0.0000,0.0000,9.8522,22.0000,0.0000,0.0000,0.0000
87,0.0650,0.0000,0.0000,9.8667,22.0000,0.0000,0.0000,0.0000
88,0.0650,0.0000,0.0000,9.8393,22.0000,0.0000,0.0000,0.0000
89,0.0650,0.0000,0.0000,9.8558,22.0000,0.0000,0.0000,0.0000
90,0.0650,0.0000,0.0000,9.8723,22.0000,0.0000,0.0000,0.0000
91,0.0650,0.0000,0.0000,9.8888,22.0000,0.0000,0.0000,0.0000
92,0.0650,0.0000,0.0000,9.9053,22.0000,0.0000,0.0000,0.0000
93,0.0650,0.0000,0.0000,9.8679,22.0000,0.0000,0.0000,0.0000
94,0.0650,0.0000,0.0000,9.8861,22.0000,0.0000,0.0000,0.0000
95,0.0650,0.0000,0.0000,9.9043,22.0000,0.0000,0.0000,0.0000
96,0.0650,0.0000,0.0000,9.9226,22.0000,0.0000,0.0000,0.0000
97,0.0650,0.0000,0.0000,9.9408,22.0000,0.0000,0.0000,0.0000
98,0.0650,0.0000,0.0000,9.8960,22.0000,0.0000,0.0000,0.0000
99,0.0650,0.0000,0.0000,9.9156,22.0000,0.0000,0.0000,0.0000
100,0.0650,0.0000,0.0000,9.9351,22.0000,0.0000,0.0000,0.0000
101,0.0650,0.0000,0.0000,9.9546,22.0000,0.0000,0.0000,0.0000
102,0.0650,0.0000,0.0000,9.9742,22.0000,0.0000,0.0000,0.0000
103,0.0650,0.0000,0.0000,9.9231,22.0000,0.0000,0.0000,0.0000
104,0.0650,0.0000,0.0000,9.9439,22.0000,0.0000,0.0000,0.0000
105,0.0650,0.0000,0.0000,9.9647,22.0000,0.0000,0.0000,0.0000
106,0.0650,0.0000,0.0000,9.9855,22.0000,0.0000,0.0000,0.0000
107,0.0650,0.0000,0.0000,10.0118,22.0000,0.0000,0.0000,0.0000
108,0.0650,0.0000,0.0000,9.9490,22.0000,0.0000,0.0000,0.0000
109,0.0650,0.0000,0.0000,9.9710,22.0000,0.0000,0.0000,0.0000
110,0.0650,0.0000,0.0000,9.9931,22.0000,0.0000,0.0000,0.0000
111,0.0650,0.0000,0.0000,10.0283,22.0000,0.0000,0.0000,0.0000
112,0.0650,0.0000,0.0000,10.0697,22.0000,0.0000,0.0000,0.0000
113,0.0650,0.0000,0.0000,9.9741,22.0000,0.0000,0.0000,0.0000
114,0.0650,0.0000,0.0000,9.9971,22.0000,0.0000,0.0000,0.0000
115,0.0650,0.0000,0.0000,10.0377,22.0000,0.0000,0.0000,0.0000
116,0.0650,0.0000,0.0000,10.0809,22.0000,0.0000,0.0000,0.0000
117,0.0650,0.0000,0.0000,10.1241,22.0000,0.0000,0.0000,0.0000
118,0.0650,0.0000,0.0000,9.9986,22.0000,0.0000,0.0000,0.0000
119,0.0650,0.0000,0.0000,10.0410,22.0000,0.0000,0.0000,0.0000
120,0.0650,0.0000,0.0000,10.0846,22.0000,0.0000,0.0000,0.0000
121,0.0650,0.0000,0.0000,10.1283,22.0000,0.0000,0.0000,0.0000
122,0.0650,0.0000,0.0000,10.1720,22.0000,0.0000,0.0000,0.0000
123,0.0650,0.0000,0.0000,10.0312,22.0000,0.0000,0.0000,0.0000
124,0.0650,0.0000,0.0000,10.0746,22.0000,0.0000,0.0000,0.0000
125,0.0650,0.0000,0.0000,10.1180,22.0000,0.0000,0.0000,0.0000
