id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3910970E+06,  0.6462938E+07,    18.745,    22.593
           2,  0.3911730E+06,  0.6462880E+07,     4.048,     4.855
           3,  0.3910955E+06,  0.6462974E+07,    16.637,    19.171
           4,  0.3911703E+06,  0.6462929E+07,     4.089,     4.777
           5,  0.3910940E+06,  0.6463010E+07,    14.756,    16.442
           6,  0.3911676E+06,  0.6462978E+07,     3.838,     4.313
           7,  0.3910925E+06,  0.6463045E+07,    13.934,    15.350
           8,  0.3911649E+06,  0.6463028E+07,     3.629,     3.997
           9,  0.3910911E+06,  0.6463081E+07,    14.237,    15.808
          10,  0.3911623E+06,  0.6463077E+07,     3.564,     3.918
          11,  0.3910896E+06,  0.6463117E+07,    15.120,    17.073
          12,  0.3911596E+06,  0.6463126E+07,     3.594,     3.995
          13,  0.3911569E+06,  0.6463175E+07,     3.502,     3.928
          14,  0.3912463E+06,  0.6462871E+07,    11.043,    13.466
          15,  0.3912424E+06,  0.6462934E+07,     9.877,    11.479
          16,  0.3912885E+06,  0.6462852E+07,     5.094,     6.103
          17,  0.3912919E+06,  0.6462767E+07,     4.240,     5.235
          18,  0.3912385E+06,  0.6462996E+07,     8.745,     9.792
          19,  0.3912851E+06,  0.6462938E+07,     6.006,     6.877
          20,  0.3912347E+06,  0.6463059E+07,     8.220,     9.087
          21,  0.3912817E+06,  0.6463023E+07,     6.562,     7.328
          22,  0.3912308E+06,  0.6463121E+07,     8.385,     9.342
          23,  0.3912783E+06,  0.6463109E+07,     6.117,     6.802
          24,  0.3912269E+06,  0.6463184E+07,     8.920,    10.118
          25,  0.3912748E+06,  0.6463195E+07,     5.231,     5.893
          26,  0.3912714E+06,  0.6463280E+07,     4.353,     4.955
          27,  0.3913341E+06,  0.6462748E+07,     6.854,     8.668
          28,  0.3913312E+06,  0.6462856E+07,     6.393,     7.654
          29,  0.3913630E+06,  0.6462743E+07,     6.010,     7.545
          30,  0.3913605E+06,  0.6462611E+07,     4.898,     6.359
          31,  0.3913282E+06,  0.6462965E+07,     5.884,     6.724
          32,  0.3913655E+06,  0.6462874E+07,     8.311,     9.877
          33,  0.3913253E+06,  0.6463074E+07,     5.693,     6.388
          34,  0.3913681E+06,  0.6463006E+07,    10.272,    11.802
          35,  0.3913223E+06,  0.6463182E+07,     5.979,     6.752
          36,  0.3913706E+06,  0.6463138E+07,    10.279,    11.710
          37,  0.3913194E+06,  0.6463291E+07,     6.574,     7.574
          38,  0.3913731E+06,  0.6463270E+07,     9.212,    10.625
          39,  0.3913757E+06,  0.6463401E+07,     8.057,     9.399
          40,  0.3913894E+06,  0.6462606E+07,     5.559,     7.380
          41,  0.3913974E+06,  0.6462760E+07,     6.018,     7.554
          42,  0.3914441E+06,  0.6462629E+07,    14.037,    18.500
          43,  0.3914326E+06,  0.6462457E+07,    12.507,    16.966
          44,  0.3914054E+06,  0.6462915E+07,     6.247,     7.411
          45,  0.3914557E+06,  0.6462802E+07,    15.371,    19.211
          46,  0.3914134E+06,  0.6463070E+07,     6.575,     7.598
