FVC file = swan_helena_v4g.fvc, Simulation Execution: 12/04/2019 15:05:48
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.39117832346284E+06, 0.64629018432755E+07, -0.1749539E+01,           1,  0.7146110E+04,           1
, 0.39117558325789E+06, 0.64629520957542E+07, -0.2481251E+01,           1,  0.7100688E+04,           2
, 0.39117283192126E+06, 0.64630023661693E+07, -0.3412040E+01,           1,  0.7055306E+04,           3
, 0.39117008684432E+06, 0.64630526533003E+07, -0.3896599E+01,           1,  0.7010625E+04,           4
, 0.39116734049635E+06, 0.64631029544438E+07, -0.3604852E+01,           1,  0.6963838E+04,           5
, 0.39116459022983E+06, 0.64631532710044E+07, -0.3008878E+01,           1,  0.6919855E+04,           6
, 0.39129450018602E+06, 0.64628037436175E+07, -0.1453547E+01,           1,  0.7092015E+04,           7
, 0.39129099133649E+06, 0.64628916942550E+07, -0.2062199E+01,           1,  0.7328848E+04,           8
, 0.39128749138880E+06, 0.64629794900951E+07, -0.2896234E+01,           1,  0.7565215E+04,           9
, 0.39128399573127E+06, 0.64630671538920E+07, -0.3389616E+01,           1,  0.7802935E+04,          10
, 0.39128050591828E+06, 0.64631546942386E+07, -0.3160936E+01,           1,  0.8038872E+04,          11
, 0.39127701859355E+06, 0.64632421174510E+07, -0.2612544E+01,           1,  0.8276146E+04,          12
, 0.39136425085980E+06, 0.64626721766622E+07, -0.1093652E+01,           1,  0.7641124E+04,          13
, 0.39136683284616E+06, 0.64628063588748E+07, -0.1513889E+01,           1,  0.8968929E+04,          14
, 0.39136940308622E+06, 0.64629399141558E+07, -0.2160108E+01,           1,  0.1029775E+05,          15
, 0.39137196489551E+06, 0.64630730638512E+07, -0.2627933E+01,           1,  0.1162664E+05,          16
, 0.39137452179500E+06, 0.64632059261894E+07, -0.2529839E+01,           1,  0.1295412E+05,          17
, 0.39137707463253E+06, 0.64633385816378E+07, -0.2121935E+01,           1,  0.1428302E+05,          18
, 0.39144035973846E+06, 0.64625410846087E+07, -0.8780006E+00,           1,  0.1836429E+05,          19
, 0.39145193828378E+06, 0.64627144486485E+07, -0.1129419E+01,           1,  0.1916465E+05,          20
, 0.39146351089509E+06, 0.64628877508679E+07, -0.1554552E+01,           1,  0.1996554E+05,          21
, 0.39147508203994E+06, 0.64630610014290E+07, -0.1941510E+01,           1,  0.2076709E+05,          22
, 0.39148664989650E+06, 0.64632342047551E+07, -0.1994628E+01,           1,  0.2156740E+05,          23
, 0.39149821250715E+06, 0.64634073631883E+07, -0.1794935E+01,           1,  0.2236836E+05,          24
, 0.39154205595129E+06, 0.64624166155601E+07, -0.8386573E+00,           1,  0.2416636E+05,          25
, 0.39156188738685E+06, 0.64626213310026E+07, -0.9854578E+00,           1,  0.2555908E+05,          26
, 0.39158171500036E+06, 0.64628260004174E+07, -0.1236439E+01,           1,  0.2695123E+05,          27
, 0.39160153834784E+06, 0.64630306331903E+07, -0.1531678E+01,           1,  0.2834468E+05,          28
, 0.39162135897139E+06, 0.64632352364839E+07, -0.1697564E+01,           1,  0.2973741E+05,          29
, 0.39164117704022E+06, 0.64634398094209E+07, -0.1677725E+01,           1,  0.3112933E+05,          30
, 0.39167072635411E+06, 0.64623186050150E+07, -0.8666684E+00,           1,  0.3618241E+05,          31
, 0.39169546486044E+06, 0.64625436957840E+07, -0.9597468E+00,           1,  0.3592845E+05,          32
, 0.39172020214991E+06, 0.64627687879892E+07, -0.1111775E+01,           1,  0.3567293E+05,          33
, 0.39174494114270E+06, 0.64629938807876E+07, -0.1341317E+01,           1,  0.3541893E+05,          34
, 0.39176967891028E+06, 0.64632189749017E+07, -0.1547124E+01,           1,  0.3516347E+05,          35
, 0.39179441735114E+06, 0.64634440696000E+07, -0.1609638E+01,           1,  0.3490959E+05,          36
, 0.39182384287571E+06, 0.64622463913810E+07, -0.8351016E+00,           1,  0.3769249E+05,          37
, 0.39184776014501E+06, 0.64624784436057E+07, -0.9028029E+00,           1,  0.3722128E+05,          38
, 0.39187167704191E+06, 0.64627104954535E+07, -0.1008157E+01,           1,  0.3674709E+05,          39
