FVC file = swan_helena_v4g.fvc, Simulation Execution: 12/04/2019 15:05:48
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.39109775400000E+06, 0.64629204100000E+07, -0.1601638E+01,  0.0000000E+00,  0.2143659E+03,           1,           0,           1,           1
, 0.39109626700000E+06, 0.64629561100000E+07, -0.2088264E+01,  0.3573096E+02,  0.2143659E+03,           2,           0,           1,           1
, 0.39109477900000E+06, 0.64629918000000E+07, -0.3133890E+01,  0.7145197E+02,  0.2143659E+03,           3,           0,           1,           1
, 0.39109329200000E+06, 0.64630275000000E+07, -0.3896599E+01,  0.1071829E+03,  0.2143659E+03,           4,           0,           1,           1
, 0.39109180400000E+06, 0.64630632000000E+07, -0.3604852E+01,  0.1429139E+03,  0.2143659E+03,           5,           0,           1,           1
, 0.39109031700000E+06, 0.64630988900000E+07, -0.3008878E+01,  0.1786349E+03,  0.2143659E+03,           6,           0,           1,           1
, 0.39108882900000E+06, 0.64631345900000E+07, -0.2889086E+01,  0.2143659E+03,  0.2143659E+03,,,           1,           1
, 0.40579476200000E+06, 0.64817914000000E+07, -0.9287101E+00,  0.0000000E+00,  0.6691975E+02,       16051,       16052,           2,           2
, 0.40581683100000E+06, 0.64818165500000E+07, -0.1004799E+01,  0.3345988E+02,  0.6691975E+02,       16056,       16057,           2,           2
, 0.40583890000000E+06, 0.64818417000000E+07, -0.1339689E+01,  0.6691975E+02,  0.6691975E+02,,,           2,           2
, 0.39458099700000E+06, 0.64635543000000E+07, -0.1202377E+01,  0.0000000E+00,  0.6219317E+03,         154,         158,           3,           3
, 0.39473403700000E+06, 0.64635268400000E+07, -0.1418191E+01,  0.1554841E+03,  0.6219317E+03,         153,         157,           3,           3
, 0.39488707600000E+06, 0.64634993900000E+07, -0.1628680E+01,  0.3109654E+03,  0.6219317E+03,         152,         156,           3,           3
, 0.39504011600000E+06, 0.64634719300000E+07, -0.1559639E+01,  0.4664494E+03,  0.6219317E+03,         151,         155,           3,           3
, 0.39519315600000E+06, 0.64634444800000E+07, -0.1533695E+01,  0.6219317E+03,  0.6219317E+03,,,           3,           3
, 0.39439477800000E+06, 0.64655602600000E+07, -0.1599792E+01,  0.0000000E+00,  0.2609348E+03,         206,         210,           4,           4
, 0.39445239100000E+06, 0.64655296600000E+07, -0.1692538E+01,  0.6523510E+02,  0.2609348E+03,         205,         209,           4,           4
, 0.39451000400000E+06, 0.64654990600000E+07, -0.1540523E+01,  0.1304702E+03,  0.2609348E+03,         204,         208,           4,           4
, 0.39456761700000E+06, 0.64654684700000E+07, -0.1263902E+01,  0.1957006E+03,  0.2609348E+03,         203,         207,           4,           4
, 0.39462522900000E+06, 0.64654378700000E+07, -0.1153447E+01,  0.2609348E+03,  0.2609348E+03,,,           4,           4
, 0.39648698300000E+06, 0.64643741200000E+07, -0.1177600E+01,  0.0000000E+00,  0.2101810E+03,         294,         298,           5,           5
, 0.39649220700000E+06, 0.64643218400000E+07, -0.1501704E+01,  0.5254035E+02,  0.2101810E+03,         293,         297,           5,           5
, 0.39649743000000E+06, 0.64642695500000E+07, -0.1971795E+01,  0.1050906E+03,  0.2101810E+03,         292,         296,           5,           5
, 0.39650265300000E+06, 0.64642172700000E+07, -0.1845190E+01,  0.1576308E+03,  0.2101810E+03,         291,         295,           5,           5
, 0.39650787600000E+06, 0.64641649800000E+07, -0.1812880E+01,  0.2101810E+03,  0.2101810E+03,,,           5,           5
, 0.40721613000000E+06, 0.64833256200000E+07, -0.5000000E+00,  0.0000000E+00,  0.3182840E+02,       16373,       16377,           6,           6
, 0.40721684400000E+06, 0.64833177000000E+07, -0.5000000E+00,  0.7952119E+01,  0.3182840E+02,       16372,       16376,           6,           6
, 0.40721755800000E+06, 0.64833097700000E+07, -0.5000000E+00,  0.1591420E+02,  0.3182840E+02,       16371,       16375,           6,           6
, 0.40721827200000E+06, 0.64833018500000E+07, -0.5000000E+00,  0.2386632E+02,  0.3182840E+02,       16370,       16374,           6,           6
, 0.40721898600000E+06, 0.64832939200000E+07, -0.5000000E+00,  0.3182840E+02,  0.3182840E+02,,,           6,           6
, 0.39837400000000E+06, 0.64667562000000E+07, -0.5019329E+00,  0.0000000E+00,  0.1996649E+03,         503,           0,           7,           7
, 0.39844050600000E+06, 0.64667588700000E+07, -0.5021010E+00,  0.6655958E+02,  0.1996649E+03,         504,           0,           7,           7
, 0.39850704100000E+06, 0.64667601000000E+07, -0.5024377E+00,  0.1331060E+03,  0.1996649E+03,         505,           0,           7,           7
, 0.39857360000000E+06, 0.64667601000000E+07, -0.5026063E+00,  0.1996649E+03,  0.1996649E+03,,,           7,           7
, 0.40561710000000E+06, 0.64745686000000E+07, -0.2393944E+01,  0.0000000E+00,  0.7311197E+02,       14841,           0,           8,           8
, 0.40565180000000E+06, 0.64745571000000E+07, -0.2441091E+01,  0.3655598E+02,  0.7311197E+02,       14840,           0,           8,           8
, 0.40568650000000E+06, 0.64745456000000E+07, -0.2488239E+01,  0.7311197E+02,  0.7311197E+02,,,           8,           8
, 0.40648630000000E+06, 0.64787919000000E+07, -0.6071691E+00,  0.0000000E+00,  0.4660526E+02,       15671,           0,           9,           9
, 0.40648595000000E+06, 0.64787686000000E+07, -0.6070504E+00,  0.2330263E+02,  0.4660526E+02,       15670,           0,           9,           9
, 0.40648560000000E+06, 0.64787453000000E+07, -0.6069317E+00,  0.4660526E+02,  0.4660526E+02,,,           9,           9
, 0.40617939900000E+06, 0.64702104400000E+07,  0.6573100E+01,  0.0000000E+00,  0.2479804E+02,       15284,           0,          10,          10
, 0.40617419600000E+06, 0.64702040100000E+07,  0.5118652E+01,  0.8271403E+01,  0.2479804E+02,       15294,           0,          10,          10
, 0.40616899400000E+06, 0.64701975900000E+07,  0.4737163E+01,  0.1653440E+02,  0.2479804E+02,       15301,           0,          10,          10
, 0.40616379100000E+06, 0.64701911700000E+07,  0.5374800E+01,  0.2479804E+02,  0.2479804E+02,,,          10,          10
