id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3910970E+06,  0.6462938E+07,   241.275,  2153.518
           2,  0.3911730E+06,  0.6462880E+07,  3992.893,  9938.691
           3,  0.3910955E+06,  0.6462974E+07,   235.656,  2242.509
           4,  0.3911703E+06,  0.6462929E+07,  1046.540,  6188.394
           5,  0.3910940E+06,  0.6463010E+07,   250.287,  2442.977
           6,  0.3911676E+06,  0.6462978E+07,  1154.016,  6184.821
           7,  0.3910925E+06,  0.6463045E+07,   255.591,  2478.506
           8,  0.3911649E+06,  0.6463028E+07,  1581.100,  6965.426
           9,  0.3910911E+06,  0.6463081E+07,   244.299,  2283.808
          10,  0.3911623E+06,  0.6463077E+07,  2123.311,  7476.759
          11,  0.3910896E+06,  0.6463117E+07,   243.719,  2122.962
          12,  0.3911596E+06,  0.6463126E+07,  1340.137,  8768.559
          13,  0.3911569E+06,  0.6463175E+07,  5127.524,  9990.862
          14,  0.3912463E+06,  0.6462871E+07,   181.940,  1765.411
          15,  0.3912424E+06,  0.6462934E+07,   167.636,  1756.626
          16,  0.3912885E+06,  0.6462852E+07,   414.792,  3013.053
          17,  0.3912919E+06,  0.6462767E+07,  2568.041,  9145.855
          18,  0.3912385E+06,  0.6462996E+07,   171.572,  1854.904
          19,  0.3912851E+06,  0.6462938E+07,   541.447,  3254.074
          20,  0.3912347E+06,  0.6463059E+07,   172.692,  1845.060
          21,  0.3912817E+06,  0.6463023E+07,   989.942,  4416.386
          22,  0.3912308E+06,  0.6463121E+07,   165.210,  1676.748
          23,  0.3912783E+06,  0.6463109E+07,  1596.479,  6176.165
          24,  0.3912269E+06,  0.6463184E+07,   167.488,  1538.327
          25,  0.3912748E+06,  0.6463195E+07,   901.921,  9254.790
          26,  0.3912714E+06,  0.6463280E+07,  4485.093,  9984.269
          27,  0.3913341E+06,  0.6462748E+07,   197.255,  2015.177
          28,  0.3913312E+06,  0.6462856E+07,   146.868,  1647.816
          29,  0.3913630E+06,  0.6462743E+07,   337.597,  2509.907
          30,  0.3913605E+06,  0.6462611E+07,  3135.630,  9799.580
          31,  0.3913282E+06,  0.6462965E+07,   138.338,  1606.375
          32,  0.3913655E+06,  0.6462874E+07,   453.361,  3019.403
          33,  0.3913253E+06,  0.6463074E+07,   141.437,  1595.542
          34,  0.3913681E+06,  0.6463006E+07,   916.137,  4575.801
          35,  0.3913223E+06,  0.6463182E+07,   146.079,  1497.846
