id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3910970E+06,  0.6462938E+07,   241.275,  2142.848
           2,  0.3911730E+06,  0.6462880E+07,  3992.908,  9939.751
           3,  0.3910955E+06,  0.6462974E+07,   235.656,  2236.669
           4,  0.3911703E+06,  0.6462929E+07,  1046.548,  6200.364
           5,  0.3910940E+06,  0.6463010E+07,   250.288,  2435.828
           6,  0.3911676E+06,  0.6462978E+07,  1154.023,  6205.370
           7,  0.3910925E+06,  0.6463045E+07,   255.592,  2472.746
           8,  0.3911649E+06,  0.6463028E+07,  1581.106,  6988.448
           9,  0.3910911E+06,  0.6463081E+07,   244.299,  2277.911
          10,  0.3911623E+06,  0.6463077E+07,  2123.320,  7499.067
          11,  0.3910896E+06,  0.6463117E+07,   243.719,  2115.739
          12,  0.3911596E+06,  0.6463126E+07,  1340.137,  8789.513
          13,  0.3911569E+06,  0.6463175E+07,  5127.531,  9991.070
          14,  0.3912463E+06,  0.6462871E+07,   181.940,  1757.623
          15,  0.3912424E+06,  0.6462934E+07,   167.636,  1752.829
          16,  0.3912885E+06,  0.6462852E+07,   414.792,  3008.959
          17,  0.3912919E+06,  0.6462767E+07,  2568.042,  9145.598
          18,  0.3912385E+06,  0.6462996E+07,   171.572,  1848.128
          19,  0.3912851E+06,  0.6462938E+07,   541.449,  3254.807
          20,  0.3912347E+06,  0.6463059E+07,   172.692,  1839.996
          21,  0.3912817E+06,  0.6463023E+07,   989.943,  4425.324
          22,  0.3912308E+06,  0.6463121E+07,   165.211,  1671.789
          23,  0.3912783E+06,  0.6463109E+07,  1596.479,  6197.137
          24,  0.3912269E+06,  0.6463184E+07,   167.488,  1532.459
          25,  0.3912748E+06,  0.6463195E+07,   901.924,  9285.403
          26,  0.3912714E+06,  0.6463280E+07,  4485.103,  9984.504
          27,  0.3913341E+06,  0.6462748E+07,   197.255,  2010.039
          28,  0.3913312E+06,  0.6462856E+07,   146.868,  1641.775
          29,  0.3913630E+06,  0.6462743E+07,   337.597,  2502.357
          30,  0.3913605E+06,  0.6462611E+07,  3135.630,  9798.739
          31,  0.3913282E+06,  0.6462965E+07,   138.338,  1599.220
          32,  0.3913655E+06,  0.6462874E+07,   453.361,  3017.507
          33,  0.3913253E+06,  0.6463074E+07,   141.437,  1590.784
          34,  0.3913681E+06,  0.6463006E+07,   916.138,  4581.454
          35,  0.3913223E+06,  0.6463182E+07,   146.079,  1493.315
          36,  0.3913706E+06,  0.6463138E+07,  1910.901,  7415.851
          37,  0.3913194E+06,  0.6463291E+07,   168.403,  1445.466
          38,  0.3913731E+06,  0.6463270E+07,  2454.359,  9930.158
          39,  0.3913757E+06,  0.6463401E+07,  8985.179,  9998.989
          40,  0.3913894E+06,  0.6462606E+07,   221.916,  2845.686
          41,  0.3913974E+06,  0.6462760E+07,   147.738,  1724.117
          42,  0.3914441E+06,  0.6462629E+07,  1913.495,  9556.931
          43,  0.3914326E+06,  0.6462457E+07,  9999.000,  9999.000
          44,  0.3914054E+06,  0.6462915E+07,   135.098,  1572.677
          45,  0.3914557E+06,  0.6462802E+07,  1708.094,  9705.735
          46,  0.3914134E+06,  0.6463070E+07,   149.555,  1658.071
          47,  0.3914672E+06,  0.6462974E+07,  2286.457,  9951.580
          48,  0.3914214E+06,  0.6463225E+07,   180.161,  1741.391
          49,  0.3914787E+06,  0.6463147E+07,  3619.584,  9998.689
          50,  0.3914295E+06,  0.6463380E+07,   248.064,  1900.710
          51,  0.3914903E+06,  0.6463320E+07,  6922.613,  9998.948
          52,  0.3915018E+06,  0.6463492E+07,  9999.000,  9999.000
          53,  0.3914874E+06,  0.6462480E+07,   503.156,  5481.790
          54,  0.3915024E+06,  0.6462671E+07,   285.585,  2755.612
          55,  0.3915503E+06,  0.6462520E+07,  3260.636,  9998.848
          56,  0.3915305E+06,  0.6462315E+07,  9999.000,  9999.000
          57,  0.3915175E+06,  0.6462861E+07,   214.263,  2178.900
          58,  0.3915701E+06,  0.6462724E+07,  2247.217,  9991.859
          59,  0.3915325E+06,  0.6463051E+07,   210.765,  2112.218
          60,  0.3915899E+06,  0.6462928E+07,  2113.999,  9998.948
          61,  0.3915475E+06,  0.6463242E+07,   248.219,  2205.523
          62,  0.3916097E+06,  0.6463132E+07,  2425.978,  9998.949
          63,  0.3915626E+06,  0.6463432E+07,   343.931,  2467.269
          64,  0.3916295E+06,  0.6463337E+07,  4120.970,  9998.971
          65,  0.3916493E+06,  0.6463541E+07,  9999.000,  9999.000
          66,  0.3915935E+06,  0.6462355E+07,   571.456,  6040.590
          67,  0.3916180E+06,  0.6462573E+07,   373.906,  3195.453
          68,  0.3916824E+06,  0.6462432E+07,  2223.948,  9576.582
          69,  0.3916576E+06,  0.6462207E+07,  9999.000,  9999.000
          70,  0.3916426E+06,  0.6462791E+07,   271.911,  2469.704
          71,  0.3917071E+06,  0.6462657E+07,  1674.836,  9052.881
          72,  0.3916671E+06,  0.6463009E+07,   260.085,  2378.651
          73,  0.3917318E+06,  0.6462882E+07,  2089.319,  9474.195
          74,  0.3916917E+06,  0.6463227E+07,   315.644,  2594.224
          75,  0.3917566E+06,  0.6463107E+07,  3577.843,  9938.810
          76,  0.3917162E+06,  0.6463446E+07,   453.671,  3090.189
          77,  0.3917813E+06,  0.6463332E+07,  7819.709,  9998.964
          78,  0.3918060E+06,  0.6463557E+07,  9999.000,  9999.000
          79,  0.3917465E+06,  0.6462284E+07,   724.384,  6592.234
          80,  0.3917714E+06,  0.6462515E+07,   531.995,  3918.067
          81,  0.3918359E+06,  0.6462363E+07,  3313.062,  9643.711
          82,  0.3918119E+06,  0.6462131E+07,  9999.000,  9999.000
          83,  0.3917963E+06,  0.6462747E+07,   380.442,  2973.622
          84,  0.3918598E+06,  0.6462595E+07,  2488.142,  8964.661
          85,  0.3918212E+06,  0.6462979E+07,   332.147,  2682.531
          86,  0.3918837E+06,  0.6462827E+07,  3553.234,  9650.641
          87,  0.3918462E+06,  0.6463211E+07,   368.346,  2795.729
          88,  0.3919076E+06,  0.6463059E+07,  2627.437,  9998.717
          89,  0.3918711E+06,  0.6463443E+07,   477.700,  3228.373
          90,  0.3919315E+06,  0.6463291E+07,  2852.380,  9998.953
          91,  0.3919554E+06,  0.6463523E+07,  9999.000,  9999.000
          92,  0.3919013E+06,  0.6462210E+07,   650.512,  5837.797
          93,  0.3919242E+06,  0.6462442E+07,   539.310,  3741.753
          94,  0.3919883E+06,  0.6462288E+07,  5187.868,  9973.455
          95,  0.3919652E+06,  0.6462051E+07,  9999.000,  9999.000
          96,  0.3919471E+06,  0.6462674E+07,   415.950,  2976.106
          97,  0.3920114E+06,  0.6462525E+07,  3142.457,  9513.870
          98,  0.3919701E+06,  0.6462906E+07,   355.179,  2645.589
          99,  0.3920345E+06,  0.6462761E+07,  3460.098,  9760.022
