ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2009 00:00:00,0.0043,0.3856,28.4732,1.0000,0.0000,20.0000,237.1995,154.8418,9.8048,12.7314,0.2371,1048.8121,301.7624,21.1597,0.0000,1.5293,1.0000,61.9069,2.1099
02/01/2009 00:00:00,0.0041,0.3866,28.6998,1.0000,0.0000,20.0000,237.4791,156.8736,9.6982,12.4528,0.2361,1024.9872,296.9974,21.0472,0.0000,1.5112,1.0000,61.3370,2.0918
03/01/2009 00:00:00,0.0039,0.3876,28.9264,1.0000,0.0000,20.0000,237.7586,158.9053,9.6120,12.2063,0.2356,1001.1623,292.2325,20.9744,0.0000,1.4969,1.0000,60.8924,2.0775
04/01/2009 00:00:00,0.0037,0.3886,29.1530,1.0000,0.0000,20.0000,238.0381,160.9371,9.5309,11.9717,0.2351,977.3374,287.4675,20.9083,0.0000,1.4836,1.0000,60.4765,2.0642
05/01/2009 00:00:00,0.0036,0.3895,29.3796,1.0000,0.0000,20.0000,238.3177,162.9688,9.4733,11.7712,0.2352,953.5125,282.7025,20.8897,0.0000,1.4749,1.0000,60.2057,2.0555
06/01/2009 00:00:00,0.0035,0.3905,29.6061,1.0000,0.0000,20.0000,238.5972,163.3757,9.3856,11.5380,0.2345,929.6876,277.9375,20.8006,0.0000,1.4599,1.5485,59.7400,2.0405
07/01/2009 00:00:00,0.0033,0.3918,29.6243,1.0000,0.0000,27.2339,238.1217,162.8670,9.0073,11.0739,0.1839,916.6667,275.3333,19.9838,0.0000,1.4437,2.4062,59.3052,2.0265
08/01/2009 00:00:00,0.0033,0.3934,29.3911,1.0000,0.0000,43.1862,236.7357,162.3583,8.3706,10.4241,0.1252,916.6667,275.3333,18.5045,0.0000,1.4311,3.2638,59.0580,2.0185
09/01/2009 00:00:00,0.0031,0.3950,29.1579,1.0000,0.0000,59.1385,235.3497,161.8496,7.7763,9.8076,0.0946,916.6667,275.3333,17.1290,0.0000,1.4095,4.1215,58.5305,2.0015
10/01/2009 00:00:00,0.0030,0.3967,28.9247,1.0000,0.0000,75.0909,233.9637,161.3410,7.2922,9.3131,0.0764,916.6667,275.3333,16.0048,0.0000,1.3982,4.9792,58.3241,1.9948
11/01/2009 00:00:00,0.0030,0.3983,28.6915,1.0000,0.0000,91.0432,232.5778,160.8323,6.8521,8.8599,0.0641,916.6667,275.3333,14.9843,0.0000,1.3841,5.8368,58.0334,1.9853
12/01/2009 00:00:00,0.0029,0.3999,28.4583,1.0000,0.0000,106.9955,231.1918,160.3236,6.4637,8.4604,0.0553,916.6667,275.3333,14.0836,0.0000,1.3716,6.6945,57.7905,1.9774
13/01/2009 00:00:00,0.0030,0.4016,28.2251,1.0000,0.0000,122.9478,229.8058,160.1423,6.1701,8.1742,0.0491,916.6667,275.3333,13.3949,0.0000,1.3763,6.8162,58.0739,1.9867
14/01/2009 00:00:00,0.0030,0.4032,27.9919,1.0000,0.0000,138.9001,228.4198,160.1423,5.8813,7.8851,0.0440,916.6667,275.3333,12.7211,0.0000,1.3734,6.5307,58.1274,1.9884
15/01/2009 00:00:00,0.0029,0.4048,27.7587,1.0000,0.0000,154.8524,227.0339,160.1423,5.5917,7.5858,0.0398,916.6667,275.3333,12.0503,0.0000,1.3615,6.2452,57.9012,1.9811
16/01/2009 00:00:00,0.0027,0.4064,27.5255,1.0000,0.0000,170.8047,225.6479,160.1423,5.2673,7.2295,0.0360,916.6667,275.3333,11.3094,0.0000,1.3283,5.9597,57.0251,1.9525
17/01/2009 00:00:00,0.0025,0.4081,27.2923,1.0000,0.0000,186.7570,224.2619,160.1423,4.9921,6.9310,0.0329,916.6667,275.3333,10.6788,0.0000,1.3032,5.6741,56.3981,1.9320
18/01/2009 00:00:00,0.0026,0.4097,27.0591,1.0000,0.0000,202.7093,222.8759,160.1423,4.8332,6.7873,0.0309,916.6667,275.3333,10.3005,0.0000,1.3144,5.3886,56.8815,1.9478
19/01/2009 00:00:00,0.0050,0.4113,26.8259,1.0000,0.0000,218.6616,221.4900,160.1423,5.2131,7.4036,0.0322,916.6667,275.3333,11.0687,0.0000,1.5324,5.1031,63.8095,2.1704
20/01/2009 00:00:00,0.0028,0.4129,26.5927,1.0000,0.0000,234.6140,220.1040,162.9846,4.5253,6.4987,0.0275,916.6667,275.3333,9.5723,0.0000,1.3262,5.0799,57.5229,1.9688
21/01/2009 00:00:00,0.0028,0.4127,26.6013,1.0000,0.0000,235.2985,218.8475,167.4334,4.5623,6.5256,0.0275,916.6667,275.3333,9.3192,0.0000,1.3165,5.2049,57.3677,1.9637
22/01/2009 00:00:00,0.0028,0.4105,26.8783,1.0000,0.0000,219.0611,217.7348,171.8822,4.8766,6.8315,0.0296,916.6667,275.3333,9.2653,0.0000,1.3132,5.3299,57.4068,1.9650
23/01/2009 00:00:00,0.0028,0.4083,27.1554,1.0000,0.0000,202.8237,216.6220,176.3310,5.2351,7.1820,0.0321,916.6667,275.3333,9.2111,0.0000,1.3114,5.4549,57.4919,1.9678
24/01/2009 00:00:00,0.0028,0.4061,27.4324,1.0000,0.0000,186.5864,215.5093,180.7798,5.6463,7.5851,0.0350,916.6667,275.3333,9.1537,0.0000,1.3108,5.5799,57.6167,1.9718
25/01/2009 00:00:00,0.0028,0.4038,27.7094,1.0000,0.0000,170.3490,214.3965,185.2286,6.0785,7.9949,0.0382,916.6667,275.3333,9.0264,0.0000,1.2982,5.7049,57.3715,1.9638
26/01/2009 00:00:00,0.0027,0.4016,27.9865,1.0000,0.0000,154.1116,213.2838,189.6773,6.5649,8.4529,0.0420,916.6667,275.3333,8.8681,0.0000,1.2819,5.8299,57.0105,1.9521
27/01/2009 00:00:00,0.0026,0.3994,28.2635,1.0000,0.0000,137.8742,212.1710,194.1261,7.1670,9.0329,0.0467,916.6667,275.3333,8.7347,0.0000,1.2742,5.9549,56.9157,1.9490
28/01/2009 00:00:00,0.0027,0.3971,28.5405,1.0000,0.0000,121.6368,211.0583,195.3498,7.9466,9.8020,0.0530,916.6667,275.3333,8.6506,0.0000,1.2818,5.6799,57.2911,1.9612
29/01/2009 00:00:00,0.0028,0.3949,28.8176,1.0000,0.0000,105.3994,209.9455,194.7561,8.8746,10.7119,0.0609,916.6667,275.3333,8.5230,0.0000,1.2868,5.1794,57.5834,1.9708
30/01/2009 00:00:00,0.0030,0.3927,29.0946,1.0000,0.0000,89.1620,208.8328,194.1623,10.0735,11.8965,0.0717,916.6667,275.3333,8.4020,0.0000,1.3024,4.6788,58.2072,1.9910
31/01/2009 00:00:00,0.0031,0.3904,29.3716,1.0000,0.0000,72.9246,207.7200,193.5686,11.4980,13.2835,0.0860,916.6667,275.3333,8.1589,0.0000,1.3038,4.1783,58.3907,1.9970
01/02/2009 00:00:00,0.0034,0.3882,29.6486,1.0000,0.0000,56.6872,206.6073,192.9748,13.5747,15.3393,0.1085,916.6667,275.3333,7.9674,2.4185,1.3374,3.6778,59.5737,2.0352
