ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2009 00:00:00,0.0231,0.3856,28.4732,1.0000,0.0000,20.0000,237.1995,154.8418,7.0913,9.2079,0.3036,1048.8121,301.7624,15.3037,0.0000,2.1209,1.0000,44.7740,2.7015
02/01/2009 00:00:00,0.0221,0.3866,28.6998,1.0000,0.0000,20.0000,237.4791,156.8736,7.0159,9.0087,0.3027,1024.9872,296.9974,15.2262,0.0000,2.1013,1.0000,44.3730,2.6819
03/01/2009 00:00:00,0.0213,0.3876,28.9264,1.0000,0.0000,20.0000,237.7586,158.9053,6.9474,8.8225,0.3021,1001.1623,292.2325,15.1600,0.0000,2.0837,1.0000,44.0121,2.6643
04/01/2009 00:00:00,0.0205,0.3886,29.1530,1.0000,0.0000,20.0000,238.0381,160.9371,6.8809,8.6431,0.3015,977.3374,287.4675,15.0949,0.0000,2.0665,1.0000,43.6615,2.6471
05/01/2009 00:00:00,0.0198,0.3895,29.3796,1.0000,0.0000,20.0000,238.3177,162.9688,6.8234,8.4785,0.3012,953.5125,282.7025,15.0463,0.0000,2.0520,1.0000,43.3647,2.6326
06/01/2009 00:00:00,0.0190,0.3905,29.6061,1.0000,0.0000,20.0000,238.5972,163.3757,6.7560,8.3053,0.3006,929.6876,277.9375,14.9728,0.0000,2.0342,1.5485,43.0023,2.6148
07/01/2009 00:00:00,0.0183,0.3918,29.6243,1.0000,0.0000,27.2339,238.1217,162.8670,6.4779,7.9642,0.2357,916.6667,275.3333,14.3720,0.0000,2.0147,2.4062,42.6513,2.5975
08/01/2009 00:00:00,0.0177,0.3934,29.3911,1.0000,0.0000,43.1862,236.7357,162.3583,6.0047,7.4778,0.1602,916.6667,275.3333,13.2743,0.0000,1.9960,3.2638,42.3655,2.5834
09/01/2009 00:00:00,0.0169,0.3950,29.1579,1.0000,0.0000,59.1385,235.3497,161.8496,5.5768,7.0335,0.1212,916.6667,275.3333,12.2841,0.0000,1.9721,4.1215,41.9750,2.5641
10/01/2009 00:00:00,0.0164,0.3967,28.9247,1.0000,0.0000,75.0909,233.9637,161.3410,5.2146,6.6596,0.0977,916.6667,275.3333,11.4448,0.0000,1.9543,4.9792,41.7067,2.5509
11/01/2009 00:00:00,0.0159,0.3983,28.6915,1.0000,0.0000,91.0432,232.5778,160.8323,4.8899,6.3228,0.0819,916.6667,275.3333,10.6935,0.0000,1.9352,5.8368,41.4152,2.5364
12/01/2009 00:00:00,0.0154,0.3999,28.4583,1.0000,0.0000,106.9955,231.1918,160.3236,4.6006,6.0217,0.0705,916.6667,275.3333,10.0240,0.0000,1.9166,6.6945,41.1326,2.5224
13/01/2009 00:00:00,0.0152,0.4016,28.2251,1.0000,0.0000,122.9478,229.8058,160.1423,4.3605,5.7769,0.0622,916.6667,275.3333,9.4664,0.0000,1.9075,6.8162,41.0418,2.5179
14/01/2009 00:00:00,0.0150,0.4032,27.9919,1.0000,0.0000,138.9001,228.4198,160.1423,4.1386,5.5487,0.0556,916.6667,275.3333,8.9518,0.0000,1.8960,6.5307,40.9040,2.5110
15/01/2009 00:00:00,0.0146,0.4048,27.7587,1.0000,0.0000,154.8524,227.0339,160.1423,3.9290,5.3300,0.0503,916.6667,275.3333,8.4670,0.0000,1.8805,6.2452,40.6836,2.5001
16/01/2009 00:00:00,0.0138,0.4064,27.5255,1.0000,0.0000,170.8047,225.6479,160.1423,3.7157,5.0998,0.0457,916.6667,275.3333,7.9780,0.0000,1.8531,5.9597,40.2270,2.4773
17/01/2009 00:00:00,0.0132,0.4081,27.2923,1.0000,0.0000,186.7570,224.2619,160.1423,3.5271,4.8970,0.0419,916.6667,275.3333,7.5449,0.0000,1.8295,5.6741,39.8470,2.4583
18/01/2009 00:00:00,0.0132,0.4097,27.0591,1.0000,0.0000,202.7093,222.8759,160.1423,3.3847,4.7531,0.0389,916.6667,275.3333,7.2134,0.0000,1.8242,5.3886,39.8335,2.4576
19/01/2009 00:00:00,0.0500,0.4113,26.8259,1.0000,0.0000,218.6616,221.4900,160.1423,4.3526,6.1815,0.0461,916.6667,275.3333,9.2415,0.0000,2.4684,5.1031,53.2759,3.1064
20/01/2009 00:00:00,0.0141,0.4129,26.5927,1.0000,0.0000,234.6140,220.1040,162.9846,3.1796,4.5662,0.0347,916.6667,275.3333,6.7258,0.0000,1.8442,5.0799,40.4178,2.4868
21/01/2009 00:00:00,0.0138,0.4127,26.6013,1.0000,0.0000,235.2985,218.8475,167.4334,3.2009,4.5784,0.0347,916.6667,275.3333,6.5384,0.0000,1.8312,5.2049,40.2494,2.4784
22/01/2009 00:00:00,0.0136,0.4105,26.8783,1.0000,0.0000,219.0611,217.7348,171.8822,3.4101,4.7771,0.0373,916.6667,275.3333,6.4790,0.0000,1.8213,5.3299,40.1430,2.4731
23/01/2009 00:00:00,0.0135,0.4083,27.1554,1.0000,0.0000,202.8237,216.6220,176.3310,3.6483,5.0051,0.0403,916.6667,275.3333,6.4191,0.0000,1.8129,5.4549,40.0657,2.4693
