ID,WL,U,V,Sal,Temp,TRACE_1,WQ_1,WQ_2,WQ_3,WQ_4,WQ_5,WQ_6,WQ_7,WQ_8,WQ_9,WQ_10,WQ_11,WQ_12,WQ_13,WQ_14,WQ_15,WQ_16,WQ_17,WQ_18,WQ_19,WQ_20,WQ_21,WQ_22,WQ_23,WQ_24,WQ_25,WQ_26,WQ_27,WQ_28
1,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
2,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
3,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
4,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
5,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
6,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
7,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
8,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
9,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
10,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
11,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
12,0.8279,0,0,35,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
13,0.8279,0,0,31.8067,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
14,0.8279,0,0,31.8067,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
15,0.8279,0,0,31.8067,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
16,0.8279,0,0,31.8067,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
17,0.8279,0,0,31.8067,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
18,0.8279,0,0,31.8067,21.6317,0,0,2.2226,0.9525,243.13,32.8156,0.9515,0.7185,0.2371,0.0237,100.9729,71.2432,3.8822,12.2424,0.0357,0.0446,151.4594,9.0584,0.0089,3.5622,0.452,0.9039,6.2143,3.3896,0.0682,0.339,1000,0.0682,
