ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0973,0.3721,28.0838,1.0000,0.0000,6.6577,248.8850,137.2393,13.2488,17.6567,0.5431,1111.8613,314.3723,24.3753,0.0000,0.3758,6.9408
02/01/2017 00:00:00,0.0943,0.3776,28.2545,1.0000,0.0000,6.7525,250.7524,137.8864,13.0941,17.5380,0.5428,1103.9567,312.7913,24.4085,0.0000,0.3639,6.6317
03/01/2017 00:00:00,0.0919,0.3832,28.4252,1.0000,0.0000,6.8474,252.6199,138.5334,12.9529,17.4364,0.5429,1096.0521,311.2104,24.4628,0.0000,0.3534,6.3226
04/01/2017 00:00:00,0.0893,0.3887,28.5960,1.0000,0.0000,6.9422,254.4874,140.9374,12.8083,17.3290,0.5428,1088.1475,309.6295,24.5069,0.0000,0.3423,6.2302
05/01/2017 00:00:00,0.0871,0.3918,28.5584,1.0000,0.0000,7.0000,249.5198,144.4957,12.6486,17.1843,0.5405,1083.3333,308.6667,24.5443,0.0000,0.3321,6.2802
06/01/2017 00:00:00,0.0861,0.3912,28.1962,1.0000,0.0000,7.0000,233.8992,148.0540,12.4770,16.9981,0.5351,1083.3333,308.6667,24.5965,0.0000,0.3246,6.3302
07/01/2017 00:00:00,0.0861,0.3907,27.8340,1.0000,0.0000,7.0000,218.2786,151.6123,12.3299,16.8451,0.5309,1083.3333,308.6667,24.6953,0.0000,0.3198,6.3802
08/01/2017 00:00:00,0.0851,0.3901,27.4718,1.0000,0.0000,7.0000,202.6580,155.1706,12.1647,16.6672,0.5261,1083.3333,308.6667,24.7562,0.0000,0.3127,6.4301
09/01/2017 00:00:00,0.0836,0.3895,27.1096,1.0000,0.0000,7.0000,187.0374,158.7289,11.9868,16.4715,0.5207,1083.3333,308.6667,24.7886,0.0000,0.3041,6.4801
10/01/2017 00:00:00,0.0805,0.3889,26.7473,1.0000,0.0000,7.0000,171.4168,161.6747,11.7761,16.2304,0.5139,1083.3333,308.6667,24.7490,0.0000,0.2913,6.8229
11/01/2017 00:00:00,0.0785,0.3883,26.3851,1.0000,0.0000,7.0000,155.7962,164.2169,11.5861,16.0171,0.5081,1083.3333,308.6667,24.7479,0.0000,0.2809,7.3587
12/01/2017 00:00:00,0.0866,0.3871,26.1546,1.0000,0.0000,6.9650,150.2361,166.7591,11.8532,16.2847,0.5051,1077.5029,307.5006,24.9426,0.0000,0.3281,7.8945
13/01/2017 00:00:00,0.0769,0.3851,26.0617,1.0000,0.0000,6.8936,155.1933,169.3013,11.9581,16.1746,0.4775,1065.5940,305.1188,23.9912,0.0000,0.3565,8.4303
14/01/2017 00:00:00,0.0757,0.3832,25.9688,1.0000,0.0000,6.8221,160.1504,171.8435,12.2585,16.3310,0.4578,1053.6851,302.7370,23.4423,0.0000,0.4085,8.9660
15/01/2017 00:00:00,0.0726,0.3812,25.8759,1.0000,0.0000,6.7507,165.1076,174.3857,12.5127,16.4251,0.4359,1041.7762,300.3552,22.8012,0.0000,0.4551,9.5018
16/01/2017 00:00:00,0.0717,0.3793,25.7830,1.0000,0.0000,6.6792,170.0648,176.9279,12.8164,16.5834,0.4154,1029.8673,297.9735,22.2462,0.0000,0.5070,10.0376
17/01/2017 00:00:00,0.0712,0.3773,25.6901,1.0000,0.0000,6.6078,175.0220,179.4701,13.1403,16.7655,0.3949,1017.9585,295.5917,21.7163,0.0000,0.5610,10.5733
18/01/2017 00:00:00,0.0695,0.3754,25.5972,1.0000,0.0000,6.5363,179.9792,182.0123,13.4312,16.9038,0.3730,1006.0496,293.2099,21.1239,0.0000,0.6112,11.1091
19/01/2017 00:00:00,0.0685,0.3735,25.5043,1.0000,0.0000,6.4648,184.9364,184.5545,13.7425,17.0664,0.3512,994.1407,290.8281,20.5571,0.0000,0.6631,11.6449
20/01/2017 00:00:00,0.0670,0.3715,25.4115,1.0000,0.0000,6.3934,189.8936,187.0967,14.0463,17.2181,0.3286,982.2318,288.4464,19.9715,0.0000,0.7142,12.1806
21/01/2017 00:00:00,0.0662,0.3696,25.3186,1.0000,0.0000,6.3219,194.8507,189.6389,14.3660,17.3877,0.3059,970.3229,286.0646,19.4013,0.0000,0.7664,12.7164
22/01/2017 00:00:00,0.0651,0.3676,25.2257,1.0000,0.0000,6.2505,199.8079,192.1811,14.6840,17.5535,0.2825,958.4140,283.6828,18.8206,0.0000,0.8184,13.2522
23/01/2017 00:00:00,0.0642,0.3657,25.1328,1.0000,0.0000,6.1790,204.7651,194.7233,15.0053,17.7214,0.2586,946.5051,281.3010,18.2364,0.0000,0.8704,13.7879
24/01/2017 00:00:00,0.0631,0.3637,25.0399,1.0000,0.0000,6.1076,209.7223,202.0130,15.3313,17.8932,0.2343,934.5962,278.9192,17.6500,0.0000,0.9224,13.7502
25/01/2017 00:00:00,0.0611,0.3618,24.9470,1.0000,0.0000,6.0361,214.6795,212.4133,15.6190,18.0193,0.2087,922.6873,276.5375,17.0143,0.0000,0.9708,13.3368
26/01/2017 00:00:00,0.0579,0.3605,24.8330,1.0000,0.0000,6.3527,217.6831,222.8136,15.5594,17.8381,0.2051,922.5456,276.5091,16.7442,0.0000,0.9565,12.9234
27/01/2017 00:00:00,0.0563,0.3597,24.6975,1.0000,0.0000,7.0661,218.6864,233.2139,15.2334,17.4459,0.2235,934.4356,278.8871,16.9204,0.0000,0.8851,12.5099
28/01/2017 00:00:00,0.0542,0.3590,24.5619,1.0000,0.0000,7.7795,219.6896,243.6142,14.9250,17.0748,0.2399,946.3257,281.2651,17.0857,0.0000,0.8141,12.0965
