ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA
01/01/2017 00:00:00,0.0000,0.5607,20.5502,1.0000,0.0000,16.4980,17.0264,137.2393,3.1406,0.8274,0.0750,430.5446,178.1089,11.1255,19.9321,0.3370,6.9408
02/01/2017 00:00:00,0.0000,0.5618,20.6214,1.0000,0.0000,15.7854,15.1112,137.8864,3.2180,0.8485,0.0793,426.5857,177.3171,11.6016,19.5217,0.3335,6.6317
03/01/2017 00:00:00,0.0000,0.5629,20.6927,1.0000,0.0000,15.0728,13.1961,138.5334,3.2997,0.8708,0.0841,422.6269,176.5254,12.1028,19.1133,0.3298,6.3226
04/01/2017 00:00:00,0.0000,0.5640,20.7640,1.0000,0.0000,14.3603,11.2810,140.9374,3.3860,0.8944,0.0897,418.6681,175.7336,12.6313,18.7074,0.3262,6.2302
05/01/2017 00:00:00,0.0000,0.5640,20.7851,1.0000,0.0000,13.9813,10.4350,144.4957,3.4323,0.9074,0.0929,417.0556,175.4111,12.8962,18.4445,0.3227,6.2802
06/01/2017 00:00:00,0.0000,0.5628,20.7549,1.0000,0.0000,13.9436,10.6827,148.0540,3.4337,0.9086,0.0930,417.8421,175.5684,12.8699,18.3278,0.3194,6.3302
07/01/2017 00:00:00,0.0000,0.5617,20.7247,1.0000,0.0000,13.9058,10.9305,151.6123,3.4353,0.9098,0.0932,418.6287,175.7257,12.8443,18.2130,0.3160,6.3802
08/01/2017 00:00:00,0.0000,0.5605,20.6945,1.0000,0.0000,13.8681,11.1783,155.1706,3.4370,0.9110,0.0933,419.4152,175.8830,12.8194,18.1005,0.3126,6.4301
09/01/2017 00:00:00,0.0000,0.5593,20.6643,1.0000,0.0000,13.8303,11.4260,158.7289,3.4389,0.9123,0.0935,420.2018,176.0404,12.7951,17.9898,0.3092,6.4801
10/01/2017 00:00:00,0.0000,0.5581,20.6341,1.0000,0.0000,13.7926,11.6738,161.6747,3.4409,0.9136,0.0937,420.9884,176.1977,12.7714,17.8812,0.3059,6.8229
11/01/2017 00:00:00,0.0000,0.5569,20.6038,1.0000,0.0000,13.7548,11.9215,164.2169,3.4431,0.9150,0.0938,421.7749,176.3550,12.7482,17.7743,0.3029,7.3587
12/01/2017 00:00:00,0.0034,0.5558,20.5736,1.0000,0.0000,13.7171,12.1693,166.7591,5.0371,1.3397,0.1502,422.5615,176.5123,18.6052,35.0757,0.7159,7.8945
13/01/2017 00:00:00,0.0000,0.5546,20.5434,1.0000,0.0000,13.6793,12.4171,169.3013,3.4478,0.9178,0.0943,423.3480,176.6696,12.7039,17.5662,0.2965,8.4303
14/01/2017 00:00:00,0.0000,0.5534,20.5132,1.0000,0.0000,13.6415,12.6648,171.8435,3.4504,0.9192,0.0945,424.1346,176.8269,12.6825,17.4648,0.2933,8.9660
15/01/2017 00:00:00,0.0000,0.5522,20.4830,1.0000,0.0000,13.6038,12.9126,174.3857,3.4532,0.9207,0.0947,424.9211,176.9842,12.6617,17.3650,0.2905,9.5018
16/01/2017 00:00:00,0.0000,0.5511,20.4528,1.0000,0.0000,13.5660,13.1604,176.9279,3.4561,0.9222,0.0949,425.7077,177.1415,12.6414,17.2670,0.2874,10.0376
17/01/2017 00:00:00,0.0000,0.5499,20.4226,1.0000,0.0000,13.5283,13.4081,179.4701,3.4591,0.9239,0.0951,426.4942,177.2988,12.6217,17.1705,0.2844,10.5733
18/01/2017 00:00:00,0.0000,0.5487,20.3924,1.0000,0.0000,13.4905,13.6559,182.0123,3.4622,0.9254,0.0954,427.2808,177.4562,12.6025,17.0757,0.2814,11.1091
19/01/2017 00:00:00,0.0000,0.5475,20.3622,1.0000,0.0000,13.4528,13.9037,184.5545,3.4655,0.9271,0.0956,428.0673,177.6135,12.5838,16.9823,0.2787,11.6449
20/01/2017 00:00:00,0.0000,0.5463,20.3320,1.0000,0.0000,13.4150,14.1514,187.0967,3.4688,0.9287,0.0958,428.8539,177.7708,12.5656,16.8906,0.2758,12.1806
