ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,4.9113,0.4467,28.7255,1.0000,0.0000,35.6439,295.5508,125.5581,11263.4291,6423.2032,136.6756,745.9132,241.1826,11092.6925,41904.1508,1221.4184,13.0355,41980.1544,1371.7616
02/01/2007 00:00:00,4.8233,0.4491,28.7386,1.0000,0.0000,37.1249,294.7227,125.5581,11858.8980,6637.7259,141.5022,726.4263,237.2853,10420.7080,41792.0888,1214.6596,14.6941,41867.2016,1370.3120
03/01/2007 00:00:00,27.6640,0.4516,28.7516,1.0000,0.0000,38.6059,293.8946,125.5581,12763.5098,7018.3801,184.2850,706.9395,233.3879,9951.0542,42642.9597,1517.6600,16.3527,42717.1817,1720.3734
04/01/2007 00:00:00,5.5503,0.4540,28.7647,1.0000,0.0000,40.0869,293.0665,125.5581,13221.0311,7148.1651,155.7448,687.4526,229.4905,9082.0891,41903.4987,1230.3109,18.0113,41976.8298,1401.6302
05/01/2007 00:00:00,5.5291,0.4565,28.7777,1.0000,0.0000,41.5679,292.2384,125.5581,13983.5819,7439.6289,161.0244,667.9658,225.5932,8390.2890,42072.4376,1219.1174,19.6699,42144.8780,1396.2442
06/01/2007 00:00:00,5.3501,0.4589,28.7908,1.0000,0.0000,43.0489,291.4103,125.5581,14642.8240,7671.4856,166.8467,648.4789,221.6958,7589.7349,41843.3721,1209.7233,21.3285,41914.9217,1393.2547
07/01/2007 00:00:00,5.2267,0.4614,28.8039,1.0000,0.0000,44.5299,290.5822,125.5581,15484.3025,7993.9822,172.2166,628.9921,217.7984,6835.2165,42046.2083,1194.6378,22.9871,42116.8669,1384.0760
08/01/2007 00:00:00,5.0419,0.4638,28.8169,1.0000,0.0000,46.0109,289.7541,125.5581,16192.7321,8243.0132,178.6670,609.5053,213.9010,5973.7198,41797.7026,1184.6813,24.6457,41867.4705,1381.2150
09/01/2007 00:00:00,4.9637,0.4663,28.8300,1.0000,0.0000,47.4919,288.9260,125.5581,17131.0341,8604.0533,184.7335,590.0184,210.0037,5146.3719,42049.7893,1169.6040,26.3043,42118.6663,1372.8109
10/01/2007 00:00:00,8.8961,0.4687,28.8430,1.0000,0.0000,47.3527,288.0978,125.5581,17211.8510,8702.7876,204.6970,587.1862,209.4372,5058.4443,41853.3146,1266.9097,25.7420,41921.9521,1492.0765
11/01/2007 00:00:00,9.1029,0.4712,28.8561,1.0000,0.0000,46.3674,287.2697,125.5581,17098.2487,8796.0525,206.5011,593.0510,210.6102,5456.5473,42084.6483,1265.6380,23.5750,42153.3863,1492.7893
12/01/2007 00:00:00,5.1971,0.4736,28.8692,1.0000,0.0000,45.3821,286.4416,125.5581,16769.3240,8779.8907,193.5596,598.9158,211.7832,5789.7829,41789.6662,1174.5758,21.4081,41858.5047,1387.4914
13/01/2007 00:00:00,4.9966,0.4761,28.8822,1.0000,0.0000,44.3969,285.6135,125.5581,16681.0683,8891.4277,193.2387,604.7806,212.9561,6211.0027,42101.1775,1160.9899,19.2412,42170.1166,1373.5524
14/01/2007 00:00:00,4.7453,0.4785,28.8953,1.0000,0.0000,43.4116,284.7854,125.5581,16331.6058,8865.2771,194.3219,610.6455,214.1291,6539.3353,41757.5066,1155.7937,17.0742,41826.5462,1369.5478
15/01/2007 00:00:00,4.5168,0.4810,28.9083,1.0000,0.0000,42.4263,283.9573,125.5581,16186.2485,8951.0169,194.0353,616.5103,215.3021,6952.5782,41940.3071,1142.4022,14.9073,42009.4473,1355.8410
16/01/2007 00:00:00,4.5030,0.4834,28.9214,1.0000,0.0000,41.4410,283.1292,125.5581,15896.5578,8958.6905,196.0527,622.3751,216.4750,7308.7905,41754.3641,1142.4715,12.7404,41823.6048,1358.1295
17/01/2007 00:00:00,4.5165,0.4859,28.9344,1.0000,0.0000,40.4557,282.3011,125.5581,15767.0021,9058.6659,197.1371,628.2399,217.6480,7744.5611,41996.7117,1136.8299,12.0000,42066.0530,1353.6807
18/01/2007 00:00:00,4.3894,0.4883,28.9475,1.0000,0.0000,39.4704,281.4730,125.5581,15438.3574,9045.9843,198.8764,634.1047,218.8209,8087.3840,41713.6090,1134.8817,12.0000,41783.0507,1353.6457
19/01/2007 00:00:00,4.3691,0.4908,28.9606,1.0000,0.0000,38.4851,280.6449,125.5581,15322.9105,9160.2131,199.6323,639.9695,219.9939,8547.6862,42014.3264,1127.1709,12.0000,42083.8687,1346.7664
20/01/2007 00:00:00,4.1822,0.4932,28.9736,1.0000,0.0000,37.4998,279.8167,125.5581,14981.0335,9141.0041,201.0875,645.8344,221.1669,8887.1413,41699.6039,1123.2758,12.0000,41769.2467,1344.4721
21/01/2007 00:00:00,4.1585,0.4957,28.9867,1.0000,0.0000,36.5145,278.9886,125.5581,14827.2528,9238.1782,202.0215,651.6992,222.3398,9342.8434,41914.8035,1116.2358,12.0000,41984.5469,1338.4595
22/01/2007 00:00:00,3.9907,0.4981,28.9997,1.0000,0.0000,35.5293,278.1605,125.5581,14512.3079,9236.9642,203.3433,657.5640,223.5128,9702.7470,41680.4374,1111.2917,12.0000,41750.2813,1334.9693
23/01/2007 00:00:00,3.9615,0.5006,29.0128,1.0000,0.0000,34.5440,277.3324,125.5581,14365.6024,9345.1402,204.1891,663.4288,224.6858,10181.7870,41937.9040,1103.6158,12.0000,42007.8485,1328.2238
24/01/2007 00:00:00,3.8881,0.5008,28.8970,1.0000,0.0000,33.4860,276.4034,125.5581,14144.1293,9267.0689,206.4407,661.3125,224.2625,10408.3499,41689.2422,1102.2544,12.0911,41759.5405,1329.3391
25/01/2007 00:00:00,3.8603,0.4984,28.6223,1.0000,0.0000,32.3385,275.3499,125.5581,14181.0856,9186.4855,207.9475,649.3592,221.8718,10565.8331,41835.2184,1095.3805,12.2317,41906.1826,1324.1228
26/01/2007 00:00:00,3.5915,0.4960,28.3476,1.0000,0.0000,31.1910,274.2965,125.5581,14107.9369,9036.7069,208.8126,637.4058,219.4812,10638.8108,41655.3239,1084.9560,12.3723,41726.9541,1314.6499
27/01/2007 00:00:00,3.3748,0.4936,28.0729,1.0000,0.0000,30.0434,273.2430,125.5581,14135.8594,8953.7090,208.8740,625.4524,217.0905,10785.3933,41773.5286,1070.2896,12.5128,41845.8249,1300.0510
28/01/2007 00:00:00,3.2815,0.4912,27.7982,1.0000,0.0000,28.8959,272.1895,125.5581,14069.3420,8812.8878,210.8564,613.4990,214.6998,10857.4626,41611.4576,1065.4129,12.6534,41684.4198,1297.3549
29/01/2007 00:00:00,4.3716,0.4887,27.5235,1.0000,0.0000,27.7484,271.1360,125.5581,14038.8619,8696.8904,218.8165,601.5456,212.3091,10954.4597,41555.2772,1089.9350,12.7940,41628.9054,1330.6332
30/01/2007 00:00:00,3.6237,0.4863,27.2488,1.0000,0.0000,26.6009,270.0825,125.5581,14020.6519,8590.5061,217.9918,589.5923,209.9185,11058.6100,41534.8284,1070.1873,12.9346,41609.1225,1309.9783
