ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.3847,0.4467,28.7255,1.0000,0.0000,35.6439,295.5508,125.5581,12748.9442,7270.3489,200.0789,745.9132,241.1826,12555.6894,47440.8443,1788.0289,13.0355,47516.8479,2008.1156
02/01/2007 00:00:00,0.3826,0.4491,28.7386,1.0000,0.0000,37.1249,294.7227,125.5581,13458.2231,7532.9087,207.3646,726.4263,237.2853,11826.0747,47438.4200,1780.0241,14.6941,47513.5328,2008.1251
03/01/2007 00:00:00,9.2543,0.4516,28.7516,1.0000,0.0000,38.6059,293.8946,125.5581,14851.7742,8166.6718,216.5347,706.9395,233.3879,11579.1668,49632.0064,1783.2496,16.3527,49706.2284,2021.4378
04/01/2007 00:00:00,0.5470,0.4540,28.7647,1.0000,0.0000,40.0869,293.0665,125.5581,15030.5162,8126.4926,223.3183,687.4526,229.4905,10325.1015,47648.6216,1764.1095,18.0113,47721.9527,2009.7597
05/01/2007 00:00:00,0.5765,0.4565,28.7777,1.0000,0.0000,41.5679,292.2384,125.5581,15844.1791,8429.5149,231.8099,667.9658,225.5932,9506.6660,47680.0596,1755.0354,19.6699,47752.5000,2010.0263
06/01/2007 00:00:00,0.5635,0.4589,28.7908,1.0000,0.0000,43.0489,291.4103,125.5581,16677.4011,8737.4159,240.6978,648.4789,221.6958,8644.3062,47667.3267,1745.1810,21.3285,47738.8763,2009.9486
07/01/2007 00:00:00,0.5372,0.4614,28.8039,1.0000,0.0000,44.5299,290.5822,125.5581,17540.8916,9055.7244,250.0683,628.9921,217.7984,7743.0541,47640.0728,1734.6823,22.9871,47710.7314,2009.7574
08/01/2007 00:00:00,0.5044,0.4638,28.8169,1.0000,0.0000,46.0109,289.7541,125.5581,18438.5622,9386.2673,259.9383,609.5053,213.9010,6802.2371,47604.4575,1723.5641,24.6457,47674.2254,2009.4963
09/01/2007 00:00:00,0.4768,0.4663,28.8300,1.0000,0.0000,47.4919,288.9260,125.5581,19377.4472,9732.3132,270.3782,590.0184,210.0037,5821.2218,47572.8605,1711.8463,26.3043,47641.7375,2009.2623
10/01/2007 00:00:00,1.7773,0.4687,28.8430,1.0000,0.0000,47.3527,288.0978,125.5581,19910.4163,10067.2568,276.3863,587.1862,209.4372,5851.5340,48426.0604,1710.6087,25.7420,48494.6979,2014.6336
11/01/2007 00:00:00,1.6861,0.4712,28.8561,1.0000,0.0000,46.3674,287.2697,125.5581,19654.4501,10111.0692,278.6625,593.0510,210.6102,6272.3053,48386.6121,1707.9123,23.5750,48455.3501,2014.4411
12/01/2007 00:00:00,0.5369,0.4736,28.8692,1.0000,0.0000,45.3821,286.4416,125.5581,19114.0439,10007.5123,280.3844,598.9158,211.7832,6599.3218,47642.4048,1701.4540,21.4081,47711.2433,2009.8769
13/01/2007 00:00:00,0.5165,0.4761,28.8822,1.0000,0.0000,44.3969,285.6135,125.5581,18863.9855,10054.9772,282.7393,604.7806,212.9561,7023.7867,47619.6411,1698.7149,19.2412,47688.5802,2009.7281
14/01/2007 00:00:00,0.4640,0.4785,28.8953,1.0000,0.0000,43.4116,284.7854,125.5581,18596.6602,10094.8154,285.0905,610.6455,214.1291,7446.2853,47558.4916,1695.6698,17.0742,47627.5312,2009.2694
15/01/2007 00:00:00,0.3893,0.4810,28.9083,1.0000,0.0000,42.4263,283.9573,125.5581,18313.4763,10127.3767,287.4337,616.5103,215.3021,7866.2994,47461.2692,1692.2944,14.9073,47530.4094,2008.4714
16/01/2007 00:00:00,0.3875,0.4834,28.9214,1.0000,0.0000,41.4410,283.1292,125.5581,18064.3452,10180.3724,289.9342,622.3751,216.4750,8305.4782,47457.7801,1689.5536,12.7404,47527.0208,2008.4812
17/01/2007 00:00:00,0.3867,0.4859,28.9344,1.0000,0.0000,40.4557,282.3011,125.5581,17813.1381,10234.2389,292.4990,628.2399,217.6480,8749.5985,47455.7626,1686.7531,12.0000,47525.1039,2008.5020
18/01/2007 00:00:00,0.3734,0.4883,28.9475,1.0000,0.0000,39.4704,281.4730,125.5581,17552.8265,10284.9409,295.0672,634.1047,218.8209,9195.0488,47436.3014,1683.7911,12.0000,47505.7431,2008.3651
19/01/2007 00:00:00,0.3689,0.4908,28.9606,1.0000,0.0000,38.4851,280.6449,125.5581,17294.4097,10338.7981,297.6974,639.9695,219.9939,9647.4613,47428.9840,1680.8695,12.0000,47498.5263,2008.3366
20/01/2007 00:00:00,0.3481,0.4932,28.9736,1.0000,0.0000,37.4998,279.8167,125.5581,17024.7029,10387.9936,300.3418,645.8344,221.1669,10099.4996,47397.6442,1677.7108,12.0000,47467.2870,2008.0867
21/01/2007 00:00:00,0.3377,0.4957,28.9867,1.0000,0.0000,36.5145,278.9886,125.5581,16757.6556,10440.9233,303.0745,651.6992,222.3398,10559.2152,47380.8928,1674.5872,12.0000,47450.6362,2007.9692
