ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.2145,1.1390,23.3868,1.0000,0.0000,4.8484,212.0999,125.5581,144.6336,212.6855,212.8833,2371.2448,566.2490,9722.0340,26907.1042,833.0131,13.0355,26976.9394,1067.1847
02/01/2007 00:00:00,0.2161,1.1385,23.3280,1.0000,0.0000,4.8662,212.4139,125.5581,144.5724,211.2661,209.6464,2366.7800,565.3560,9655.4639,26914.6923,836.8296,14.6941,26984.5078,1067.4407
03/01/2007 00:00:00,18.5841,1.1381,23.2692,1.0000,0.0000,4.8841,212.7278,125.5581,145.4928,211.3247,175.0208,2362.3152,564.4630,9655.7928,27108.0867,712.4581,16.3527,27177.8825,904.9809
04/01/2007 00:00:00,0.3305,1.1376,23.2104,1.0000,0.0000,4.9019,213.0417,125.5581,146.0013,210.7525,204.1484,2357.8503,563.5701,9627.9607,27221.7999,847.2715,18.0113,27291.5760,1071.8347
05/01/2007 00:00:00,0.3584,1.1371,23.1516,1.0000,0.0000,4.9198,213.3557,125.5581,146.2391,209.8127,201.2572,2353.3855,562.6771,9582.6806,27284.7965,851.3761,19.6699,27354.5529,1072.7590
06/01/2007 00:00:00,0.3558,1.1366,23.0928,1.0000,0.0000,4.9377,213.6696,125.5581,146.1053,208.3599,198.2687,2348.9207,561.7841,9514.6587,27280.6880,854.6925,21.3285,27350.4246,1072.7881
07/01/2007 00:00:00,0.3389,1.1361,23.0340,1.0000,0.0000,4.9555,213.9835,125.5581,145.8191,206.7022,195.2758,2344.4559,560.8912,9436.6621,27245.1755,857.6054,22.9871,27314.8925,1072.4088
08/01/2007 00:00:00,0.3165,1.1357,22.9752,1.0000,0.0000,4.9734,214.2974,125.5581,145.4435,204.9438,192.3169,2339.9910,559.9982,9354.7405,27195.2047,860.2749,24.6457,27264.9019,1071.8234
09/01/2007 00:00:00,0.2928,1.1352,22.9164,1.0000,0.0000,4.9912,214.6114,125.5581,145.0496,203.1606,189.4068,2335.5262,559.1052,9271.7181,27138.8942,862.7772,26.3043,27208.5717,1071.1247
10/01/2007 00:00:00,3.4440,1.1347,22.8576,1.0000,0.0000,5.0091,214.9253,125.5581,139.2370,193.8671,160.6294,2331.0614,558.2123,8845.4296,26065.1929,744.9350,25.7420,26134.8508,921.6274
11/01/2007 00:00:00,2.4416,1.1342,22.7988,1.0000,0.0000,5.0269,215.2392,125.5581,137.9906,191.0079,158.4303,2326.5966,557.3193,8713.4404,25849.9398,747.8739,23.5750,25919.5779,922.1473
