ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0031,1.1390,23.3868,1.0000,0.0000,4.8484,212.0999,125.5581,137.8713,202.7414,109.6250,2371.2448,566.2490,9267.4822,25645.8027,428.9632,13.0355,25715.6379,549.5507
02/01/2007 00:00:00,0.0030,1.1385,23.3280,1.0000,0.0000,4.8662,212.4139,125.5581,137.7742,201.3318,107.9256,2366.7800,565.3560,9201.4353,25645.8007,430.7984,14.6941,25715.6162,549.5166
03/01/2007 00:00:00,4.6518,1.1381,23.2692,1.0000,0.0000,4.8841,212.7278,125.5581,132.8268,192.9276,151.4283,2362.3152,564.4630,8815.1957,24742.0821,616.4200,16.3527,24811.8779,782.9911
04/01/2007 00:00:00,0.0032,1.1376,23.2104,1.0000,0.0000,4.9019,213.0417,125.5581,137.5709,198.5832,104.6898,2357.8503,563.5701,9072.0220,25645.9270,434.4912,18.0113,25715.7031,549.6500
05/01/2007 00:00:00,0.0032,1.1371,23.1516,1.0000,0.0000,4.9198,213.3557,125.5581,137.4776,197.2423,103.1117,2353.3855,562.6771,9008.5606,25645.9234,436.1923,19.6699,25715.6798,549.6152
06/01/2007 00:00:00,0.0031,1.1366,23.0928,1.0000,0.0000,4.9377,213.6696,125.5581,137.3724,195.9060,101.5714,2348.9207,561.7841,8945.9562,25645.9205,437.8520,21.3285,25715.6571,549.5806
07/01/2007 00:00:00,0.0031,1.1361,23.0340,1.0000,0.0000,4.9555,213.9835,125.5581,137.2815,194.6000,100.0673,2344.4559,560.8912,8884.1558,25645.9180,439.4722,22.9871,25715.6350,549.5462
08/01/2007 00:00:00,0.0030,1.1357,22.9752,1.0000,0.0000,4.9734,214.2974,125.5581,137.1789,193.2981,98.5988,2339.9910,559.9982,8823.1710,25645.9162,441.0536,24.6457,25715.6134,549.5122
09/01/2007 00:00:00,0.0030,1.1352,22.9164,1.0000,0.0000,4.9912,214.6114,125.5581,137.0905,192.0129,97.1642,2335.5262,559.1052,8762.9636,25645.9148,442.5979,26.3043,25715.5923,549.4785
10/01/2007 00:00:00,0.8245,1.1347,22.8576,1.0000,0.0000,5.0091,214.9253,125.5581,129.7904,180.7141,136.1267,2331.0614,558.2123,8245.3068,24292.0603,631.3010,25.7420,24361.7182,781.0404
11/01/2007 00:00:00,0.5872,1.1342,22.7988,1.0000,0.0000,5.0269,215.2392,125.5581,129.5389,179.3090,134.0749,2326.5966,557.3193,8179.7582,24262.4133,632.9036,23.5750,24332.0514,780.3860
12/01/2007 00:00:00,0.0029,1.1338,22.7400,1.0000,0.0000,5.0448,215.5532,125.5581,136.8194,188.2803,93.0528,2322.1317,556.4263,8586.9025,25645.9136,447.0208,21.4081,25715.5320,549.3789
13/01/2007 00:00:00,0.0028,1.1333,22.6812,1.0000,0.0000,5.0627,215.8671,125.5581,136.7229,187.0591,91.7428,2317.6669,555.5334,8529.7022,25645.9142,448.4291,19.2412,25715.5128,549.3463
14/01/2007 00:00:00,0.0028,1.1328,22.6224,1.0000,0.0000,5.0805,216.1810,125.5581,136.6401,185.8654,90.4618,2313.2021,554.6404,8473.2037,25645.9151,449.8059,17.0742,25715.4941,549.3139
15/01/2007 00:00:00,0.0027,1.1323,22.5636,1.0000,0.0000,5.0984,216.4950,125.5581,136.5584,184.6743,89.2085,2308.7373,553.7475,8417.4150,25645.9165,451.1523,14.9073,25715.4758,549.2817
16/01/2007 00:00:00,0.0027,1.1318,22.5048,1.0000,0.0000,5.1162,216.8089,125.5581,136.4652,183.5102,87.9821,2304.2724,552.8545,8362.3104,25645.9183,452.4695,12.7404,25715.4579,549.2498
17/01/2007 00:00:00,0.0026,1.1314,22.4460,1.0000,0.0000,5.1341,217.1228,125.5581,136.3857,182.3480,86.7814,2299.8076,551.9615,8307.8855,25645.9205,453.7587,12.0000,25715.4404,549.2182
18/01/2007 00:00:00,0.0026,1.1309,22.3872,1.0000,0.0000,5.1520,217.4368,125.5581,136.2946,181.2123,85.6062,2295.3428,551.0686,8254.1199,25645.9231,455.0200,12.0000,25715.4233,549.1868
19/01/2007 00:00:00,0.0026,1.1304,22.3284,1.0000,0.0000,5.1698,217.7507,125.5581,136.2171,180.0782,84.4553,2290.8780,550.1756,8201.0095,25645.9261,456.2548,12.0000,25715.4066,549.1557
20/01/2007 00:00:00,0.0025,1.1299,22.2696,1.0000,0.0000,5.1877,218.0646,125.5581,136.1283,178.9578,83.3278,2286.4131,549.2826,8148.5302,25645.9297,457.4641,12.0000,25715.3903,549.1247
21/01/2007 00:00:00,0.0025,1.1294,22.2108,1.0000,0.0000,5.2055,218.3786,125.5581,136.0525,177.8626,82.2236,2281.9483,548.3897,8096.6796,25645.9333,458.6481,12.0000,25715.3743,549.0941
22/01/2007 00:00:00,0.0025,1.1290,22.1520,1.0000,0.0000,5.2234,218.6925,125.5581,135.9777,176.7686,81.1415,2277.4835,547.4967,8045.4534,25645.9374,459.8079,12.0000,25715.3587,549.0636
23/01/2007 00:00:00,0.0024,1.1285,22.0932,1.0000,0.0000,5.2413,219.0064,125.5581,135.8918,175.6995,80.0808,2273.0187,546.6037,7994.8293,25645.9418,460.9445,12.0000,25715.3434,549.0334
24/01/2007 00:00:00,0.0024,1.1280,22.0344,1.0000,0.0000,5.2591,219.3204,125.5581,135.8189,174.6311,79.0413,2268.5538,545.7108,7944.8041,25645.9465,462.0580,12.0911,25715.3284,549.0034
25/01/2007 00:00:00,0.0024,1.1275,21.9756,1.0000,0.0000,5.2770,219.6343,125.5581,135.7349,173.5869,78.0221,2264.0890,544.8178,7895.3599,25645.9515,463.1494,12.2317,25715.3137,548.9736
26/01/2007 00:00:00,0.0023,1.1270,21.9168,1.0000,0.0000,5.2948,219.9482,125.5581,135.6637,172.5432,77.0224,2259.6242,543.9248,7846.4939,25645.9569,464.2195,12.3723,25715.2994,548.9441
