ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.2151,0.4467,28.7255,1.0000,0.0000,35.6439,295.5508,125.5581,10752.9813,6132.1098,149.2957,745.9132,241.1826,10589.9823,40001.6505,1334.1989,13.0355,40077.6541,1498.4241
02/01/2007 00:00:00,0.2158,0.4491,28.7386,1.0000,0.0000,37.1249,294.7227,125.5581,11349.5382,6352.6243,154.6853,726.4263,237.2853,9973.1209,39993.8214,1327.8234,14.6941,40068.9342,1497.9772
03/01/2007 00:00:00,15.1653,0.4516,28.7516,1.0000,0.0000,38.6059,293.8946,125.5581,23052.2238,12675.9231,289.5339,706.9395,233.3879,17972.6370,77077.4427,2384.4266,16.3527,77151.6647,2702.9139
04/01/2007 00:00:00,0.3282,0.4540,28.7647,1.0000,0.0000,40.0869,293.0665,125.5581,13330.9571,7207.5984,175.8465,687.4526,229.4905,9157.6020,42252.5144,1389.1048,18.0113,42325.8455,1582.5360
05/01/2007 00:00:00,0.3502,0.4565,28.7777,1.0000,0.0000,41.5679,292.2384,125.5581,14156.2847,7531.5113,183.9246,667.9658,225.5932,8493.9125,42592.9437,1392.4947,19.6699,42665.3841,1594.8117
06/01/2007 00:00:00,0.3365,0.4589,28.7908,1.0000,0.0000,43.0489,291.4103,125.5581,14821.8880,7765.2986,189.9306,648.4789,221.6958,7682.5482,42355.9409,1377.0928,21.3285,42427.4905,1586.0165
07/01/2007 00:00:00,0.3111,0.4614,28.8039,1.0000,0.0000,44.5299,290.5822,125.5581,15437.8731,7970.0124,195.3433,628.9921,217.7984,6814.7212,41919.9217,1355.0641,22.9871,41990.5803,1569.9417
08/01/2007 00:00:00,0.2844,0.4638,28.8169,1.0000,0.0000,46.0109,289.7541,125.5581,16056.4345,8173.6300,200.8112,609.5053,213.9010,5923.4377,41445.2954,1331.5118,24.6457,41515.0633,1552.4041
09/01/2007 00:00:00,0.2651,0.4663,28.8300,1.0000,0.0000,47.4919,288.9260,125.5581,16739.0779,8407.1935,207.1052,590.0184,210.0037,5028.6234,41086.1188,1311.2459,26.3043,41154.9958,1539.0617
10/01/2007 00:00:00,2.9432,0.4687,28.8430,1.0000,0.0000,47.3527,288.0978,125.5581,23349.9466,11806.3784,283.2890,587.1862,209.4372,6862.3882,56803.5340,1753.3309,25.7420,56872.1715,2064.9488
