ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0652,0.4467,28.7255,1.0000,0.0000,35.6439,295.5508,125.5581,13314.0258,7592.5983,188.1724,745.9132,241.1826,13112.2052,49546.9713,1681.6253,13.0355,49622.9749,1888.6149
02/01/2007 00:00:00,0.0653,0.4491,28.7386,1.0000,0.0000,37.1249,294.7227,125.5581,14059.8706,7869.6661,195.0828,726.4263,237.2853,12354.7573,49562.5043,1674.5969,14.6941,49637.6171,1889.1880
03/01/2007 00:00:00,3.5995,0.4516,28.7516,1.0000,0.0000,38.6059,293.8946,125.5581,30727.0738,16896.1584,400.6001,706.9395,233.3879,23956.3241,102763.7915,3299.1010,16.3527,102838.0135,3739.7611
04/01/2007 00:00:00,0.0977,0.4540,28.7647,1.0000,0.0000,40.0869,293.0665,125.5581,16663.2934,9009.2801,223.9553,687.4526,229.4905,11446.7257,52832.6963,1769.1412,18.0113,52906.0274,2015.4920
05/01/2007 00:00:00,0.1036,0.4565,28.7777,1.0000,0.0000,41.5679,292.2384,125.5581,17722.7479,9428.9624,234.6797,667.9658,225.5932,10633.8261,53341.8462,1776.7622,19.6699,53414.2866,2034.9099
06/01/2007 00:00:00,0.1000,0.4589,28.7908,1.0000,0.0000,43.0489,291.4103,125.5581,18552.8724,9719.9894,242.2839,648.4789,221.6958,9616.4089,53035.8424,1756.6812,21.3285,53107.3920,2023.1935
07/01/2007 00:00:00,0.0931,0.4614,28.8039,1.0000,0.0000,44.5299,290.5822,125.5581,19299.6662,9963.7158,248.8209,628.9921,217.7984,8519.4278,52423.8903,1726.0296,22.9871,52494.5489,1999.7326
08/01/2007 00:00:00,0.0864,0.4638,28.8169,1.0000,0.0000,46.0109,289.7541,125.5581,20060.8946,10212.1259,255.5656,609.5053,213.9010,7400.7377,51799.1143,1694.5699,24.6457,51868.8822,1975.6921
09/01/2007 00:00:00,0.0813,0.4663,28.8300,1.0000,0.0000,47.4919,288.9260,125.5581,20894.4967,10494.2505,263.2807,590.0184,210.0037,6276.9620,51302.7056,1666.9100,26.3043,51371.5826,1956.5188
10/01/2007 00:00:00,0.6866,0.4687,28.8430,1.0000,0.0000,47.3527,288.0978,125.5581,30521.7003,15432.6153,383.2527,587.1862,209.4372,8970.1171,74271.3772,2372.0255,25.7420,74340.0147,2793.6035
