ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.1509,0.8655,21.8650,1.0000,0.0000,36.0175,138.1056,125.5581,15004.3740,732.6465,71.0408,1019.4363,295.8873,1597.1464,21793.7718,715.9713,13.0355,21961.5874,794.1162
02/01/2007 00:00:00,0.1538,0.8616,21.8091,1.0000,0.0000,35.9163,138.5352,125.5581,14952.1824,764.9582,71.4074,1020.4280,296.0856,1627.4080,21816.5794,716.3865,14.6941,21983.9555,794.9346
03/01/2007 00:00:00,24.3101,0.8576,21.7532,1.0000,0.0000,35.8152,138.9647,125.5581,35244.3751,1886.3965,152.5259,1021.4198,296.2840,3921.5721,51888.2019,1523.2267,16.3527,52055.1384,1691.0052
04/01/2007 00:00:00,0.2672,0.8537,21.6974,1.0000,0.0000,35.7140,139.3943,125.5581,15821.9283,884.7400,77.1544,1022.4115,296.4823,1799.4126,23309.4842,767.0055,18.0113,23475.9812,851.8753
05/01/2007 00:00:00,0.2897,0.8498,21.6415,1.0000,0.0000,35.6129,139.8238,125.5581,15911.5488,928.3984,78.2901,1023.4033,296.6807,1849.3012,23552.3550,774.7962,19.6699,23718.4126,860.9153
06/01/2007 00:00:00,0.2759,0.8459,21.5856,1.0000,0.0000,35.5117,140.2534,125.5581,15801.7181,960.8891,78.4436,1024.3950,296.8790,1876.4910,23499.2629,773.2374,21.3285,23664.8810,859.5254
07/01/2007 00:00:00,0.2486,0.8419,21.5297,1.0000,0.0000,35.4105,140.6829,125.5581,15538.3214,983.6560,77.8068,1025.3868,297.0774,1885.0602,23215.0998,763.4660,22.9871,23380.2784,849.0535
08/01/2007 00:00:00,0.2235,0.8380,21.4739,1.0000,0.0000,35.3094,141.1125,125.5581,15271.2001,1005.3975,77.1208,1026.3785,297.2757,1892.3663,22923.0955,753.2879,24.6457,23087.8346,838.1207
09/01/2007 00:00:00,0.2045,0.8341,21.4180,1.0000,0.0000,35.2082,141.5420,125.5581,14994.2699,1025.6630,76.3215,1027.3703,297.4741,1897.5926,22613.8897,742.0854,26.3043,22778.1894,826.0390
10/01/2007 00:00:00,4.6402,0.8302,21.3621,1.0000,0.0000,35.1071,141.9716,125.5581,26060.8730,1850.5025,124.0019,1028.3620,297.6724,3367.8073,39618.0592,1200.1986,25.7420,39781.9193,1336.6007
11/01/2007 00:00:00,4.4931,0.8263,21.3062,1.0000,0.0000,35.0059,142.4012,125.5581,24831.5293,1828.7796,119.1600,1029.3538,297.8708,3276.3092,37927.6627,1148.0833,23.5750,38091.0833,1279.1593
12/01/2007 00:00:00,0.2729,0.8223,21.2504,1.0000,0.0000,34.9048,142.8307,125.5581,15313.3361,1168.8068,80.1552,1030.3455,298.0691,2062.6076,23443.5681,769.2586,21.4081,23606.5493,857.4294
13/01/2007 00:00:00,0.2456,0.8184,21.1945,1.0000,0.0000,34.8036,143.2603,125.5581,15015.5787,1186.8973,79.2537,1031.3373,298.2675,2064.4159,23100.5862,757.1422,19.2412,23263.1279,844.3212
14/01/2007 00:00:00,0.2030,0.8145,21.1386,1.0000,0.0000,34.7024,143.6898,125.5581,14600.5030,1194.3466,77.6989,1032.3290,298.4658,2048.7126,22572.0048,738.9089,17.0742,22734.1070,824.3777
15/01/2007 00:00:00,0.1406,0.8106,21.0827,1.0000,0.0000,34.6013,144.1194,125.5581,13954.2683,1180.5278,74.7508,1033.3208,298.6642,1998.1497,21676.8190,707.6354,14.9073,21838.4817,789.8613
16/01/2007 00:00:00,0.1513,0.8066,21.0269,1.0000,0.0000,34.5001,144.5489,125.5581,13964.9461,1221.0857,75.5259,1034.3126,298.8625,2040.4212,21806.2997,711.7172,12.7404,21967.5229,794.7958
17/01/2007 00:00:00,0.1616,0.8027,20.9710,1.0000,0.0000,34.3990,144.9785,125.5581,13972.7971,1262.0537,76.2945,1035.3043,299.0609,2082.9331,21933.1649,715.6864,12.0000,22093.9486,799.6104
18/01/2007 00:00:00,0.1596,0.7988,20.9151,1.0000,0.0000,34.2978,145.4080,125.5581,13837.1487,1290.2819,76.1682,1036.2961,299.2592,2104.3020,21833.7810,711.6579,12.0000,21994.1253,795.4430
19/01/2007 00:00:00,0.1622,0.7949,20.8592,1.0000,0.0000,34.1966,145.8376,125.5581,13790.1148,1326.8527,76.6339,1037.2878,299.4576,2139.2293,21875.4892,712.7915,12.0000,22035.3940,797.0888
20/01/2007 00:00:00,0.1412,0.7909,20.8034,1.0000,0.0000,34.0955,146.2671,125.5581,13527.7740,1342.4035,75.8168,1038.2796,299.6559,2140.4339,21572.2743,701.9793,12.0000,21731.7395,785.3778
21/01/2007 00:00:00,0.1407,0.7870,20.7475,1.0000,0.0000,33.9943,146.6967,125.5581,13437.1706,1374.5678,76.0120,1039.2713,299.8543,2168.3713,21543.7249,700.5805,12.0000,21702.7507,784.1936
22/01/2007 00:00:00,0.1217,0.7831,20.6916,1.0000,0.0000,33.8932,147.1262,125.5581,13166.1926,1387.7895,75.0855,1040.2631,300.0526,2166.7078,21222.4761,688.8891,12.0000,21381.0624,771.4832
23/01/2007 00:00:00,0.1188,0.7792,20.6357,1.0000,0.0000,33.7920,147.5558,125.5581,13001.4021,1411.4825,74.7723,1041.2548,300.2510,2181.7675,21071.6149,682.8910,12.0000,21229.7616,765.1406
24/01/2007 00:00:00,0.1211,0.7752,20.5799,1.0000,0.0000,33.6908,147.9853,125.5581,12909.2446,1442.8921,74.8893,1042.2466,300.4493,2208.8522,21038.8942,681.2308,12.0911,21196.6015,763.6090
25/01/2007 00:00:00,0.1264,0.7713,20.5240,1.0000,0.0000,33.5897,148.4149,125.5581,12936.2847,1488.0881,75.8653,1043.2383,300.6477,2256.7984,21203.1790,686.9643,12.2317,21360.4469,770.4162
26/01/2007 00:00:00,0.0849,0.7674,20.4681,1.0000,0.0000,33.4885,148.8444,125.5581,12392.5230,1466.5771,73.0248,1044.2301,300.8460,2204.1010,20422.0087,658.2712,12.3723,20578.8371,738.5985
27/01/2007 00:00:00,0.0495,0.7635,20.4122,1.0000,0.0000,33.3874,149.2740,125.5581,11766.8234,1432.1269,69.2111,1045.2218,301.0444,2133.4892,19495.5788,621.0496,12.5128,19651.9676,697.1818
28/01/2007 00:00:00,0.0397,0.7595,20.3564,1.0000,0.0000,33.2862,149.7035,125.5581,11451.7523,1432.9456,67.5033,1046.2136,301.2427,2116.6020,19080.7672,602.9643,12.6534,19236.7165,677.2180
29/01/2007 00:00:00,1.3939,0.7556,20.3005,1.0000,0.0000,33.1851,150.1331,125.5581,21185.7363,2724.6145,121.0910,1047.2053,301.4411,3991.3801,35641.0468,1076.6986,12.7940,35796.5567,1209.8987
30/01/2007 00:00:00,0.0790,0.7517,20.2446,1.0000,0.0000,33.0839,150.5627,125.5581,12017.9834,1588.0551,73.5340,1048.1971,301.6394,2307.8039,20271.4487,651.2236,12.9346,20426.5191,732.1110
31/01/2007 00:00:00,0.0855,0.7478,20.1887,1.0000,0.0000,32.9827,150.9922,125.5581,11820.3113,1604.4053,72.9064,1049.1888,301.8378,2313.4801,20056.2186,642.7205,12.3763,20210.8495,722.9175
01/02/2007 00:00:00,0.1027,0.7438,20.1329,1.0000,0.0000,32.8816,151.4218,125.5581,11986.9737,1670.8223,74.9299,1050.1806,302.0361,2391.0956,20465.6836,657.5462,11.2100,20619.8750,739.9691
02/02/2007 00:00:00,0.1059,0.7399,20.0770,1.0000,0.0000,32.7804,151.8513,125.5581,11977.1539,1713.9677,75.6990,1051.1723,302.2345,2434.8605,20575.3174,661.3069,10.0436,20729.0694,744.5758
03/02/2007 00:00:00,0.0879,0.7360,20.0211,1.0000,0.0000,32.6793,152.2809,125.5581,11713.7765,1720.5490,74.6357,1052.1641,302.4328,2426.7928,20245.3224,649.0428,8.8773,20398.6348,731.1421
04/02/2007 00:00:00,0.0727,0.7321,19.9652,1.0000,0.0000,32.5781,152.7104,125.5581,11442.7646,1724.7373,73.4350,1053.1558,302.6312,2415.8473,19898.4407,635.6867,7.7109,20051.3136,716.4652
05/02/2007 00:00:00,0.0608,0.7281,19.9094,1.0000,0.0000,32.4769,153.1400,125.5581,11183.0877,1729.3423,72.2413,1054.1476,302.8295,2405.9672,19567.7588,622.4997,6.5446,19720.1923,701.9652
06/02/2007 00:00:00,0.0534,0.7242,19.8535,1.0000,0.0000,32.3758,153.5695,125.5581,10968.9575,1739.9039,71.3208,1055.1393,303.0279,2404.7501,19314.3006,612.1010,5.3783,19466.2946,690.5539
07/02/2007 00:00:00,0.0569,0.7203,19.7976,1.0000,0.0000,32.2746,153.9991,125.5581,10926.8923,1777.5010,71.8763,1056.1311,303.2262,2441.0109,19365.4901,614.0518,5.6742,19517.0446,693.1157
