ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0021,1.1390,23.3868,1.0000,0.0000,4.8484,212.0999,125.5581,186.7378,274.6002,270.4420,2371.2448,566.2490,12552.2082,34760.3413,1058.2405,13.0355,34830.1765,1355.7267
02/01/2007 00:00:00,0.0021,1.1385,23.3280,1.0000,0.0000,4.8662,212.4139,125.5581,187.3103,273.7198,267.4593,2366.7800,565.3560,12509.7744,34891.7472,1067.5971,14.6941,34961.5627,1361.8024
03/01/2007 00:00:00,0.2509,1.1381,23.2692,1.0000,0.0000,4.8841,212.7278,125.5581,454.1719,659.6732,619.1939,2362.3152,564.4630,30141.6166,84768.9459,2520.5562,16.3527,84838.7417,3201.6696
04/01/2007 00:00:00,0.0035,1.1376,23.2104,1.0000,0.0000,4.9019,213.0417,125.5581,204.1580,294.7014,286.0558,2357.8503,563.5701,13463.0618,38092.8406,1187.2092,18.0113,38162.6167,1501.8706
05/01/2007 00:00:00,0.0038,1.1371,23.1516,1.0000,0.0000,4.9198,213.3557,125.5581,206.9901,296.9735,286.2176,2353.3855,562.6771,13563.5396,38648.4871,1210.7829,19.6699,38718.2435,1525.6223
06/01/2007 00:00:00,0.0037,1.1366,23.0928,1.0000,0.0000,4.9377,213.6696,125.5581,205.4176,292.9449,279.8995,2348.9207,561.7841,13377.1922,38383.7591,1206.5848,21.3285,38453.4957,1514.4743
07/01/2007 00:00:00,0.0034,1.1361,23.0340,1.0000,0.0000,4.9555,213.9835,125.5581,202.2140,286.6435,271.3208,2344.4559,560.8912,13086.2570,37809.1110,1191.5773,22.9871,37878.8280,1490.0302
08/01/2007 00:00:00,0.0030,1.1357,22.9752,1.0000,0.0000,4.9734,214.2974,125.5581,198.5292,279.7466,262.2534,2339.9910,559.9982,12769.1460,37146.6759,1173.1160,24.6457,37216.3731,1461.5947
09/01/2007 00:00:00,0.0028,1.1352,22.9164,1.0000,0.0000,4.9912,214.6114,125.5581,195.6516,274.0352,254.5092,2335.5262,559.1052,12506.2472,36630.8694,1159.3285,26.3043,36700.5469,1439.2886
10/01/2007 00:00:00,0.0477,1.1347,22.8576,1.0000,0.0000,5.0091,214.9253,125.5581,325.0655,452.6060,415.4963,2331.0614,558.2123,20650.7158,60945.2848,1926.9057,25.7420,61014.9427,2383.9516
11/01/2007 00:00:00,0.0419,1.1342,22.7988,1.0000,0.0000,5.0269,215.2392,125.5581,316.8056,438.5254,400.2415,2326.5966,557.3193,20004.7487,59437.8144,1889.3494,23.5750,59507.4525,2329.6150
12/01/2007 00:00:00,0.0035,1.1338,22.7400,1.0000,0.0000,5.0448,215.5532,125.5581,203.4197,279.9305,255.0271,2322.1317,556.4263,12766.7945,38163.5992,1225.1363,21.4081,38233.2176,1505.6661
13/01/2007 00:00:00,0.0033,1.1333,22.6812,1.0000,0.0000,5.0627,215.8671,125.5581,200.6982,274.5875,248.0059,2317.6669,555.5334,12520.9119,37678.6913,1212.2261,19.2412,37748.2899,1485.0327
