ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0003,1.1390,23.3868,1.0000,0.0000,4.8484,212.0999,125.5581,90.3644,132.8819,60.8940,2371.2448,566.2490,6074.1435,16784.8478,238.2784,13.0355,16854.6830,305.2617
02/01/2007 00:00:00,0.0003,1.1385,23.3280,1.0000,0.0000,4.8662,212.4139,125.5581,90.2748,131.9201,59.9332,2366.7800,565.3560,6029.1228,16780.0132,239.2310,14.6941,16849.8287,305.1575
03/01/2007 00:00:00,3.7642,1.1381,23.2692,1.0000,0.0000,4.8841,212.7278,125.5581,222.2182,322.7664,855.2878,2362.3152,564.4630,14747.7575,41440.2934,3481.6250,16.3527,41510.0892,4422.4416
04/01/2007 00:00:00,0.0003,1.1376,23.2104,1.0000,0.0000,4.9019,213.0417,125.5581,90.1575,130.1421,58.1262,2357.8503,563.5701,5945.3753,16783.0826,241.2397,18.0113,16852.8587,305.1785
05/01/2007 00:00:00,0.0003,1.1371,23.1516,1.0000,0.0000,4.9198,213.3557,125.5581,90.0704,129.2262,57.2342,2353.3855,562.6771,5902.0883,16778.2418,242.1170,19.6699,16847.9982,305.0745
06/01/2007 00:00:00,0.0003,1.1366,23.0928,1.0000,0.0000,4.9377,213.6696,125.5581,89.9758,128.3140,56.3637,2348.9207,561.7841,5859.4002,16773.4407,242.9713,21.3285,16843.1773,304.9713
07/01/2007 00:00:00,0.0003,1.1361,23.0340,1.0000,0.0000,4.9555,213.9835,125.5581,89.8908,127.4225,55.5138,2344.4559,560.8912,5817.2752,16768.6783,243.8037,22.9871,16838.3953,304.8689
08/01/2007 00:00:00,0.0003,1.1357,22.9752,1.0000,0.0000,4.9734,214.2974,125.5581,89.7984,126.5346,54.6843,2339.9910,559.9982,5775.7202,16763.9545,244.6145,24.6457,16833.6517,304.7672
09/01/2007 00:00:00,0.0003,1.1352,22.9164,1.0000,0.0000,4.9912,214.6114,125.5581,89.7156,125.6582,53.8741,2335.5262,559.1052,5734.7091,16759.2687,245.4048,26.3043,16828.9462,304.6663
10/01/2007 00:00:00,0.5537,1.1347,22.8576,1.0000,0.0000,5.0091,214.9253,125.5581,196.7898,274.0010,759.3930,2331.0614,558.2123,12501.6359,36867.8798,3521.7610,25.7420,36937.5377,4357.0933
11/01/2007 00:00:00,0.4248,1.1342,22.7988,1.0000,0.0000,5.0269,215.2392,125.5581,176.9866,244.9866,655.0222,2326.5966,557.3193,11175.8532,33174.7961,3092.0476,23.5750,33244.4342,3812.5721
12/01/2007 00:00:00,0.0003,1.1338,22.7400,1.0000,0.0000,5.0448,215.5532,125.5581,89.4644,123.1140,51.5533,2322.1317,556.4263,5614.8643,16745.4349,247.6593,21.4081,16815.0533,304.3679
13/01/2007 00:00:00,0.0003,1.1333,22.6812,1.0000,0.0000,5.0627,215.8671,125.5581,89.3772,122.2824,50.8142,2317.6669,555.5334,5575.9540,16740.8965,248.3743,19.2412,16810.4951,304.2699
14/01/2007 00:00:00,0.0003,1.1328,22.6224,1.0000,0.0000,5.0805,216.1810,125.5581,89.2991,121.4695,50.0916,2313.2021,554.6404,5537.5342,16736.3934,249.0718,17.0742,16805.9724,304.1726
15/01/2007 00:00:00,0.0003,1.1323,22.5636,1.0000,0.0000,5.0984,216.4950,125.5581,89.2219,120.6589,49.3848,2308.7373,553.7475,5499.6092,16731.9254,249.7526,14.9073,16801.4847,304.0759
16/01/2007 00:00:00,0.0003,1.1318,22.5048,1.0000,0.0000,5.1162,216.8089,125.5581,89.1375,119.8667,48.6933,2304.2724,552.8545,5462.1618,16727.4920,250.4173,12.7404,16797.0316,303.9800
17/01/2007 00:00:00,0.0003,1.1314,22.4460,1.0000,0.0000,5.1341,217.1228,125.5581,89.0621,119.0763,48.0165,2299.8076,551.9615,5425.1882,16723.0929,251.0666,12.0000,16792.6128,303.8847
18/01/2007 00:00:00,0.0003,1.1309,22.3872,1.0000,0.0000,5.1520,217.4368,125.5581,88.9795,118.3038,47.3542,2295.3428,551.0686,5388.6745,16718.7276,251.7005,12.0000,16788.2278,303.7901
19/01/2007 00:00:00,0.0003,1.1304,22.3284,1.0000,0.0000,5.1698,217.7507,125.5581,88.9059,117.5330,46.7058,2290.8780,550.1756,5352.6172,16714.3957,252.3198,12.0000,16783.8762,303.6962
20/01/2007 00:00:00,0.0003,1.1299,22.2696,1.0000,0.0000,5.1877,218.0646,125.5581,88.8251,116.7718,46.0707,2286.4131,549.2826,5317.0001,16710.0969,252.9251,12.0000,16779.5575,303.6029
21/01/2007 00:00:00,0.0003,1.1294,22.2108,1.0000,0.0000,5.2055,218.3786,125.5581,88.7530,116.0276,45.4489,2281.9483,548.3897,5281.8207,16705.8303,253.5166,12.0000,16775.2713,303.5103
22/01/2007 00:00:00,0.0003,1.1290,22.1520,1.0000,0.0000,5.2234,218.6925,125.5581,88.6818,115.2848,44.8397,2277.4835,547.4967,5247.0759,16701.5959,254.0947,12.0000,16771.0172,303.4183
23/01/2007 00:00:00,0.0003,1.1285,22.0932,1.0000,0.0000,5.2413,219.0064,125.5581,88.6035,114.5587,44.2426,2273.0187,546.6037,5212.7503,16697.3933,254.6601,12.0000,16766.7949,303.3270
24/01/2007 00:00:00,0.0003,1.1280,22.0344,1.0000,0.0000,5.2591,219.3204,125.5581,88.5339,113.8337,43.6576,2268.5538,545.7108,5178.8413,16693.2221,255.2128,12.0911,16762.6040,303.2362
