ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.3898,6.2009,24.9618,1.0000,0.0000,1.8539,215.6250,125.5581,555.3478,488.1887,223.4207,1412.2910,374.4582,21883.0505,39277.7257,30.6509,13.0355,39320.4651,276.4136
02/01/2007 00:00:00,0.3813,6.1362,24.2715,1.0000,0.0000,1.7527,215.6250,125.5581,530.4293,463.7394,211.7434,1393.0613,370.6123,21799.1641,39258.8877,43.4347,14.6941,39303.0342,276.3524
03/01/2007 00:00:00,8.5224,6.0715,23.5813,1.0000,0.0000,1.6515,215.6250,125.5581,527.9928,459.0374,1316.7304,1373.8315,366.7663,22606.8414,40842.8894,356.9828,16.3527,40888.4430,1805.3862
04/01/2007 00:00:00,7.1251,6.0068,22.8910,1.0000,0.0000,1.5504,215.6250,125.5581,526.8089,455.4017,208.4993,1354.6018,362.9204,23476.0959,42539.3551,69.8959,18.0113,42586.3158,299.2451
05/01/2007 00:00:00,2.1879,6.0133,22.9032,1.0000,0.0000,1.4492,210.6179,125.5581,488.7708,420.0626,190.2355,1335.3720,359.0744,22648.0154,41149.5849,75.6298,19.6699,41197.9527,284.8889
06/01/2007 00:00:00,1.1780,6.0716,23.4272,1.0000,0.0000,1.3480,201.9623,125.5581,508.4517,439.2278,191.2968,1316.1423,355.2285,22222.9330,40595.6636,71.4006,21.3285,40643.4806,281.8270
07/01/2007 00:00:00,0.8339,6.1299,23.9513,1.0000,0.0000,1.2468,193.3066,125.5581,570.7965,499.1923,202.8749,1296.9126,351.3825,21820.6703,40191.9079,56.6566,22.9871,40237.5769,279.8190
08/01/2007 00:00:00,0.6561,6.1883,24.4754,1.0000,0.0000,1.1457,184.6510,125.5581,640.1611,565.7071,216.7772,1277.6828,347.5366,21476.3000,39920.2831,40.1663,24.6457,39963.8040,278.6213
09/01/2007 00:00:00,0.3219,6.2466,24.9995,1.0000,0.0000,1.0445,175.9953,125.5581,704.8470,628.4376,231.3799,1258.4531,343.6906,20795.6725,39047.5734,21.1278,26.3043,39088.9462,275.6457
10/01/2007 00:00:00,1.5957,6.2813,25.2819,1.0000,0.0000,1.0000,181.5952,125.5581,714.1896,612.5972,1017.3202,1230.0257,338.0051,19205.6215,36323.5169,83.0184,25.7420,36363.9283,1202.0706
11/01/2007 00:00:00,2.1639,6.2973,25.3744,1.0000,0.0000,1.0000,198.3921,125.5581,796.2997,635.2323,768.1562,1194.3839,330.8768,20117.2060,38219.7261,106.2451,23.5750,38260.1070,951.2169
12/01/2007 00:00:00,1.0204,6.3134,25.4670,1.0000,0.0000,1.0000,215.1891,125.5581,890.2318,662.5907,216.9318,1158.7421,323.7484,21199.7562,40458.9293,42.3953,21.4081,40499.2795,281.0202
13/01/2007 00:00:00,0.5759,6.3295,25.5596,1.0000,0.0000,1.0000,231.9861,125.5581,922.3309,642.3155,205.5560,1123.1003,316.6201,20766.1212,39808.1435,51.9978,19.2412,39848.4631,278.1094
14/01/2007 00:00:00,0.3169,6.3455,25.6522,1.0000,0.0000,1.0000,248.7831,125.5581,951.1330,621.3295,195.4283,1087.4585,309.4917,20301.2466,39090.6725,60.7612,17.0742,39130.9615,275.7323
15/01/2007 00:00:00,0.1112,6.3616,25.7447,1.0000,0.0000,1.0000,265.5801,125.5581,947.3638,581.8348,184.8722,1051.8167,302.3633,19216.2695,37165.5217,68.2701,14.9073,37205.7802,271.6295
16/01/2007 00:00:00,0.2027,6.3776,25.8373,1.0000,0.0000,1.0000,282.3770,125.5581,1024.6203,592.8329,179.4158,1016.1749,295.2350,19794.5969,38457.3531,76.8050,12.7404,38497.5810,274.1623
17/01/2007 00:00:00,0.3834,6.3766,25.9466,1.0000,0.0000,1.0476,292.4721,125.5581,1099.6066,600.4684,181.7697,980.5331,288.1066,20273.4850,39364.0031,76.5696,12.0000,39404.2004,276.5162
18/01/2007 00:00:00,0.3651,6.3397,26.0909,1.0000,0.0000,1.1948,288.5148,125.5581,1161.8833,599.8167,200.9386,944.8913,280.9783,20481.5282,39314.3040,55.3231,12.0000,39354.4707,276.3556
19/01/2007 00:00:00,0.3313,6.3028,26.2352,1.0000,0.0000,1.3421,284.5574,125.5581,1223.9981,598.2647,224.7206,909.2495,273.8499,20664.5460,39205.3202,28.8357,12.0000,39245.4563,276.0283
20/01/2007 00:00:00,0.2444,6.2659,26.3795,1.0000,0.0000,1.4893,280.6001,125.5581,1278.2626,592.3549,254.5553,873.6077,266.7215,20700.9199,38810.3875,0.0000,12.0000,38850.4930,274.9760
21/01/2007 00:00:00,0.2773,6.2290,26.5238,1.0000,0.0000,1.6366,276.6428,125.5581,1353.3389,595.3292,275.4455,837.9659,259.5932,21053.6950,38997.9181,0.0000,12.0000,39037.9930,275.4455
22/01/2007 00:00:00,0.1645,6.1921,26.6681,1.0000,0.0000,1.7838,272.6855,125.5581,1395.4059,583.3517,273.6359,802.3241,252.4648,20881.2687,38204.9286,0.0000,12.0000,38244.9729,273.6359
23/01/2007 00:00:00,0.1000,6.1552,26.8124,1.0000,0.0000,1.9311,268.7281,125.5581,1425.7450,567.0208,271.6334,766.6823,245.3365,20548.2328,37126.6316,0.0000,12.0000,37166.6453,271.6334
24/01/2007 00:00:00,0.2067,6.1391,26.8503,1.0000,0.0000,2.0000,263.6702,125.5581,1492.4643,578.9925,274.5153,775.4265,247.0853,21326.2421,38618.9409,0.0000,12.0911,38658.9975,274.5153
25/01/2007 00:00:00,0.2486,6.1413,26.7943,1.0000,0.0000,2.0000,257.6431,125.5581,1456.8809,563.2263,275.1730,823.2258,256.6452,21159.8579,38898.3613,0.0000,12.2317,38938.5255,275.1730
