ISOTime,Flow,Sal,Temp,ones,zeroes,TSS,Oxy,Sil,Amm,Nit,FRP,DOC_T,POC_T,DON_T,PON_T,OP,CHLA,TN,TP
01/01/2007 00:00:00,0.0014,1.1390,23.3868,1.0000,0.0000,4.8484,212.0999,125.5581,137.8673,202.7355,109.2825,2371.2448,566.2490,9267.2100,25645.0474,427.6228,13.0355,25714.8826,547.8336
02/01/2007 00:00:00,0.0014,1.1385,23.3280,1.0000,0.0000,4.8662,212.4139,125.5581,137.7702,201.3260,107.5907,2366.7800,565.3560,9201.1706,25645.0608,429.4616,14.6941,25714.8763,547.8114
03/01/2007 00:00:00,4.4742,1.1381,23.2692,1.0000,0.0000,4.8841,212.7278,125.5581,295.4491,429.1325,1707.2257,2362.3152,564.4630,19607.8080,55119.7376,6949.6135,16.3527,55189.5334,8827.5618
04/01/2007 00:00:00,0.0014,1.1376,23.2104,1.0000,0.0000,4.9019,213.0417,125.5581,137.5666,198.5769,104.3478,2357.8503,563.5701,9071.7347,25645.1124,433.0718,18.0113,25714.8885,547.8544
05/01/2007 00:00:00,0.0014,1.1371,23.1516,1.0000,0.0000,4.9198,213.3557,125.5581,137.4733,197.2362,102.7772,2353.3855,562.6771,9008.2812,25645.1257,434.7772,19.6699,25714.8821,547.8321
06/01/2007 00:00:00,0.0013,1.1366,23.0928,1.0000,0.0000,4.9377,213.6696,125.5581,137.3682,195.9000,101.2442,2348.9207,561.7841,8945.6844,25645.1393,436.4413,21.3285,25714.8759,547.8099
07/01/2007 00:00:00,0.0013,1.1361,23.0340,1.0000,0.0000,4.9555,213.9835,125.5581,137.2774,194.5942,99.7471,2344.4559,560.8912,8883.8913,25645.1527,438.0660,22.9871,25714.8697,547.7878
08/01/2007 00:00:00,0.0013,1.1357,22.9752,1.0000,0.0000,4.9734,214.2974,125.5581,137.1749,193.2925,98.2854,2339.9910,559.9982,8822.9137,25645.1664,439.6519,24.6457,25714.8636,547.7659
09/01/2007 00:00:00,0.0013,1.1352,22.9164,1.0000,0.0000,4.9912,214.6114,125.5581,137.0866,192.0074,96.8575,2335.5262,559.1052,8762.7132,25645.1801,441.2008,26.3043,25714.8576,547.7440
10/01/2007 00:00:00,0.7915,1.1347,22.8576,1.0000,0.0000,5.0091,214.9253,125.5581,282.4808,393.3132,1524.9280,2331.0614,558.2123,17945.4040,52952.1263,7072.0064,25.7420,53021.7842,8749.4272
11/01/2007 00:00:00,0.5631,1.1342,22.7988,1.0000,0.0000,5.0269,215.2392,125.5581,281.2817,389.3529,1499.7174,2326.5966,557.3193,17761.5872,52765.1575,7079.4508,23.5750,52834.7956,8729.1400
12/01/2007 00:00:00,0.0013,1.1338,22.7400,1.0000,0.0000,5.0448,215.5532,125.5581,136.8157,188.2752,92.7650,2322.1317,556.4263,8586.6715,25645.2217,445.6378,21.4081,25714.8401,547.6793
13/01/2007 00:00:00,0.0013,1.1333,22.6812,1.0000,0.0000,5.0627,215.8671,125.5581,136.7193,187.0541,91.4609,2317.6669,555.5334,8529.4771,25645.2359,447.0509,19.2412,25714.8345,547.6579
14/01/2007 00:00:00,0.0012,1.1328,22.6224,1.0000,0.0000,5.0805,216.1810,125.5581,136.6366,185.8606,90.1856,2313.2021,554.6404,8472.9846,25645.2499,448.4325,17.0742,25714.8289,547.6367
